cleanup_sql,database,dialects,eval_query,eval_results,generated_error,generated_prompt,generated_result,generated_sql,golden_error,golden_eval_results,golden_result,golden_sql,id,job_id,nl_prompt,other,payload,prompt,prompt_generator_error,query_type,run_time,sanitized_sql,setup_sql,sql_generator_error,sql_generator_time,tags,trace_id
[],financial,['postgres'],[],,"(pg8000.exceptions.DatabaseError) {'S': 'FATAL', 'V': 'FATAL', 'C': '28000', 'M': 'no PostgreSQL user name specified in startup packet', 'F': 'postmaster.c', 'L': '2748', 'R': 'ProcessStartupPacket'}
(Background on this error at: https://sqlalche.me/e/20/4xp6)",List out the clients who choose statement of issuance after transaction are Disponent? 'POPLATEK PO OBRATU' stands for issuance after transaction,[],"SELECT ""client"".""client_id"" FROM ""client"" JOIN ""disp"" ON ""client"".""client_id"" = ""disp"".""client_id"" JOIN ""account"" ON ""disp"".""account_id"" = ""account"".""account_id"" WHERE ""account"".""frequency"" = 'POPLATEK PO OBRATU' AND ""disp"".""type"" = 'DISPONENT' ORDER BY ""client"".""client_id"" ASC NULLS LAST;","(pg8000.exceptions.DatabaseError) {'S': 'FATAL', 'V': 'FATAL', 'C': '28000', 'M': 'no PostgreSQL user name specified in startup packet', 'F': 'postmaster.c', 'L': '2748', 'R': 'ProcessStartupPacket'}
(Background on this error at: https://sqlalche.me/e/20/4xp6)",,[],"['SELECT ""T2"".""client_id"" FROM ""account"" AS ""T1"" INNER JOIN ""disp"" AS ""T2"" ON ""T1"".""account_id"" = ""T2"".""account_id"" WHERE ""T1"".""frequency"" = \'POPLATEK PO OBRATU\' AND ""T2"".""type"" = \'DISPONENT\'']",9,f8af8de0-c6d7-4f84-985e-a2a67e678918,List out the clients who choose statement of issuance after transaction are Disponent? 'POPLATEK PO OBRATU' stands for issuance after transaction,"{'disambiguation_question': [], 'intent_explanation': ""To identify clients who choose 'issuance after transaction', I need to join the 'client', 'disp', and 'account' tables. The question specifies that 'POPLATEK PO OBRATU' represents this choice, which corresponds to the 'frequency' column in the 'account' table. I will filter for 'type' = 'DISPONENT' in the 'disp' table to satisfy the 'Disponent' condition and select the 'client_id'.""}",,List out the clients who choose statement of issuance after transaction are Disponent? 'POPLATEK PO OBRATU' stands for issuance after transaction,,dql,2026-04-07 11:53:51.791951,"SELECT ""client"".""client_id"" FROM ""client"" JOIN ""disp"" ON ""client"".""client_id"" = ""disp"".""client_id"" JOIN ""account"" ON ""disp"".""account_id"" = ""account"".""account_id"" WHERE ""account"".""frequency"" = 'POPLATEK PO OBRATU' AND ""disp"".""type"" = 'DISPONENT' ORDER BY ""client"".""client_id"" ASC NULLS LAST;",[],,7.6671223640441895,['difficulty: simple'],
[],financial,['postgres'],[],,"(pg8000.exceptions.DatabaseError) {'S': 'FATAL', 'V': 'FATAL', 'C': '28000', 'M': 'no PostgreSQL user name specified in startup packet', 'F': 'postmaster.c', 'L': '2748', 'R': 'ProcessStartupPacket'}
(Background on this error at: https://sqlalche.me/e/20/4xp6)","The average unemployment ratio of 1995 and 1996, which one has higher percentage? A12 refers to unemploymant rate 1995; A13 refers to unemploymant rate 1996",[],"SELECT CASE WHEN AVG(""district"".""A12"") > AVG(""district"".""A13"") THEN '1995' WHEN AVG(""district"".""A13"") > AVG(""district"".""A12"") THEN '1996' ELSE 'Equal' END FROM ""district""","(pg8000.exceptions.DatabaseError) {'S': 'FATAL', 'V': 'FATAL', 'C': '28000', 'M': 'no PostgreSQL user name specified in startup packet', 'F': 'postmaster.c', 'L': '2748', 'R': 'ProcessStartupPacket'}
(Background on this error at: https://sqlalche.me/e/20/4xp6)",,[],"['SELECT DISTINCT CASE WHEN AVG(""A13"") > AVG(""A12"") THEN \'1996\' ELSE \'1995\' END FROM ""district""']",3,f8af8de0-c6d7-4f84-985e-a2a67e678918,"The average unemployment ratio of 1995 and 1996, which one has higher percentage? A12 refers to unemploymant rate 1995; A13 refers to unemploymant rate 1996","{'disambiguation_question': [], 'intent_explanation': ""The question asks to compare the average unemployment rates for 1995 (column A12) and 1996 (column A13) from the district table. I will calculate the average for both columns and use a CASE statement to return which year has the higher percentage. The query uses the 'district' table as it contains the specified columns A12 and A13.""}",,"The average unemployment ratio of 1995 and 1996, which one has higher percentage? A12 refers to unemploymant rate 1995; A13 refers to unemploymant rate 1996",,dql,2026-04-07 11:53:51.791951,"SELECT CASE WHEN AVG(""district"".""A12"") > AVG(""district"".""A13"") THEN '1995' WHEN AVG(""district"".""A13"") > AVG(""district"".""A12"") THEN '1996' ELSE 'Equal' END FROM ""district""",[],,7.6539812088012695,['difficulty: simple'],
[],financial,['postgres'],[],,"(pg8000.exceptions.DatabaseError) {'S': 'FATAL', 'V': 'FATAL', 'C': '28000', 'M': 'no PostgreSQL user name specified in startup packet', 'F': 'postmaster.c', 'L': '2748', 'R': 'ProcessStartupPacket'}
(Background on this error at: https://sqlalche.me/e/20/4xp6)",How many male customers who are living in North Bohemia have average salary greater than 8000? Male means that gender = 'M'; A3 refers to region; A11 pertains to average salary.,[],"SELECT count(""client"".""client_id"") FROM ""client"" JOIN ""district"" ON ""client"".""district_id"" = ""district"".""district_id"" WHERE ""client"".""gender"" = 'M' AND ""district"".""A3"" = 'North Bohemia' AND ""district"".""A11"" > 8000;","(pg8000.exceptions.DatabaseError) {'S': 'FATAL', 'V': 'FATAL', 'C': '28000', 'M': 'no PostgreSQL user name specified in startup packet', 'F': 'postmaster.c', 'L': '2748', 'R': 'ProcessStartupPacket'}
(Background on this error at: https://sqlalche.me/e/20/4xp6)",,[],"['SELECT COUNT(""T1"".""client_id"") FROM ""client"" AS ""T1"" INNER JOIN ""district"" AS ""T2"" ON ""T1"".""district_id"" = ""T2"".""district_id"" WHERE ""T1"".""gender"" = \'M\' AND ""T2"".""A3"" = \'north Bohemia\' AND ""T2"".""A11"" > 8000', 'SELECT COUNT(""T1"".""client_id"") FROM ""client"" AS ""T1"" INNER JOIN ""district"" AS ""T2"" ON ""T1"".""district_id"" = ""T2"".""district_id"" WHERE ""T1"".""gender"" = \'M\' AND ""T2"".""A3"" = \'North Bohemia\' AND ""T2"".""A11"" > 8000']",5,f8af8de0-c6d7-4f84-985e-a2a67e678918,How many male customers who are living in North Bohemia have average salary greater than 8000? Male means that gender = 'M'; A3 refers to region; A11 pertains to average salary.,"{'disambiguation_question': [], 'intent_explanation': ""To answer this question, I need to join the 'client' table with the 'district' table. I will filter for male clients ('M') where the region ('A3') is 'North Bohemia' and the average salary ('A11') is greater than 8000. Finally, I will count the number of client IDs that meet these criteria.""}",,How many male customers who are living in North Bohemia have average salary greater than 8000? Male means that gender = 'M'; A3 refers to region; A11 pertains to average salary.,,dql,2026-04-07 11:53:51.791951,"SELECT count(""client"".""client_id"") FROM ""client"" JOIN ""district"" ON ""client"".""district_id"" = ""district"".""district_id"" WHERE ""client"".""gender"" = 'M' AND ""district"".""A3"" = 'North Bohemia' AND ""district"".""A11"" > 8000;",[],,6.9720072746276855,['difficulty: moderate'],
[],financial,['postgres'],[],,"(pg8000.exceptions.DatabaseError) {'S': 'FATAL', 'V': 'FATAL', 'C': '28000', 'M': 'no PostgreSQL user name specified in startup packet', 'F': 'postmaster.c', 'L': '2748', 'R': 'ProcessStartupPacket'}
(Background on this error at: https://sqlalche.me/e/20/4xp6)",How many accounts who choose issuance after transaction are staying in East Bohemia region? A3 contains the data of region; 'POPLATEK PO OBRATU' represents for 'issuance after transaction'.,[],"SELECT COUNT(""public"".""account"".""account_id"") FROM ""public"".""account"" JOIN ""public"".""district"" ON ""public"".""account"".""district_id"" = ""public"".""district"".""district_id"" WHERE ""public"".""account"".""frequency"" = 'POPLATEK PO OBRATU' AND ""public"".""district"".""A3"" = 'East Bohemia';","(pg8000.exceptions.DatabaseError) {'S': 'FATAL', 'V': 'FATAL', 'C': '28000', 'M': 'no PostgreSQL user name specified in startup packet', 'F': 'postmaster.c', 'L': '2748', 'R': 'ProcessStartupPacket'}
(Background on this error at: https://sqlalche.me/e/20/4xp6)",,[],"['SELECT COUNT(DISTINCT ""T1"".""account_id"") FROM ""account"" AS ""T1"" INNER JOIN ""district"" AS ""T2"" ON ""T1"".""district_id"" = ""T2"".""district_id"" WHERE ""T2"".""A3"" = \'east Bohemia\' AND ""T1"".""frequency"" = \'POPLATEK PO OBRATU\'', 'SELECT COUNT(""T1"".""district_id"") FROM ""district"" AS ""T1"" INNER JOIN ""account"" AS ""T2"" ON ""T1"".""district_id"" = ""T2"".""district_id"" WHERE ""T1"".""A3"" = \'East Bohemia\' AND ""T2"".""frequency"" = \'POPLATEK PO OBRATU\'']",1,f8af8de0-c6d7-4f84-985e-a2a67e678918,How many accounts who choose issuance after transaction are staying in East Bohemia region? A3 contains the data of region; 'POPLATEK PO OBRATU' represents for 'issuance after transaction'.,"{'disambiguation_question': [], 'intent_explanation': ""To find the number of accounts, I need to join the 'account' table with the 'district' table. The 'frequency' column in the 'account' table is used to filter for 'POPLATEK PO OBRATU' as specified. The 'A3' column in the 'district' table is used to filter for the 'East Bohemia' region. Finally, I will count the unique 'account_id' values.""}",,How many accounts who choose issuance after transaction are staying in East Bohemia region? A3 contains the data of region; 'POPLATEK PO OBRATU' represents for 'issuance after transaction'.,,dql,2026-04-07 11:53:51.791951,"SELECT COUNT(""public"".""account"".""account_id"") FROM ""public"".""account"" JOIN ""public"".""district"" ON ""public"".""account"".""district_id"" = ""public"".""district"".""district_id"" WHERE ""public"".""account"".""frequency"" = 'POPLATEK PO OBRATU' AND ""public"".""district"".""A3"" = 'East Bohemia';",[],,6.944994688034058,['difficulty: moderate'],
[],financial,['postgres'],[],,"(pg8000.exceptions.DatabaseError) {'S': 'FATAL', 'V': 'FATAL', 'C': '28000', 'M': 'no PostgreSQL user name specified in startup packet', 'F': 'postmaster.c', 'L': '2748', 'R': 'ProcessStartupPacket'}
(Background on this error at: https://sqlalche.me/e/20/4xp6)",How many customers who choose statement of weekly issuance are Owner? 'POPLATEK TYDNE' stands for weekly issuance,[],"SELECT count(DISTINCT ""public"".""disp"".""client_id"") FROM ""public"".""account"" INNER JOIN ""public"".""disp"" ON ""public"".""account"".""account_id"" = ""public"".""disp"".""account_id"" WHERE ""public"".""account"".""frequency"" = 'POPLATEK TYDNE' AND ""public"".""disp"".""type"" = 'OWNER';","(pg8000.exceptions.DatabaseError) {'S': 'FATAL', 'V': 'FATAL', 'C': '28000', 'M': 'no PostgreSQL user name specified in startup packet', 'F': 'postmaster.c', 'L': '2748', 'R': 'ProcessStartupPacket'}
(Background on this error at: https://sqlalche.me/e/20/4xp6)",,[],"['SELECT COUNT(DISTINCT ""T1"".""client_id"") FROM ""disp"" AS ""T1"" INNER JOIN ""account"" AS ""T2"" ON ""T1"".""account_id"" = ""T2"".""account_id"" WHERE ""T2"".""frequency"" = \'POPLATEK TYDNE\' AND ""T1"".""type"" = \'OWNER\'', 'SELECT COUNT(""T1"".""account_id"") FROM ""account"" AS ""T1"" INNER JOIN ""disp"" AS ""T2"" ON ""T1"".""account_id"" = ""T2"".""account_id"" WHERE ""T2"".""type"" = \'Owner\' AND ""T1"".""frequency"" = \'POPLATEK TYDNE\'']",8,f8af8de0-c6d7-4f84-985e-a2a67e678918,How many customers who choose statement of weekly issuance are Owner? 'POPLATEK TYDNE' stands for weekly issuance,"{'disambiguation_question': [], 'intent_explanation': ""To answer this question, I need to join the 'account', 'disp', and 'client' tables. I will filter the 'account' table for 'frequency' equal to 'POPLATEK TYDNE' (weekly issuance) and the 'disp' table for 'type' equal to 'OWNER'. Finally, I will count the number of unique 'client_id' values that meet these criteria.""}",,How many customers who choose statement of weekly issuance are Owner? 'POPLATEK TYDNE' stands for weekly issuance,,dql,2026-04-07 11:53:51.791951,"SELECT count(DISTINCT ""public"".""disp"".""client_id"") FROM ""public"".""account"" INNER JOIN ""public"".""disp"" ON ""public"".""account"".""account_id"" = ""public"".""disp"".""account_id"" WHERE ""public"".""account"".""frequency"" = 'POPLATEK TYDNE' AND ""public"".""disp"".""type"" = 'OWNER';",[],,7.28955602645874,['difficulty: simple'],
[],financial,['postgres'],[],,"(pg8000.exceptions.DatabaseError) {'S': 'FATAL', 'V': 'FATAL', 'C': '28000', 'M': 'no PostgreSQL user name specified in startup packet', 'F': 'postmaster.c', 'L': '2748', 'R': 'ProcessStartupPacket'}
(Background on this error at: https://sqlalche.me/e/20/4xp6)","List out the account numbers of female clients who are oldest and has lowest average salary, calculate the gap between this lowest average salary with the highest average salary? Female means gender = 'F'; A11 refers to average salary; Gap = highest average salary - lowest average salary; If the person A's birthdate > B's birthdate, it means that person B is order than person A.",[],"SELECT ""T1"".""account_id"", (SELECT MAX(""district"".""A11"") FROM ""district"") - ""T3"".""A11"" AS ""gap"" FROM ""account"" AS ""T1"" INNER JOIN ""disp"" AS ""T2"" ON ""T1"".""account_id"" = ""T2"".""account_id"" INNER JOIN ""client"" AS ""T3"" ON ""T2"".""client_id"" = ""T3"".""client_id"" INNER JOIN ""district"" AS ""T4"" ON ""T3"".""district_id"" = ""T4"".""district_id"" WHERE ""T3"".""gender"" = 'F' AND ""T3"".""birth_date"" = (SELECT MIN(""client"".""birth_date"") FROM ""client"" WHERE ""client"".""gender"" = 'F') AND ""T4"".""A11"" = (SELECT MIN(""district"".""A11"") FROM ""district"" INNER JOIN ""client"" ON ""district"".""district_id"" = ""client"".""district_id"" WHERE ""client"".""gender"" = 'F' AND ""client"".""birth_date"" = (SELECT MIN(""birth_date"") FROM ""client"" WHERE ""gender"" = 'F')) ORDER BY ""T1"".""account_id"" ASC NULLS LAST;","(pg8000.exceptions.DatabaseError) {'S': 'FATAL', 'V': 'FATAL', 'C': '28000', 'M': 'no PostgreSQL user name specified in startup packet', 'F': 'postmaster.c', 'L': '2748', 'R': 'ProcessStartupPacket'}
(Background on this error at: https://sqlalche.me/e/20/4xp6)",,[],"['SELECT ""disp"".""account_id"", (SELECT MAX(""A11"") - MIN(""A11"") FROM ""district"") as gap FROM ""disp"" INNER JOIN ""client"" ON ""disp"".""client_id"" = ""client"".""client_id"" WHERE ""client"".""client_id"" IN ( SELECT ""c"".""client_id"" FROM ""client"" AS ""c"" INNER JOIN ""district"" AS ""d"" ON ""c"".""district_id"" = ""d"".""district_id"" WHERE ""c"".""gender"" = \'F\' ORDER BY ""d"".""A11"" ASC, ""c"".""birth_date"" ASC LIMIT 1 )', 'SELECT ""T1"".""account_id"", ( SELECT max(""A11"") - min(""A11"") FROM ""district"" ) FROM ""account"" AS ""T1"" INNER JOIN ""district"" AS ""T2"" ON ""T1"".""district_id"" = ""T2"".""district_id"" WHERE ""T2"".""district_id"" = ( SELECT ""district_id"" FROM ""client"" WHERE ""gender"" = \'F\' ORDER BY ""birth_date"" ASC LIMIT 1 ) ORDER BY ""T2"".""A11"" DESC NULLS LAST LIMIT 1']",6,f8af8de0-c6d7-4f84-985e-a2a67e678918,"List out the account numbers of female clients who are oldest and has lowest average salary, calculate the gap between this lowest average salary with the highest average salary? Female means gender = 'F'; A11 refers to average salary; Gap = highest average salary - lowest average salary; If the person A's birthdate > B's birthdate, it means that person B is order than person A.","{'disambiguation_question': [], 'intent_explanation': 'To find the oldest female clients, I identify those with the minimum birth_date. Among these, I select the one with the minimum average salary (A11) from the district table. I then calculate the gap by subtracting this minimum A11 from the maximum A11 found in the district table.'}",,"List out the account numbers of female clients who are oldest and has lowest average salary, calculate the gap between this lowest average salary with the highest average salary? Female means gender = 'F'; A11 refers to average salary; Gap = highest average salary - lowest average salary; If the person A's birthdate > B's birthdate, it means that person B is order than person A.",,dql,2026-04-07 11:53:51.791951,"SELECT ""T1"".""account_id"", (SELECT MAX(""district"".""A11"") FROM ""district"") - ""T3"".""A11"" AS ""gap"" FROM ""account"" AS ""T1"" INNER JOIN ""disp"" AS ""T2"" ON ""T1"".""account_id"" = ""T2"".""account_id"" INNER JOIN ""client"" AS ""T3"" ON ""T2"".""client_id"" = ""T3"".""client_id"" INNER JOIN ""district"" AS ""T4"" ON ""T3"".""district_id"" = ""T4"".""district_id"" WHERE ""T3"".""gender"" = 'F' AND ""T3"".""birth_date"" = (SELECT MIN(""client"".""birth_date"") FROM ""client"" WHERE ""client"".""gender"" = 'F') AND ""T4"".""A11"" = (SELECT MIN(""district"".""A11"") FROM ""district"" INNER JOIN ""client"" ON ""district"".""district_id"" = ""client"".""district_id"" WHERE ""client"".""gender"" = 'F' AND ""client"".""birth_date"" = (SELECT MIN(""birth_date"") FROM ""client"" WHERE ""gender"" = 'F')) ORDER BY ""T1"".""account_id"" ASC NULLS LAST;",[],,8.190355062484741,['difficulty: challenging'],
[],financial,['postgres'],[],,"(pg8000.exceptions.DatabaseError) {'S': 'FATAL', 'V': 'FATAL', 'C': '28000', 'M': 'no PostgreSQL user name specified in startup packet', 'F': 'postmaster.c', 'L': '2748', 'R': 'ProcessStartupPacket'}
(Background on this error at: https://sqlalche.me/e/20/4xp6)","Among the accounts who have approved loan date in 1997, list out the accounts that have the lowest approved amount and choose weekly issuance statement. 'POPLATEK TYDNE' stands for weekly issuance",[],"SELECT ""account"".""account_id"" FROM ""account"" JOIN ""loan"" ON ""account"".""account_id"" = ""loan"".""account_id"" WHERE ""loan"".""date"" >= '1997-01-01' AND ""loan"".""date"" <= '1997-12-31' AND ""account"".""frequency"" = 'POPLATEK TYDNE' ORDER BY ""loan"".""amount"" ASC NULLS LAST","(pg8000.exceptions.DatabaseError) {'S': 'FATAL', 'V': 'FATAL', 'C': '28000', 'M': 'no PostgreSQL user name specified in startup packet', 'F': 'postmaster.c', 'L': '2748', 'R': 'ProcessStartupPacket'}
(Background on this error at: https://sqlalche.me/e/20/4xp6)",,[],"['SELECT ""T2"".""account_id"" FROM loan AS ""T1"" INNER JOIN account AS ""T2"" ON ""T1"".""account_id"" = ""T2"".""account_id"" WHERE to_char(""T1"".""date""::timestamp, \'YYYY\') = \'1997\' AND ""T2"".""frequency"" = \'POPLATEK TYDNE\' ORDER BY ""T1"".""amount"" NULLS LAST LIMIT 1']",10,f8af8de0-c6d7-4f84-985e-a2a67e678918,"Among the accounts who have approved loan date in 1997, list out the accounts that have the lowest approved amount and choose weekly issuance statement. 'POPLATEK TYDNE' stands for weekly issuance","{'disambiguation_question': [], 'intent_explanation': ""To find the accounts with approved loans in 1997, I will join the 'account' and 'loan' tables. I will filter for loans where the 'date' is in 1997 and the 'frequency' is 'POPLATEK TYDNE' (weekly issuance). Finally, I will order the results by the loan 'amount' in ascending order to identify the accounts with the lowest approved amount.""}",,"Among the accounts who have approved loan date in 1997, list out the accounts that have the lowest approved amount and choose weekly issuance statement. 'POPLATEK TYDNE' stands for weekly issuance",,dql,2026-04-07 11:53:51.791951,"SELECT ""account"".""account_id"" FROM ""account"" JOIN ""loan"" ON ""account"".""account_id"" = ""loan"".""account_id"" WHERE ""loan"".""date"" >= '1997-01-01' AND ""loan"".""date"" <= '1997-12-31' AND ""account"".""frequency"" = 'POPLATEK TYDNE' ORDER BY ""loan"".""amount"" ASC NULLS LAST",[],,7.288345098495483,['difficulty: moderate'],
[],financial,['postgres'],[],,"(pg8000.exceptions.DatabaseError) {'S': 'FATAL', 'V': 'FATAL', 'C': '28000', 'M': 'no PostgreSQL user name specified in startup packet', 'F': 'postmaster.c', 'L': '2748', 'R': 'ProcessStartupPacket'}
(Background on this error at: https://sqlalche.me/e/20/4xp6)",List out the no. of districts that have female average salary is more than 6000 but less than 10000? A11 refers to average salary; Female mapps to gender = 'F',[],"SELECT COUNT(DISTINCT ""t1"".""district_id"") FROM ""public"".""district"" AS ""t1"" JOIN ""public"".""client"" AS ""t2"" ON ""t1"".""district_id"" = ""t2"".""district_id"" WHERE ""t2"".""gender"" = 'F' AND ""t1"".""A11"" > 6000 AND ""t1"".""A11"" < 10000;","(pg8000.exceptions.DatabaseError) {'S': 'FATAL', 'V': 'FATAL', 'C': '28000', 'M': 'no PostgreSQL user name specified in startup packet', 'F': 'postmaster.c', 'L': '2748', 'R': 'ProcessStartupPacket'}
(Background on this error at: https://sqlalche.me/e/20/4xp6)",,[],"['SELECT COUNT(DISTINCT ""T1"".""district_id"") FROM ""district"" AS ""T1"" INNER JOIN ""client"" AS ""T2"" ON ""T1"".""district_id"" = ""T2"".""district_id"" WHERE ""T2"".""gender"" = \'F\' AND ""T1"".""A11"" BETWEEN 6000 AND 10000;', 'SELECT DISTINCT ""T2"".""district_id"" FROM ""client"" AS ""T1"" INNER JOIN ""district"" AS ""T2"" ON ""T1"".""district_id"" = ""T2"".""district_id"" WHERE ""T1"".""gender"" = \'F\' AND ""T2"".""A11"" BETWEEN 6000 AND 10000']",4,f8af8de0-c6d7-4f84-985e-a2a67e678918,List out the no. of districts that have female average salary is more than 6000 but less than 10000? A11 refers to average salary; Female mapps to gender = 'F',"{'disambiguation_question': [], 'intent_explanation': ""To find the number of districts meeting the criteria, I need to join the 'district' and 'client' tables. I will filter for female clients using the 'gender' column and group by 'district_id' to calculate the average salary using the 'A11' column. Finally, I will count the districts where this average is between 6000 and 10000.""}",,List out the no. of districts that have female average salary is more than 6000 but less than 10000? A11 refers to average salary; Female mapps to gender = 'F',,dql,2026-04-07 11:53:51.791951,"SELECT COUNT(DISTINCT ""t1"".""district_id"") FROM ""public"".""district"" AS ""t1"" JOIN ""public"".""client"" AS ""t2"" ON ""t1"".""district_id"" = ""t2"".""district_id"" WHERE ""t2"".""gender"" = 'F' AND ""t1"".""A11"" > 6000 AND ""t1"".""A11"" < 10000;",[],,7.115020036697388,['difficulty: simple'],
[],financial,['postgres'],[],,"(pg8000.exceptions.DatabaseError) {'S': 'FATAL', 'V': 'FATAL', 'C': '28000', 'M': 'no PostgreSQL user name specified in startup packet', 'F': 'postmaster.c', 'L': '2748', 'R': 'ProcessStartupPacket'}
(Background on this error at: https://sqlalche.me/e/20/4xp6)",How many accounts who have region in Prague are eligible for loans? A3 contains the data of region,[],"SELECT COUNT(""account"".""account_id"") FROM ""account"" JOIN ""district"" ON ""account"".""district_id"" = ""district"".""district_id"" WHERE ""district"".""A3"" = 'Prague';","(pg8000.exceptions.DatabaseError) {'S': 'FATAL', 'V': 'FATAL', 'C': '28000', 'M': 'no PostgreSQL user name specified in startup packet', 'F': 'postmaster.c', 'L': '2748', 'R': 'ProcessStartupPacket'}
(Background on this error at: https://sqlalche.me/e/20/4xp6)",,[],"['SELECT COUNT(""T1"".""account_id"") FROM ""account"" AS ""T1"" INNER JOIN ""loan"" AS ""T2"" ON ""T1"".""account_id"" = ""T2"".""account_id"" INNER JOIN ""district"" AS ""T3"" ON ""T1"".""district_id"" = ""T3"".""district_id"" WHERE ""T3"".""A3"" = \'Prague\'']",2,f8af8de0-c6d7-4f84-985e-a2a67e678918,How many accounts who have region in Prague are eligible for loans? A3 contains the data of region,"{'disambiguation_question': [], 'intent_explanation': ""To find the number of accounts in the 'Prague' region, I will join the 'account' table with the 'district' table. The question specifies that column 'A3' in the 'district' table contains the region data. I will filter the 'district'.'A3' column for the value 'Prague' and count the unique 'account_id' values.""}",,How many accounts who have region in Prague are eligible for loans? A3 contains the data of region,,dql,2026-04-07 11:53:51.791951,"SELECT COUNT(""account"".""account_id"") FROM ""account"" JOIN ""district"" ON ""account"".""district_id"" = ""district"".""district_id"" WHERE ""district"".""A3"" = 'Prague';",[],,6.883514881134033,['difficulty: simple'],
[],financial,['postgres'],[],,"(pg8000.exceptions.DatabaseError) {'S': 'FATAL', 'V': 'FATAL', 'C': '28000', 'M': 'no PostgreSQL user name specified in startup packet', 'F': 'postmaster.c', 'L': '2748', 'R': 'ProcessStartupPacket'}
(Background on this error at: https://sqlalche.me/e/20/4xp6)","List out the account numbers of clients who are youngest and have highest average salary? If the person A's birthdate < B's birthdate, it means that person B is younger than person A; A11 refers to average salary",[],"SELECT ""public"".""account"".""account_id"" FROM ""public"".""client"" JOIN ""public"".""district"" ON ""public"".""client"".""district_id"" = ""public"".""district"".""district_id"" JOIN ""public"".""disp"" ON ""public"".""client"".""client_id"" = ""public"".""disp"".""client_id"" JOIN ""public"".""account"" ON ""public"".""disp"".""account_id"" = ""public"".""account"".""account_id"" WHERE ""public"".""client"".""birth_date"" IS NOT NULL AND ""public"".""district"".""A11"" IS NOT NULL ORDER BY ""public"".""client"".""birth_date"" DESC, ""public"".""district"".""A11"" DESC NULLS LAST LIMIT 1;","(pg8000.exceptions.DatabaseError) {'S': 'FATAL', 'V': 'FATAL', 'C': '28000', 'M': 'no PostgreSQL user name specified in startup packet', 'F': 'postmaster.c', 'L': '2748', 'R': 'ProcessStartupPacket'}
(Background on this error at: https://sqlalche.me/e/20/4xp6)",,[],"['SELECT T1.account_id FROM account AS T1 INNER JOIN client AS T2 ON T1.district_id = T2.district_id INNER JOIN district AS T3 ON T2.district_id = T3.district_id WHERE T2.birth_date = (SELECT MAX(birth_date) FROM client) -- Youngest client(s) AND T3.A11 = (SELECT MAX(A11) FROM district); -- District with highest avg salary', 'SELECT ""T1"".""account_id"" FROM ""account"" AS ""T1"" INNER JOIN ""district"" AS ""T2"" ON ""T1"".""district_id"" = ""T2"".""district_id"" WHERE ""T2"".""district_id"" = ( SELECT ""district_id"" FROM ""client"" ORDER BY ""birth_date"" DESC LIMIT 1 ) ORDER BY ""T2"".""A11"" DESC NULLS LAST LIMIT 1']",7,f8af8de0-c6d7-4f84-985e-a2a67e678918,"List out the account numbers of clients who are youngest and have highest average salary? If the person A's birthdate < B's birthdate, it means that person B is younger than person A; A11 refers to average salary","{'disambiguation_question': [], 'intent_explanation': ""To find the youngest clients with the highest average salary, I will join the 'client', 'district', 'disp', and 'account' tables. I will sort by 'birth_date' in descending order to get the youngest individuals and by 'A11' (average salary) in descending order to get the highest salary. The 'account_id' is used as the account number.""}",,"List out the account numbers of clients who are youngest and have highest average salary? If the person A's birthdate < B's birthdate, it means that person B is younger than person A; A11 refers to average salary",,dql,2026-04-07 11:53:51.791951,"SELECT ""public"".""account"".""account_id"" FROM ""public"".""client"" JOIN ""public"".""district"" ON ""public"".""client"".""district_id"" = ""public"".""district"".""district_id"" JOIN ""public"".""disp"" ON ""public"".""client"".""client_id"" = ""public"".""disp"".""client_id"" JOIN ""public"".""account"" ON ""public"".""disp"".""account_id"" = ""public"".""account"".""account_id"" WHERE ""public"".""client"".""birth_date"" IS NOT NULL AND ""public"".""district"".""A11"" IS NOT NULL ORDER BY ""public"".""client"".""birth_date"" DESC, ""public"".""district"".""A11"" DESC NULLS LAST LIMIT 1;",[],,11.970614910125732,['difficulty: moderate'],
