comparator,comparison_error,comparison_logs,database,dialects,generated_error,generated_sql,id,job_id,score
llmrater,,,financial,['postgres'],,,1,555cb422-4e3e-4d0f-94da-ee3893c32fea,0
llmrater,,Golden query failed to execute.,financial,['postgres'],"(pg8000.exceptions.DatabaseError) {'S': 'FATAL', 'V': 'FATAL', 'C': '28000', 'M': 'no PostgreSQL user name specified in startup packet', 'F': 'postmaster.c', 'L': '2748', 'R': 'ProcessStartupPacket'}
(Background on this error at: https://sqlalche.me/e/20/4xp6)","SELECT count(""public"".""client"".""client_id"") FROM ""public"".""client"" JOIN ""public"".""district"" ON ""public"".""client"".""district_id"" = ""public"".""district"".""district_id"" WHERE ""public"".""client"".""gender"" = 'M' AND ""public"".""district"".""A3"" = 'North Bohemia' AND ""public"".""district"".""A11"" > 8000;",5,555cb422-4e3e-4d0f-94da-ee3893c32fea,0
llmrater,,Golden query failed to execute.,financial,['postgres'],"(pg8000.exceptions.DatabaseError) {'S': 'FATAL', 'V': 'FATAL', 'C': '28000', 'M': 'no PostgreSQL user name specified in startup packet', 'F': 'postmaster.c', 'L': '2748', 'R': 'ProcessStartupPacket'}
(Background on this error at: https://sqlalche.me/e/20/4xp6)","SELECT ""public"".""disp"".""account_id"" FROM ""public"".""client"" JOIN ""public"".""disp"" ON ""public"".""client"".""client_id"" = ""public"".""disp"".""client_id"" JOIN ""public"".""district"" ON ""public"".""client"".""district_id"" = ""public"".""district"".""district_id"" WHERE ""public"".""client"".""birth_date"" = (SELECT MAX(""birth_date"") FROM ""public"".""client"") AND ""public"".""district"".""A11"" = (SELECT MAX(""A11"") FROM ""public"".""district"")",7,555cb422-4e3e-4d0f-94da-ee3893c32fea,0
llmrater,,Golden query failed to execute.,financial,['postgres'],"(pg8000.exceptions.DatabaseError) {'S': 'FATAL', 'V': 'FATAL', 'C': '28000', 'M': 'no PostgreSQL user name specified in startup packet', 'F': 'postmaster.c', 'L': '2748', 'R': 'ProcessStartupPacket'}
(Background on this error at: https://sqlalche.me/e/20/4xp6)","SELECT COUNT(DISTINCT ""district"".""district_id"") FROM ""district"" JOIN ""client"" ON ""district"".""district_id"" = ""client"".""district_id"" WHERE ""client"".""gender"" = 'F' AND ""district"".""A11"" > 6000 AND ""district"".""A11"" < 10000;",4,555cb422-4e3e-4d0f-94da-ee3893c32fea,0
llmrater,,Golden query failed to execute.,financial,['postgres'],"(pg8000.exceptions.DatabaseError) {'S': 'FATAL', 'V': 'FATAL', 'C': '28000', 'M': 'no PostgreSQL user name specified in startup packet', 'F': 'postmaster.c', 'L': '2748', 'R': 'ProcessStartupPacket'}
(Background on this error at: https://sqlalche.me/e/20/4xp6)","SELECT COUNT(""disp"".""client_id"") FROM ""account"" JOIN ""disp"" ON ""account"".""account_id"" = ""disp"".""account_id"" WHERE ""account"".""frequency"" = 'POPLATEK TYDNE' AND ""disp"".""type"" = 'OWNER'",8,555cb422-4e3e-4d0f-94da-ee3893c32fea,0
llmrater,,,financial,['postgres'],,,2,555cb422-4e3e-4d0f-94da-ee3893c32fea,0
llmrater,,Golden query failed to execute.,financial,['postgres'],"(pg8000.exceptions.DatabaseError) {'S': 'FATAL', 'V': 'FATAL', 'C': '28000', 'M': 'no PostgreSQL user name specified in startup packet', 'F': 'postmaster.c', 'L': '2748', 'R': 'ProcessStartupPacket'}
(Background on this error at: https://sqlalche.me/e/20/4xp6)","SELECT CASE WHEN AVG(""district"".""A12"") > AVG(""district"".""A13"") THEN '1995' WHEN AVG(""district"".""A13"") > AVG(""district"".""A12"") THEN '1996' ELSE 'Equal' END FROM ""public"".""district""",3,555cb422-4e3e-4d0f-94da-ee3893c32fea,0
llmrater,,,financial,['postgres'],,,10,555cb422-4e3e-4d0f-94da-ee3893c32fea,0
llmrater,,,financial,['postgres'],,,9,555cb422-4e3e-4d0f-94da-ee3893c32fea,0
llmrater,,,financial,['postgres'],,,6,555cb422-4e3e-4d0f-94da-ee3893c32fea,0
