cleanup_sql,database,dialects,eval_query,eval_results,generated_error,generated_prompt,generated_result,generated_sql,golden_error,golden_eval_results,golden_result,golden_sql,id,job_id,nl_prompt,other,payload,prompt,prompt_generator_error,query_type,run_time,sanitized_sql,setup_sql,sql_generator_error,sql_generator_time,tags,trace_id
[],financial,['postgres'],[],,,How many accounts who have region in Prague are eligible for loans? A3 contains the data of region,"[{""count"": 84}]","SELECT count(DISTINCT ""account"".""account_id"") FROM ""account"" JOIN ""district"" ON ""account"".""district_id"" = ""district"".""district_id"" JOIN ""loan"" ON ""account"".""account_id"" = ""loan"".""account_id"" WHERE ""district"".""A3"" = 'Prague'",,,"[{""count"": 84}]","['SELECT COUNT(""T1"".""account_id"") FROM ""account"" AS ""T1"" INNER JOIN ""loan"" AS ""T2"" ON ""T1"".""account_id"" = ""T2"".""account_id"" INNER JOIN ""district"" AS ""T3"" ON ""T1"".""district_id"" = ""T3"".""district_id"" WHERE ""T3"".""A3"" = \'Prague\'']",2,8649793f-36f3-4ed7-8f20-0729b8bbee18,How many accounts who have region in Prague are eligible for loans? A3 contains the data of region,"{'disambiguation_question': [], 'intent_explanation': ""To find the number of accounts in the Prague region eligible for loans, I will join the 'account', 'district', and 'loan' tables. I will filter the 'district' table where 'A3' is 'Prague' and count the distinct 'account_id' values present in the 'loan' table. This assumes that having a record in the 'loan' table signifies eligibility or participation in the loan program.""}",,How many accounts who have region in Prague are eligible for loans? A3 contains the data of region,,dql,2026-04-07 14:53:30.199613,"SELECT count(DISTINCT ""account"".""account_id"") FROM ""account"" JOIN ""district"" ON ""account"".""district_id"" = ""district"".""district_id"" JOIN ""loan"" ON ""account"".""account_id"" = ""loan"".""account_id"" WHERE ""district"".""A3"" = 'Prague'",[],,14.584403038024902,['difficulty: simple'],
[],financial,['postgres'],[],,,How many customers who choose statement of weekly issuance are Owner? 'POPLATEK TYDNE' stands for weekly issuance,"[{""count"": 240}]","SELECT count(DISTINCT ""public"".""client"".""client_id"") FROM ""public"".""account"" INNER JOIN ""public"".""disp"" ON ""public"".""account"".""account_id"" = ""public"".""disp"".""account_id"" INNER JOIN ""public"".""client"" ON ""public"".""disp"".""client_id"" = ""public"".""client"".""client_id"" WHERE ""public"".""account"".""frequency"" = 'POPLATEK TYDNE' AND ""public"".""disp"".""type"" = 'OWNER'",,,"[{""count"": 240}]","['SELECT COUNT(DISTINCT ""T1"".""client_id"") FROM ""disp"" AS ""T1"" INNER JOIN ""account"" AS ""T2"" ON ""T1"".""account_id"" = ""T2"".""account_id"" WHERE ""T2"".""frequency"" = \'POPLATEK TYDNE\' AND ""T1"".""type"" = \'OWNER\'', 'SELECT COUNT(""T1"".""account_id"") FROM ""account"" AS ""T1"" INNER JOIN ""disp"" AS ""T2"" ON ""T1"".""account_id"" = ""T2"".""account_id"" WHERE ""T2"".""type"" = \'Owner\' AND ""T1"".""frequency"" = \'POPLATEK TYDNE\'']",8,8649793f-36f3-4ed7-8f20-0729b8bbee18,How many customers who choose statement of weekly issuance are Owner? 'POPLATEK TYDNE' stands for weekly issuance,"{'disambiguation_question': [], 'intent_explanation': ""The user wants to count the number of clients who have an account with a weekly issuance frequency ('POPLATEK TYDNE') and are designated as an 'OWNER' in the disposition table. I will join the 'account', 'disp', and 'client' tables, filter by the frequency and disposition type, and count the unique client IDs.""}",,How many customers who choose statement of weekly issuance are Owner? 'POPLATEK TYDNE' stands for weekly issuance,,dql,2026-04-07 14:53:30.199613,"SELECT count(DISTINCT ""public"".""client"".""client_id"") FROM ""public"".""account"" INNER JOIN ""public"".""disp"" ON ""public"".""account"".""account_id"" = ""public"".""disp"".""account_id"" INNER JOIN ""public"".""client"" ON ""public"".""disp"".""client_id"" = ""public"".""client"".""client_id"" WHERE ""public"".""account"".""frequency"" = 'POPLATEK TYDNE' AND ""public"".""disp"".""type"" = 'OWNER'",[],,11.552733898162842,['difficulty: simple'],
[],financial,['postgres'],[],,,"Among the accounts who have approved loan date in 1997, list out the accounts that have the lowest approved amount and choose weekly issuance statement. 'POPLATEK TYDNE' stands for weekly issuance","[{""account_id"": 176}]","SELECT ""public"".""account"".""account_id"" FROM ""public"".""account"" JOIN ""public"".""loan"" ON ""public"".""account"".""account_id"" = ""public"".""loan"".""account_id"" WHERE ""public"".""loan"".""date"" >= '1997-01-01' AND ""public"".""loan"".""date"" <= '1997-12-31' AND ""public"".""account"".""frequency"" = 'POPLATEK TYDNE' ORDER BY ""public"".""loan"".""amount"" ASC NULLS LAST LIMIT 1",,,"[{""account_id"": 176}]","['SELECT ""T2"".""account_id"" FROM loan AS ""T1"" INNER JOIN account AS ""T2"" ON ""T1"".""account_id"" = ""T2"".""account_id"" WHERE to_char(""T1"".""date""::timestamp, \'YYYY\') = \'1997\' AND ""T2"".""frequency"" = \'POPLATEK TYDNE\' ORDER BY ""T1"".""amount"" NULLS LAST LIMIT 1']",10,8649793f-36f3-4ed7-8f20-0729b8bbee18,"Among the accounts who have approved loan date in 1997, list out the accounts that have the lowest approved amount and choose weekly issuance statement. 'POPLATEK TYDNE' stands for weekly issuance","{'disambiguation_question': [], 'intent_explanation': ""I will join the 'account' and 'loan' tables on 'account_id'. I will filter for loans with a 'date' in 1997 and an 'account' with 'frequency' equal to 'POPLATEK TYDNE'. Finally, I will order by the loan 'amount' in ascending order and limit the result to find the account with the lowest approved amount.""}",,"Among the accounts who have approved loan date in 1997, list out the accounts that have the lowest approved amount and choose weekly issuance statement. 'POPLATEK TYDNE' stands for weekly issuance",,dql,2026-04-07 14:53:30.199613,"SELECT ""public"".""account"".""account_id"" FROM ""public"".""account"" JOIN ""public"".""loan"" ON ""public"".""account"".""account_id"" = ""public"".""loan"".""account_id"" WHERE ""public"".""loan"".""date"" >= '1997-01-01' AND ""public"".""loan"".""date"" <= '1997-12-31' AND ""public"".""account"".""frequency"" = 'POPLATEK TYDNE' ORDER BY ""public"".""loan"".""amount"" ASC NULLS LAST LIMIT 1",[],,11.52741003036499,['difficulty: moderate'],
[],financial,['postgres'],[],,,List out the no. of districts that have female average salary is more than 6000 but less than 10000? A11 refers to average salary; Female mapps to gender = 'F',"[{""count"": 69}]","SELECT count(DISTINCT ""district"".""district_id"") FROM ""district"" JOIN ""client"" ON ""district"".""district_id"" = ""client"".""district_id"" WHERE ""client"".""gender"" = 'F' AND ""district"".""A11"" > 6000 AND ""district"".""A11"" < 10000;",,,"[{""count"": 69}]","['SELECT COUNT(DISTINCT ""T1"".""district_id"") FROM ""district"" AS ""T1"" INNER JOIN ""client"" AS ""T2"" ON ""T1"".""district_id"" = ""T2"".""district_id"" WHERE ""T2"".""gender"" = \'F\' AND ""T1"".""A11"" BETWEEN 6000 AND 10000;', 'SELECT DISTINCT ""T2"".""district_id"" FROM ""client"" AS ""T1"" INNER JOIN ""district"" AS ""T2"" ON ""T1"".""district_id"" = ""T2"".""district_id"" WHERE ""T1"".""gender"" = \'F\' AND ""T2"".""A11"" BETWEEN 6000 AND 10000']",4,8649793f-36f3-4ed7-8f20-0729b8bbee18,List out the no. of districts that have female average salary is more than 6000 but less than 10000? A11 refers to average salary; Female mapps to gender = 'F',"{'disambiguation_question': [], 'intent_explanation': ""The question asks for the count of districts where the average salary (column A11) is between 6000 and 10000, specifically for districts containing female clients. I will join the 'district' table with 'client' to filter for female gender ('F') and then apply the salary range filter on 'A11'. Finally, I will count the distinct 'district_id' values that meet these criteria.""}",,List out the no. of districts that have female average salary is more than 6000 but less than 10000? A11 refers to average salary; Female mapps to gender = 'F',,dql,2026-04-07 14:53:30.199613,"SELECT count(DISTINCT ""district"".""district_id"") FROM ""district"" JOIN ""client"" ON ""district"".""district_id"" = ""client"".""district_id"" WHERE ""client"".""gender"" = 'F' AND ""district"".""A11"" > 6000 AND ""district"".""A11"" < 10000;",[],,9.862425088882446,['difficulty: simple'],
[],financial,['postgres'],[],,,List out the clients who choose statement of issuance after transaction are Disponent? 'POPLATEK PO OBRATU' stands for issuance after transaction,"[{""client_id"": 159}, {""client_id"": 384}, {""client_id"": 1261}, {""client_id"": 1706}, {""client_id"": 2304}, {""client_id"": 3526}, {""client_id"": 3609}, {""client_id"": 4035}, {""client_id"": 4133}, {""client_id"": 4334}, {""client_id"": 4625}, {""client_id"": 5580}, {""client_id"": 6318}, {""client_id"": 11979}]","SELECT ""public"".""client"".""client_id"" FROM ""public"".""client"" INNER JOIN ""public"".""disp"" ON ""public"".""client"".""client_id"" = ""public"".""disp"".""client_id"" INNER JOIN ""public"".""account"" ON ""public"".""disp"".""account_id"" = ""public"".""account"".""account_id"" WHERE ""public"".""disp"".""type"" = 'DISPONENT' AND ""public"".""account"".""frequency"" = 'POPLATEK PO OBRATU' ORDER BY ""public"".""client"".""client_id"" ASC NULLS LAST;",,,"[{""client_id"": 159}, {""client_id"": 384}, {""client_id"": 1261}, {""client_id"": 1706}, {""client_id"": 2304}, {""client_id"": 3526}, {""client_id"": 3609}, {""client_id"": 4035}, {""client_id"": 4133}, {""client_id"": 4334}, {""client_id"": 4625}, {""client_id"": 5580}, {""client_id"": 6318}, {""client_id"": 11979}]","['SELECT ""T2"".""client_id"" FROM ""account"" AS ""T1"" INNER JOIN ""disp"" AS ""T2"" ON ""T1"".""account_id"" = ""T2"".""account_id"" WHERE ""T1"".""frequency"" = \'POPLATEK PO OBRATU\' AND ""T2"".""type"" = \'DISPONENT\'']",9,8649793f-36f3-4ed7-8f20-0729b8bbee18,List out the clients who choose statement of issuance after transaction are Disponent? 'POPLATEK PO OBRATU' stands for issuance after transaction,"{'disambiguation_question': [], 'intent_explanation': ""The user wants to find clients who are 'Disponent' and have an account with the frequency 'POPLATEK PO OBRATU'. I will join the 'client', 'disp', and 'account' tables. I will filter 'disp'.'type' for 'DISPONENT' and 'account'.'frequency' for 'POPLATEK PO OBRATU'.""}",,List out the clients who choose statement of issuance after transaction are Disponent? 'POPLATEK PO OBRATU' stands for issuance after transaction,,dql,2026-04-07 14:53:30.199613,"SELECT ""public"".""client"".""client_id"" FROM ""public"".""client"" INNER JOIN ""public"".""disp"" ON ""public"".""client"".""client_id"" = ""public"".""disp"".""client_id"" INNER JOIN ""public"".""account"" ON ""public"".""disp"".""account_id"" = ""public"".""account"".""account_id"" WHERE ""public"".""disp"".""type"" = 'DISPONENT' AND ""public"".""account"".""frequency"" = 'POPLATEK PO OBRATU' ORDER BY ""public"".""client"".""client_id"" ASC NULLS LAST;",[],,10.709192037582397,['difficulty: simple'],
[],financial,['postgres'],[],,,"The average unemployment ratio of 1995 and 1996, which one has higher percentage? A12 refers to unemploymant rate 1995; A13 refers to unemploymant rate 1996","[{""avg_unemployment_1995"": 3.0723684145823906, ""avg_unemployment_1996"": 3.7870129710668095, ""higher_percentage_year"": ""1996""}]","SELECT AVG(""district"".""A12"") AS ""avg_unemployment_1995"", AVG(""district"".""A13"") AS ""avg_unemployment_1996"", CASE WHEN AVG(""district"".""A12"") > AVG(""district"".""A13"") THEN '1995' WHEN AVG(""district"".""A13"") > AVG(""district"".""A12"") THEN '1996' ELSE 'Equal' END AS ""higher_percentage_year"" FROM ""district""",,,"[{""case"": ""1996""}]","['SELECT DISTINCT CASE WHEN AVG(""A13"") > AVG(""A12"") THEN \'1996\' ELSE \'1995\' END FROM ""district""']",3,8649793f-36f3-4ed7-8f20-0729b8bbee18,"The average unemployment ratio of 1995 and 1996, which one has higher percentage? A12 refers to unemploymant rate 1995; A13 refers to unemploymant rate 1996","{'disambiguation_question': [], 'intent_explanation': 'The question asks to compare the average unemployment rates for 1995 (column A12) and 1996 (column A13) across all districts. I will calculate the average for both columns and use a CASE statement to determine which year has the higher percentage. The query selects the averages and a label for the year with the higher value.'}",,"The average unemployment ratio of 1995 and 1996, which one has higher percentage? A12 refers to unemploymant rate 1995; A13 refers to unemploymant rate 1996",,dql,2026-04-07 14:53:30.199613,"SELECT AVG(""district"".""A12"") AS ""avg_unemployment_1995"", AVG(""district"".""A13"") AS ""avg_unemployment_1996"", CASE WHEN AVG(""district"".""A12"") > AVG(""district"".""A13"") THEN '1995' WHEN AVG(""district"".""A13"") > AVG(""district"".""A12"") THEN '1996' ELSE 'Equal' END AS ""higher_percentage_year"" FROM ""district""",[],,11.349200248718262,['difficulty: simple'],
[],financial,['postgres'],[],,,How many male customers who are living in North Bohemia have average salary greater than 8000? Male means that gender = 'M'; A3 refers to region; A11 pertains to average salary.,"[{""count"": 0}]","SELECT count(""public"".""client"".""client_id"") FROM ""public"".""client"" JOIN ""public"".""district"" ON ""public"".""client"".""district_id"" = ""public"".""district"".""district_id"" WHERE ""public"".""client"".""gender"" = 'M' AND ""public"".""district"".""A3"" = 'North Bohemia' AND ""public"".""district"".""A11"" > 8000;",,,"[{""count"": 280}]","['SELECT COUNT(""T1"".""client_id"") FROM ""client"" AS ""T1"" INNER JOIN ""district"" AS ""T2"" ON ""T1"".""district_id"" = ""T2"".""district_id"" WHERE ""T1"".""gender"" = \'M\' AND ""T2"".""A3"" = \'north Bohemia\' AND ""T2"".""A11"" > 8000', 'SELECT COUNT(""T1"".""client_id"") FROM ""client"" AS ""T1"" INNER JOIN ""district"" AS ""T2"" ON ""T1"".""district_id"" = ""T2"".""district_id"" WHERE ""T1"".""gender"" = \'M\' AND ""T2"".""A3"" = \'North Bohemia\' AND ""T2"".""A11"" > 8000']",5,8649793f-36f3-4ed7-8f20-0729b8bbee18,How many male customers who are living in North Bohemia have average salary greater than 8000? Male means that gender = 'M'; A3 refers to region; A11 pertains to average salary.,"{'disambiguation_question': [], 'intent_explanation': ""The query joins the 'client' and 'district' tables to filter for male customers in the 'North Bohemia' region. It then filters these records for districts where the average salary ('A11') is greater than 8000. Finally, it counts the number of unique 'client_id' values that meet these criteria.""}",,How many male customers who are living in North Bohemia have average salary greater than 8000? Male means that gender = 'M'; A3 refers to region; A11 pertains to average salary.,,dql,2026-04-07 14:53:30.199613,"SELECT count(""public"".""client"".""client_id"") FROM ""public"".""client"" JOIN ""public"".""district"" ON ""public"".""client"".""district_id"" = ""public"".""district"".""district_id"" WHERE ""public"".""client"".""gender"" = 'M' AND ""public"".""district"".""A3"" = 'North Bohemia' AND ""public"".""district"".""A11"" > 8000;",[],,6.702104806900024,['difficulty: moderate'],
[],financial,['postgres'],[],,,How many accounts who choose issuance after transaction are staying in East Bohemia region? A3 contains the data of region; 'POPLATEK PO OBRATU' represents for 'issuance after transaction'.,"[{""count"": 0}]","SELECT count(DISTINCT ""public"".""account"".""account_id"") FROM ""public"".""account"" INNER JOIN ""public"".""district"" ON ""public"".""account"".""district_id"" = ""public"".""district"".""district_id"" INNER JOIN ""public"".""trans"" ON ""public"".""account"".""account_id"" = ""public"".""trans"".""account_id"" WHERE ""public"".""district"".""A3"" = 'East Bohemia' AND ""public"".""trans"".""k_symbol"" = 'POPLATEK PO OBRATU'",,,"[{""count"": 13}]","['SELECT COUNT(DISTINCT ""T1"".""account_id"") FROM ""account"" AS ""T1"" INNER JOIN ""district"" AS ""T2"" ON ""T1"".""district_id"" = ""T2"".""district_id"" WHERE ""T2"".""A3"" = \'east Bohemia\' AND ""T1"".""frequency"" = \'POPLATEK PO OBRATU\'', 'SELECT COUNT(""T1"".""district_id"") FROM ""district"" AS ""T1"" INNER JOIN ""account"" AS ""T2"" ON ""T1"".""district_id"" = ""T2"".""district_id"" WHERE ""T1"".""A3"" = \'East Bohemia\' AND ""T2"".""frequency"" = \'POPLATEK PO OBRATU\'']",1,8649793f-36f3-4ed7-8f20-0729b8bbee18,How many accounts who choose issuance after transaction are staying in East Bohemia region? A3 contains the data of region; 'POPLATEK PO OBRATU' represents for 'issuance after transaction'.,"{'disambiguation_question': [], 'intent_explanation': ""I will join the 'account', 'district', and 'trans' tables. I will filter the 'district' table for 'East Bohemia' in column 'A3' and the 'trans' table for 'POPLATEK PO OBRATU' in the 'k_symbol' column. Finally, I will count the unique 'account_id' values that meet these criteria.""}",,How many accounts who choose issuance after transaction are staying in East Bohemia region? A3 contains the data of region; 'POPLATEK PO OBRATU' represents for 'issuance after transaction'.,,dql,2026-04-07 14:53:30.199613,"SELECT count(DISTINCT ""public"".""account"".""account_id"") FROM ""public"".""account"" INNER JOIN ""public"".""district"" ON ""public"".""account"".""district_id"" = ""public"".""district"".""district_id"" INNER JOIN ""public"".""trans"" ON ""public"".""account"".""account_id"" = ""public"".""trans"".""account_id"" WHERE ""public"".""district"".""A3"" = 'East Bohemia' AND ""public"".""trans"".""k_symbol"" = 'POPLATEK PO OBRATU'",[],,6.998367071151733,['difficulty: moderate'],
[],financial,['postgres'],[],,,"List out the account numbers of female clients who are oldest and has lowest average salary, calculate the gap between this lowest average salary with the highest average salary? Female means gender = 'F'; A11 refers to average salary; Gap = highest average salary - lowest average salary; If the person A's birthdate > B's birthdate, it means that person B is order than person A.","[{""account_id"": 1743, ""gap"": 4000}]","SELECT ""public"".""account"".""account_id"", (""CTE_MAX"".""max_salary"" - ""public"".""district"".""A11"") AS ""gap"" FROM ""public"".""client"" JOIN ""public"".""disp"" ON ""public"".""client"".""client_id"" = ""public"".""disp"".""client_id"" JOIN ""public"".""account"" ON ""public"".""disp"".""account_id"" = ""public"".""account"".""account_id"" JOIN ""public"".""district"" ON ""public"".""account"".""district_id"" = ""public"".""district"".""district_id"" CROSS JOIN (SELECT MAX(""A11"") AS ""max_salary"" FROM ""public"".""district"") AS ""CTE_MAX"" WHERE ""public"".""client"".""gender"" = 'F' AND ""public"".""client"".""birth_date"" = (SELECT MIN(""birth_date"") FROM ""public"".""client"" WHERE ""gender"" = 'F') AND ""public"".""district"".""A11"" = (SELECT MIN(""A11"") FROM ""public"".""district"" WHERE ""district_id"" IN (SELECT ""district_id"" FROM ""public"".""client"" WHERE ""gender"" = 'F' AND ""birth_date"" = (SELECT MIN(""birth_date"") FROM ""public"".""client"" WHERE ""gender"" = 'F'))) ORDER BY ""public"".""account"".""account_id"" ASC NULLS LAST;",,,"[{""account_id"": 3214, ""gap"": 4431}]","['SELECT ""disp"".""account_id"", (SELECT MAX(""A11"") - MIN(""A11"") FROM ""district"") as gap FROM ""disp"" INNER JOIN ""client"" ON ""disp"".""client_id"" = ""client"".""client_id"" WHERE ""client"".""client_id"" IN ( SELECT ""c"".""client_id"" FROM ""client"" AS ""c"" INNER JOIN ""district"" AS ""d"" ON ""c"".""district_id"" = ""d"".""district_id"" WHERE ""c"".""gender"" = \'F\' ORDER BY ""d"".""A11"" ASC, ""c"".""birth_date"" ASC LIMIT 1 )', 'SELECT ""T1"".""account_id"", ( SELECT max(""A11"") - min(""A11"") FROM ""district"" ) FROM ""account"" AS ""T1"" INNER JOIN ""district"" AS ""T2"" ON ""T1"".""district_id"" = ""T2"".""district_id"" WHERE ""T2"".""district_id"" = ( SELECT ""district_id"" FROM ""client"" WHERE ""gender"" = \'F\' ORDER BY ""birth_date"" ASC LIMIT 1 ) ORDER BY ""T2"".""A11"" DESC NULLS LAST LIMIT 1']",6,8649793f-36f3-4ed7-8f20-0729b8bbee18,"List out the account numbers of female clients who are oldest and has lowest average salary, calculate the gap between this lowest average salary with the highest average salary? Female means gender = 'F'; A11 refers to average salary; Gap = highest average salary - lowest average salary; If the person A's birthdate > B's birthdate, it means that person B is order than person A.","{'disambiguation_question': [], 'intent_explanation': ""To find the oldest female clients, I identify those with the minimum birth_date. I join the client, disp, account, and district tables to access gender, birth_date, and average salary (A11). I use a Common Table Expression (CTE) to calculate the global maximum average salary from the district table. The final query filters for female clients with the minimum birth_date and minimum average salary, then calculates the gap between the maximum average salary and the client's district average salary.""}",,"List out the account numbers of female clients who are oldest and has lowest average salary, calculate the gap between this lowest average salary with the highest average salary? Female means gender = 'F'; A11 refers to average salary; Gap = highest average salary - lowest average salary; If the person A's birthdate > B's birthdate, it means that person B is order than person A.",,dql,2026-04-07 14:53:30.199613,"SELECT ""public"".""account"".""account_id"", (""CTE_MAX"".""max_salary"" - ""public"".""district"".""A11"") AS ""gap"" FROM ""public"".""client"" JOIN ""public"".""disp"" ON ""public"".""client"".""client_id"" = ""public"".""disp"".""client_id"" JOIN ""public"".""account"" ON ""public"".""disp"".""account_id"" = ""public"".""account"".""account_id"" JOIN ""public"".""district"" ON ""public"".""account"".""district_id"" = ""public"".""district"".""district_id"" CROSS JOIN (SELECT MAX(""A11"") AS ""max_salary"" FROM ""public"".""district"") AS ""CTE_MAX"" WHERE ""public"".""client"".""gender"" = 'F' AND ""public"".""client"".""birth_date"" = (SELECT MIN(""birth_date"") FROM ""public"".""client"" WHERE ""gender"" = 'F') AND ""public"".""district"".""A11"" = (SELECT MIN(""A11"") FROM ""public"".""district"" WHERE ""district_id"" IN (SELECT ""district_id"" FROM ""public"".""client"" WHERE ""gender"" = 'F' AND ""birth_date"" = (SELECT MIN(""birth_date"") FROM ""public"".""client"" WHERE ""gender"" = 'F'))) ORDER BY ""public"".""account"".""account_id"" ASC NULLS LAST;",[],,12.398476123809814,['difficulty: challenging'],
[],financial,['postgres'],[],,,"List out the account numbers of clients who are youngest and have highest average salary? If the person A's birthdate < B's birthdate, it means that person B is younger than person A; A11 refers to average salary",[],"SELECT ""public"".""account"".""account_id"" FROM ""public"".""client"" JOIN ""public"".""disp"" ON ""public"".""client"".""client_id"" = ""public"".""disp"".""client_id"" JOIN ""public"".""account"" ON ""public"".""disp"".""account_id"" = ""public"".""account"".""account_id"" JOIN ""public"".""district"" ON ""public"".""client"".""district_id"" = ""public"".""district"".""district_id"" WHERE ""public"".""client"".""birth_date"" = (SELECT MAX(""birth_date"") FROM ""public"".""client"") AND ""public"".""district"".""A11"" = (SELECT MAX(""A11"") FROM ""public"".""district"")",,,"[{""account_id"": 330}, {""account_id"": 744}, {""account_id"": 782}, {""account_id"": 832}, {""account_id"": 1021}, {""account_id"": 1085}, {""account_id"": 1107}, {""account_id"": 1195}, {""account_id"": 1316}, {""account_id"": 1324}, {""account_id"": 1365}, {""account_id"": 1585}, {""account_id"": 1735}, {""account_id"": 1836}, {""account_id"": 1921}, {""account_id"": 1927}, {""account_id"": 1963}, {""account_id"": 1974}, {""account_id"": 1994}, {""account_id"": 2004}, {""account_id"": 2018}, {""account_id"": 2038}, {""account_id"": 2111}, {""account_id"": 2118}, {""account_id"": 2142}, {""account_id"": 2365}, {""account_id"": 2487}, {""account_id"": 2538}, {""account_id"": 2715}, {""account_id"": 2770}, {""account_id"": 2774}, {""account_id"": 2807}, {""account_id"": 2836}, {""account_id"": 2891}, {""account_id"": 2983}, {""account_id"": 3005}, {""account_id"": 3029}, {""account_id"": 3181}, {""account_id"": 3352}, {""account_id"": 3418}, {""account_id"": 3496}, {""account_id"": 3508}, {""account_id"": 3539}, {""account_id"": 3893}, {""account_id"": 3966}, {""account_id"": 4156}, {""account_id"": 4907}, {""account_id"": 5700}]","['SELECT T1.account_id FROM account AS T1 INNER JOIN client AS T2 ON T1.district_id = T2.district_id INNER JOIN district AS T3 ON T2.district_id = T3.district_id WHERE T2.birth_date = (SELECT MAX(birth_date) FROM client) -- Youngest client(s) AND T3.A11 = (SELECT MAX(A11) FROM district); -- District with highest avg salary', 'SELECT ""T1"".""account_id"" FROM ""account"" AS ""T1"" INNER JOIN ""district"" AS ""T2"" ON ""T1"".""district_id"" = ""T2"".""district_id"" WHERE ""T2"".""district_id"" = ( SELECT ""district_id"" FROM ""client"" ORDER BY ""birth_date"" DESC LIMIT 1 ) ORDER BY ""T2"".""A11"" DESC NULLS LAST LIMIT 1']",7,8649793f-36f3-4ed7-8f20-0729b8bbee18,"List out the account numbers of clients who are youngest and have highest average salary? If the person A's birthdate < B's birthdate, it means that person B is younger than person A; A11 refers to average salary","{'disambiguation_question': [], 'intent_explanation': ""To find the youngest clients with the highest average salary, I need to join the 'client', 'disp', 'account', and 'district' tables. I will identify the youngest age by finding the maximum 'birth_date' and the highest average salary using the 'A11' column in the 'district' table. The query filters for these maximum values and returns the corresponding 'account_id' values.""}",,"List out the account numbers of clients who are youngest and have highest average salary? If the person A's birthdate < B's birthdate, it means that person B is younger than person A; A11 refers to average salary",,dql,2026-04-07 14:53:30.199613,"SELECT ""public"".""account"".""account_id"" FROM ""public"".""client"" JOIN ""public"".""disp"" ON ""public"".""client"".""client_id"" = ""public"".""disp"".""client_id"" JOIN ""public"".""account"" ON ""public"".""disp"".""account_id"" = ""public"".""account"".""account_id"" JOIN ""public"".""district"" ON ""public"".""client"".""district_id"" = ""public"".""district"".""district_id"" WHERE ""public"".""client"".""birth_date"" = (SELECT MAX(""birth_date"") FROM ""public"".""client"") AND ""public"".""district"".""A11"" = (SELECT MAX(""A11"") FROM ""public"".""district"")",[],,14.820466756820679,['difficulty: moderate'],
