cleanup_sql,database,dialects,eval_query,eval_results,generated_error,generated_prompt,generated_result,generated_sql,golden_error,golden_eval_results,golden_result,golden_sql,id,job_id,nl_prompt,other,payload,prompt,prompt_generator_error,query_type,run_time,sanitized_sql,setup_sql,sql_generator_error,sql_generator_time,tags,trace_id
[],financial,['postgres'],[],,,"The average unemployment ratio of 1995 and 1996, which one has higher percentage? A12 refers to unemploymant rate 1995; A13 refers to unemploymant rate 1996","[{""case"": ""1996""}]","SELECT CASE WHEN AVG(""district"".""A12"") > AVG(""district"".""A13"") THEN '1995' WHEN AVG(""district"".""A13"") > AVG(""district"".""A12"") THEN '1996' ELSE 'Equal' END FROM ""district""",,,"[{""case"": ""1996""}]","['SELECT DISTINCT CASE WHEN AVG(""A13"") > AVG(""A12"") THEN \'1996\' ELSE \'1995\' END FROM ""district""']",3,7473df5a-60ef-4b49-8329-1e7bfb278ca1,"The average unemployment ratio of 1995 and 1996, which one has higher percentage? A12 refers to unemploymant rate 1995; A13 refers to unemploymant rate 1996","{'disambiguation_question': [], 'intent_explanation': 'The user wants to compare the average unemployment rates for 1995 (column A12) and 1996 (column A13) from the district table. I will calculate the average for both columns and use a CASE statement to determine which one is higher. I will ensure all column and table names are double-quoted as per the rules.'}",,"The average unemployment ratio of 1995 and 1996, which one has higher percentage? A12 refers to unemploymant rate 1995; A13 refers to unemploymant rate 1996",,dql,2026-04-07 15:46:13.746533,"SELECT CASE WHEN AVG(""district"".""A12"") > AVG(""district"".""A13"") THEN '1995' WHEN AVG(""district"".""A13"") > AVG(""district"".""A12"") THEN '1996' ELSE 'Equal' END FROM ""district""",[],,11.832740068435669,['difficulty: simple'],
[],financial,['postgres'],[],,,How many accounts who have region in Prague are eligible for loans? A3 contains the data of region,"[{""count"": 84}]","SELECT count(DISTINCT ""public"".""account"".""account_id"") FROM ""public"".""account"" INNER JOIN ""public"".""district"" ON ""public"".""account"".""district_id"" = ""public"".""district"".""district_id"" INNER JOIN ""public"".""loan"" ON ""public"".""account"".""account_id"" = ""public"".""loan"".""account_id"" WHERE ""public"".""district"".""A3"" = 'Prague'",,,"[{""count"": 84}]","['SELECT COUNT(""T1"".""account_id"") FROM ""account"" AS ""T1"" INNER JOIN ""loan"" AS ""T2"" ON ""T1"".""account_id"" = ""T2"".""account_id"" INNER JOIN ""district"" AS ""T3"" ON ""T1"".""district_id"" = ""T3"".""district_id"" WHERE ""T3"".""A3"" = \'Prague\'']",2,7473df5a-60ef-4b49-8329-1e7bfb278ca1,How many accounts who have region in Prague are eligible for loans? A3 contains the data of region,"{'disambiguation_question': [], 'intent_explanation': ""To find the number of accounts in the 'Prague' region eligible for loans, I will join the 'account', 'district', and 'loan' tables. I will filter the 'district' table where 'A3' is 'Prague' and the 'loan' table to ensure a loan record exists for the account. Finally, I will count the distinct 'account_id' values to get the total number of eligible accounts.""}",,How many accounts who have region in Prague are eligible for loans? A3 contains the data of region,,dql,2026-04-07 15:46:13.746533,"SELECT count(DISTINCT ""public"".""account"".""account_id"") FROM ""public"".""account"" INNER JOIN ""public"".""district"" ON ""public"".""account"".""district_id"" = ""public"".""district"".""district_id"" INNER JOIN ""public"".""loan"" ON ""public"".""account"".""account_id"" = ""public"".""loan"".""account_id"" WHERE ""public"".""district"".""A3"" = 'Prague'",[],,6.630895137786865,['difficulty: simple'],
[],financial,['postgres'],[],,,List out the clients who choose statement of issuance after transaction are Disponent? 'POPLATEK PO OBRATU' stands for issuance after transaction,"[{""client_id"": 159}, {""client_id"": 384}, {""client_id"": 1261}, {""client_id"": 1706}, {""client_id"": 2304}, {""client_id"": 3526}, {""client_id"": 3609}, {""client_id"": 4035}, {""client_id"": 4133}, {""client_id"": 4334}, {""client_id"": 4625}, {""client_id"": 5580}, {""client_id"": 6318}, {""client_id"": 11979}]","SELECT ""client"".""client_id"" FROM ""client"" JOIN ""disp"" ON ""client"".""client_id"" = ""disp"".""client_id"" JOIN ""account"" ON ""disp"".""account_id"" = ""account"".""account_id"" WHERE ""account"".""frequency"" = 'POPLATEK PO OBRATU' AND ""disp"".""type"" = 'DISPONENT' ORDER BY ""client"".""client_id"" ASC NULLS LAST",,,"[{""client_id"": 159}, {""client_id"": 384}, {""client_id"": 1261}, {""client_id"": 1706}, {""client_id"": 2304}, {""client_id"": 3526}, {""client_id"": 3609}, {""client_id"": 4035}, {""client_id"": 4133}, {""client_id"": 4334}, {""client_id"": 4625}, {""client_id"": 5580}, {""client_id"": 6318}, {""client_id"": 11979}]","['SELECT ""T2"".""client_id"" FROM ""account"" AS ""T1"" INNER JOIN ""disp"" AS ""T2"" ON ""T1"".""account_id"" = ""T2"".""account_id"" WHERE ""T1"".""frequency"" = \'POPLATEK PO OBRATU\' AND ""T2"".""type"" = \'DISPONENT\'']",9,7473df5a-60ef-4b49-8329-1e7bfb278ca1,List out the clients who choose statement of issuance after transaction are Disponent? 'POPLATEK PO OBRATU' stands for issuance after transaction,"{'disambiguation_question': [], 'intent_explanation': ""The user wants to find clients who have a specific account frequency. Based on the question, 'POPLATEK PO OBRATU' refers to the issuance after transaction, which corresponds to the 'frequency' column in the 'account' table. I will join 'client', 'disp', and 'account' tables, filtering for 'frequency' = 'POPLATEK PO OBRATU' and 'disp'.'type' = 'DISPONENT'.""}",,List out the clients who choose statement of issuance after transaction are Disponent? 'POPLATEK PO OBRATU' stands for issuance after transaction,,dql,2026-04-07 15:46:13.746533,"SELECT ""client"".""client_id"" FROM ""client"" JOIN ""disp"" ON ""client"".""client_id"" = ""disp"".""client_id"" JOIN ""account"" ON ""disp"".""account_id"" = ""account"".""account_id"" WHERE ""account"".""frequency"" = 'POPLATEK PO OBRATU' AND ""disp"".""type"" = 'DISPONENT' ORDER BY ""client"".""client_id"" ASC NULLS LAST",[],,7.0018310546875,['difficulty: simple'],
[],financial,['postgres'],[],,,List out the no. of districts that have female average salary is more than 6000 but less than 10000? A11 refers to average salary; Female mapps to gender = 'F',"[{""count"": 69}]","SELECT count(DISTINCT ""public"".""district"".""district_id"") FROM ""public"".""district"" JOIN ""public"".""client"" ON ""public"".""district"".""district_id"" = ""public"".""client"".""district_id"" WHERE ""public"".""client"".""gender"" = 'F' AND ""public"".""district"".""A11"" > 6000 AND ""public"".""district"".""A11"" < 10000;",,,"[{""count"": 69}]","['SELECT COUNT(DISTINCT ""T1"".""district_id"") FROM ""district"" AS ""T1"" INNER JOIN ""client"" AS ""T2"" ON ""T1"".""district_id"" = ""T2"".""district_id"" WHERE ""T2"".""gender"" = \'F\' AND ""T1"".""A11"" BETWEEN 6000 AND 10000;', 'SELECT DISTINCT ""T2"".""district_id"" FROM ""client"" AS ""T1"" INNER JOIN ""district"" AS ""T2"" ON ""T1"".""district_id"" = ""T2"".""district_id"" WHERE ""T1"".""gender"" = \'F\' AND ""T2"".""A11"" BETWEEN 6000 AND 10000']",4,7473df5a-60ef-4b49-8329-1e7bfb278ca1,List out the no. of districts that have female average salary is more than 6000 but less than 10000? A11 refers to average salary; Female mapps to gender = 'F',"{'disambiguation_question': [], 'intent_explanation': ""The question asks for the count of districts where the average salary (column A11) is between 6000 and 10000, specifically for districts containing female clients. I will join the 'district' table with 'client' to filter for female clients ('F') and then apply the salary range condition on 'A11'. Finally, I will count the distinct 'district_id' values that meet these criteria.""}",,List out the no. of districts that have female average salary is more than 6000 but less than 10000? A11 refers to average salary; Female mapps to gender = 'F',,dql,2026-04-07 15:46:13.746533,"SELECT count(DISTINCT ""public"".""district"".""district_id"") FROM ""public"".""district"" JOIN ""public"".""client"" ON ""public"".""district"".""district_id"" = ""public"".""client"".""district_id"" WHERE ""public"".""client"".""gender"" = 'F' AND ""public"".""district"".""A11"" > 6000 AND ""public"".""district"".""A11"" < 10000;",[],,10.697036981582642,['difficulty: simple'],
[],financial,['postgres'],[],,,How many customers who choose statement of weekly issuance are Owner? 'POPLATEK TYDNE' stands for weekly issuance,"[{""count"": 240}]","SELECT count(""T2"".""client_id"") FROM ""account"" AS ""T1"" INNER JOIN ""disp"" AS ""T2"" ON ""T1"".""account_id"" = ""T2"".""account_id"" WHERE ""T1"".""frequency"" = 'POPLATEK TYDNE' AND ""T2"".""type"" = 'OWNER'",,,"[{""count"": 240}]","['SELECT COUNT(DISTINCT ""T1"".""client_id"") FROM ""disp"" AS ""T1"" INNER JOIN ""account"" AS ""T2"" ON ""T1"".""account_id"" = ""T2"".""account_id"" WHERE ""T2"".""frequency"" = \'POPLATEK TYDNE\' AND ""T1"".""type"" = \'OWNER\'', 'SELECT COUNT(""T1"".""account_id"") FROM ""account"" AS ""T1"" INNER JOIN ""disp"" AS ""T2"" ON ""T1"".""account_id"" = ""T2"".""account_id"" WHERE ""T2"".""type"" = \'Owner\' AND ""T1"".""frequency"" = \'POPLATEK TYDNE\'']",8,7473df5a-60ef-4b49-8329-1e7bfb278ca1,How many customers who choose statement of weekly issuance are Owner? 'POPLATEK TYDNE' stands for weekly issuance,"{'disambiguation_question': [], 'intent_explanation': ""The question asks for the count of customers who have a 'weekly issuance' frequency and are 'Owners'. I will join the 'account' table with the 'disp' table using 'account_id'. I will filter 'account'.'frequency' for 'POPLATEK TYDNE' and 'disp'.'type' for 'OWNER'.""}",,How many customers who choose statement of weekly issuance are Owner? 'POPLATEK TYDNE' stands for weekly issuance,,dql,2026-04-07 15:46:13.746533,"SELECT count(""T2"".""client_id"") FROM ""account"" AS ""T1"" INNER JOIN ""disp"" AS ""T2"" ON ""T1"".""account_id"" = ""T2"".""account_id"" WHERE ""T1"".""frequency"" = 'POPLATEK TYDNE' AND ""T2"".""type"" = 'OWNER'",[],,16.644098043441772,['difficulty: simple'],
[],financial,['postgres'],[],,,How many male customers who are living in North Bohemia have average salary greater than 8000? Male means that gender = 'M'; A3 refers to region; A11 pertains to average salary.,"[{""count"": 0}]","SELECT count(""client"".""client_id"") FROM ""client"" JOIN ""district"" ON ""client"".""district_id"" = ""district"".""district_id"" WHERE ""client"".""gender"" = 'M' AND ""district"".""A3"" = 'North Bohemia' AND ""district"".""A11"" > 8000;",,,"[{""count"": 280}]","['SELECT COUNT(""T1"".""client_id"") FROM ""client"" AS ""T1"" INNER JOIN ""district"" AS ""T2"" ON ""T1"".""district_id"" = ""T2"".""district_id"" WHERE ""T1"".""gender"" = \'M\' AND ""T2"".""A3"" = \'north Bohemia\' AND ""T2"".""A11"" > 8000', 'SELECT COUNT(""T1"".""client_id"") FROM ""client"" AS ""T1"" INNER JOIN ""district"" AS ""T2"" ON ""T1"".""district_id"" = ""T2"".""district_id"" WHERE ""T1"".""gender"" = \'M\' AND ""T2"".""A3"" = \'North Bohemia\' AND ""T2"".""A11"" > 8000']",5,7473df5a-60ef-4b49-8329-1e7bfb278ca1,How many male customers who are living in North Bohemia have average salary greater than 8000? Male means that gender = 'M'; A3 refers to region; A11 pertains to average salary.,"{'disambiguation_question': [], 'intent_explanation': ""To answer the question, I need to join the 'client' and 'district' tables using 'district_id'. I will filter for male clients ('M'), the region 'North Bohemia' (column 'A3'), and an average salary (column 'A11') greater than 8000. Finally, I will count the number of unique client IDs that meet these criteria.""}",,How many male customers who are living in North Bohemia have average salary greater than 8000? Male means that gender = 'M'; A3 refers to region; A11 pertains to average salary.,,dql,2026-04-07 15:46:13.746533,"SELECT count(""client"".""client_id"") FROM ""client"" JOIN ""district"" ON ""client"".""district_id"" = ""district"".""district_id"" WHERE ""client"".""gender"" = 'M' AND ""district"".""A3"" = 'North Bohemia' AND ""district"".""A11"" > 8000;",[],,16.092209815979004,['difficulty: moderate'],
[],financial,['postgres'],[],,,"Among the accounts who have approved loan date in 1997, list out the accounts that have the lowest approved amount and choose weekly issuance statement. 'POPLATEK TYDNE' stands for weekly issuance","[{""account_id"": 176}, {""account_id"": 11141}, {""account_id"": 11027}, {""account_id"": 2187}, {""account_id"": 3448}, {""account_id"": 5196}, {""account_id"": 4052}, {""account_id"": 3942}, {""account_id"": 1252}, {""account_id"": 4969}, {""account_id"": 8931}, {""account_id"": 5362}, {""account_id"": 10063}, {""account_id"": 8158}, {""account_id"": 2754}, {""account_id"": 319}, {""account_id"": 339}]","SELECT ""account"".""account_id"" FROM ""account"" JOIN ""loan"" ON ""account"".""account_id"" = ""loan"".""account_id"" WHERE ""loan"".""date"" >= '1997-01-01' AND ""loan"".""date"" <= '1997-12-31' AND ""loan"".""status"" IN ('A', 'C') AND ""account"".""frequency"" = 'POPLATEK TYDNE' ORDER BY ""loan"".""amount"" ASC NULLS LAST",,,"[{""account_id"": 176}]","['SELECT ""T2"".""account_id"" FROM loan AS ""T1"" INNER JOIN account AS ""T2"" ON ""T1"".""account_id"" = ""T2"".""account_id"" WHERE to_char(""T1"".""date""::timestamp, \'YYYY\') = \'1997\' AND ""T2"".""frequency"" = \'POPLATEK TYDNE\' ORDER BY ""T1"".""amount"" NULLS LAST LIMIT 1']",10,7473df5a-60ef-4b49-8329-1e7bfb278ca1,"Among the accounts who have approved loan date in 1997, list out the accounts that have the lowest approved amount and choose weekly issuance statement. 'POPLATEK TYDNE' stands for weekly issuance","{'disambiguation_question': [], 'intent_explanation': ""I will join the 'account' and 'loan' tables on 'account_id'. I will filter for loans with a status of 'A' (approved) or 'C' (finished) that occurred in 1997, and filter for accounts with 'frequency' equal to 'POPLATEK TYDNE'. Finally, I will order the results by the loan amount in ascending order and return the account IDs.""}",,"Among the accounts who have approved loan date in 1997, list out the accounts that have the lowest approved amount and choose weekly issuance statement. 'POPLATEK TYDNE' stands for weekly issuance",,dql,2026-04-07 15:46:13.746533,"SELECT ""account"".""account_id"" FROM ""account"" JOIN ""loan"" ON ""account"".""account_id"" = ""loan"".""account_id"" WHERE ""loan"".""date"" >= '1997-01-01' AND ""loan"".""date"" <= '1997-12-31' AND ""loan"".""status"" IN ('A', 'C') AND ""account"".""frequency"" = 'POPLATEK TYDNE' ORDER BY ""loan"".""amount"" ASC NULLS LAST",[],,6.734033107757568,['difficulty: moderate'],
[],financial,['postgres'],[],,,How many accounts who choose issuance after transaction are staying in East Bohemia region? A3 contains the data of region; 'POPLATEK PO OBRATU' represents for 'issuance after transaction'.,"[{""count"": 0}]","SELECT count(DISTINCT ""public"".""account"".""account_id"") FROM ""public"".""account"" INNER JOIN ""public"".""district"" ON ""public"".""account"".""district_id"" = ""public"".""district"".""district_id"" INNER JOIN ""public"".""trans"" ON ""public"".""account"".""account_id"" = ""public"".""trans"".""account_id"" WHERE ""public"".""district"".""A3"" = 'East Bohemia' AND ""public"".""trans"".""k_symbol"" = 'POPLATEK PO OBRATU'",,,"[{""count"": 13}]","['SELECT COUNT(DISTINCT ""T1"".""account_id"") FROM ""account"" AS ""T1"" INNER JOIN ""district"" AS ""T2"" ON ""T1"".""district_id"" = ""T2"".""district_id"" WHERE ""T2"".""A3"" = \'east Bohemia\' AND ""T1"".""frequency"" = \'POPLATEK PO OBRATU\'', 'SELECT COUNT(""T1"".""district_id"") FROM ""district"" AS ""T1"" INNER JOIN ""account"" AS ""T2"" ON ""T1"".""district_id"" = ""T2"".""district_id"" WHERE ""T1"".""A3"" = \'East Bohemia\' AND ""T2"".""frequency"" = \'POPLATEK PO OBRATU\'']",1,7473df5a-60ef-4b49-8329-1e7bfb278ca1,How many accounts who choose issuance after transaction are staying in East Bohemia region? A3 contains the data of region; 'POPLATEK PO OBRATU' represents for 'issuance after transaction'.,"{'disambiguation_question': [], 'intent_explanation': ""I will join the 'account', 'district', and 'trans' tables. I will filter the 'district' table where 'A3' is 'East Bohemia' and the 'trans' table where 'k_symbol' is 'POPLATEK PO OBRATU'. Finally, I will count the unique 'account_id' values that meet these criteria.""}",,How many accounts who choose issuance after transaction are staying in East Bohemia region? A3 contains the data of region; 'POPLATEK PO OBRATU' represents for 'issuance after transaction'.,,dql,2026-04-07 15:46:13.746533,"SELECT count(DISTINCT ""public"".""account"".""account_id"") FROM ""public"".""account"" INNER JOIN ""public"".""district"" ON ""public"".""account"".""district_id"" = ""public"".""district"".""district_id"" INNER JOIN ""public"".""trans"" ON ""public"".""account"".""account_id"" = ""public"".""trans"".""account_id"" WHERE ""public"".""district"".""A3"" = 'East Bohemia' AND ""public"".""trans"".""k_symbol"" = 'POPLATEK PO OBRATU'",[],,7.643264055252075,['difficulty: moderate'],
[],financial,['postgres'],[],,,"List out the account numbers of female clients who are oldest and has lowest average salary, calculate the gap between this lowest average salary with the highest average salary? Female means gender = 'F'; A11 refers to average salary; Gap = highest average salary - lowest average salary; If the person A's birthdate > B's birthdate, it means that person B is order than person A.",[],"WITH ""salary_stats"" AS (SELECT MIN(""district"".""A11"") AS ""min_salary"", MAX(""district"".""A11"") AS ""max_salary"" FROM ""district""), ""oldest_female"" AS (SELECT MIN(""client"".""birth_date"") AS ""min_birth_date"" FROM ""client"" WHERE ""client"".""gender"" = 'F') SELECT ""account"".""account_id"", (""salary_stats"".""max_salary"" - ""salary_stats"".""min_salary"") AS ""gap"" FROM ""client"" JOIN ""disp"" ON ""client"".""client_id"" = ""disp"".""client_id"" JOIN ""account"" ON ""disp"".""account_id"" = ""account"".""account_id"" JOIN ""district"" ON ""client"".""district_id"" = ""district"".""district_id"" CROSS JOIN ""salary_stats"" WHERE ""client"".""gender"" = 'F' AND ""client"".""birth_date"" = (SELECT ""min_birth_date"" FROM ""oldest_female"") AND ""district"".""A11"" = (SELECT ""min_salary"" FROM ""salary_stats"") ORDER BY ""account"".""account_id"" ASC NULLS LAST",,,"[{""account_id"": 3214, ""gap"": 4431}]","['SELECT ""disp"".""account_id"", (SELECT MAX(""A11"") - MIN(""A11"") FROM ""district"") as gap FROM ""disp"" INNER JOIN ""client"" ON ""disp"".""client_id"" = ""client"".""client_id"" WHERE ""client"".""client_id"" IN ( SELECT ""c"".""client_id"" FROM ""client"" AS ""c"" INNER JOIN ""district"" AS ""d"" ON ""c"".""district_id"" = ""d"".""district_id"" WHERE ""c"".""gender"" = \'F\' ORDER BY ""d"".""A11"" ASC, ""c"".""birth_date"" ASC LIMIT 1 )', 'SELECT ""T1"".""account_id"", ( SELECT max(""A11"") - min(""A11"") FROM ""district"" ) FROM ""account"" AS ""T1"" INNER JOIN ""district"" AS ""T2"" ON ""T1"".""district_id"" = ""T2"".""district_id"" WHERE ""T2"".""district_id"" = ( SELECT ""district_id"" FROM ""client"" WHERE ""gender"" = \'F\' ORDER BY ""birth_date"" ASC LIMIT 1 ) ORDER BY ""T2"".""A11"" DESC NULLS LAST LIMIT 1']",6,7473df5a-60ef-4b49-8329-1e7bfb278ca1,"List out the account numbers of female clients who are oldest and has lowest average salary, calculate the gap between this lowest average salary with the highest average salary? Female means gender = 'F'; A11 refers to average salary; Gap = highest average salary - lowest average salary; If the person A's birthdate > B's birthdate, it means that person B is order than person A.","{'disambiguation_question': [], 'intent_explanation': ""To find the oldest female clients, I identify those with the minimum birth_date. I join the 'client', 'disp', 'account', and 'district' tables to filter by gender 'F' and retrieve the account IDs and their district's average salary (A11). I use a Common Table Expression (CTE) to calculate the global maximum and minimum average salaries across all districts to compute the gap. Finally, I select the account IDs for the oldest females in the district with the lowest average salary and include the calculated gap.""}",,"List out the account numbers of female clients who are oldest and has lowest average salary, calculate the gap between this lowest average salary with the highest average salary? Female means gender = 'F'; A11 refers to average salary; Gap = highest average salary - lowest average salary; If the person A's birthdate > B's birthdate, it means that person B is order than person A.",,dql,2026-04-07 15:46:13.746533,"WITH ""salary_stats"" AS (SELECT MIN(""district"".""A11"") AS ""min_salary"", MAX(""district"".""A11"") AS ""max_salary"" FROM ""district""), ""oldest_female"" AS (SELECT MIN(""client"".""birth_date"") AS ""min_birth_date"" FROM ""client"" WHERE ""client"".""gender"" = 'F') SELECT ""account"".""account_id"", (""salary_stats"".""max_salary"" - ""salary_stats"".""min_salary"") AS ""gap"" FROM ""client"" JOIN ""disp"" ON ""client"".""client_id"" = ""disp"".""client_id"" JOIN ""account"" ON ""disp"".""account_id"" = ""account"".""account_id"" JOIN ""district"" ON ""client"".""district_id"" = ""district"".""district_id"" CROSS JOIN ""salary_stats"" WHERE ""client"".""gender"" = 'F' AND ""client"".""birth_date"" = (SELECT ""min_birth_date"" FROM ""oldest_female"") AND ""district"".""A11"" = (SELECT ""min_salary"" FROM ""salary_stats"") ORDER BY ""account"".""account_id"" ASC NULLS LAST",[],,8.132471084594727,['difficulty: challenging'],
[],financial,['postgres'],[],,,"List out the account numbers of clients who are youngest and have highest average salary? If the person A's birthdate < B's birthdate, it means that person B is younger than person A; A11 refers to average salary",[],"SELECT ""public"".""client"".""client_id"" FROM ""public"".""client"" JOIN ""public"".""district"" ON ""public"".""client"".""district_id"" = ""public"".""district"".""district_id"" WHERE ""public"".""client"".""birth_date"" = (SELECT MAX(""birth_date"") FROM ""public"".""client"") AND ""public"".""district"".""A11"" = (SELECT MAX(""A11"") FROM ""public"".""district"") ORDER BY ""public"".""client"".""client_id"" ASC NULLS LAST;",,,"[{""account_id"": 330}, {""account_id"": 744}, {""account_id"": 782}, {""account_id"": 832}, {""account_id"": 1021}, {""account_id"": 1085}, {""account_id"": 1107}, {""account_id"": 1195}, {""account_id"": 1316}, {""account_id"": 1324}, {""account_id"": 1365}, {""account_id"": 1585}, {""account_id"": 1735}, {""account_id"": 1836}, {""account_id"": 1921}, {""account_id"": 1927}, {""account_id"": 1963}, {""account_id"": 1974}, {""account_id"": 1994}, {""account_id"": 2004}, {""account_id"": 2018}, {""account_id"": 2038}, {""account_id"": 2111}, {""account_id"": 2118}, {""account_id"": 2142}, {""account_id"": 2365}, {""account_id"": 2487}, {""account_id"": 2538}, {""account_id"": 2715}, {""account_id"": 2770}, {""account_id"": 2774}, {""account_id"": 2807}, {""account_id"": 2836}, {""account_id"": 2891}, {""account_id"": 2983}, {""account_id"": 3005}, {""account_id"": 3029}, {""account_id"": 3181}, {""account_id"": 3352}, {""account_id"": 3418}, {""account_id"": 3496}, {""account_id"": 3508}, {""account_id"": 3539}, {""account_id"": 3893}, {""account_id"": 3966}, {""account_id"": 4156}, {""account_id"": 4907}, {""account_id"": 5700}]","['SELECT T1.account_id FROM account AS T1 INNER JOIN client AS T2 ON T1.district_id = T2.district_id INNER JOIN district AS T3 ON T2.district_id = T3.district_id WHERE T2.birth_date = (SELECT MAX(birth_date) FROM client) -- Youngest client(s) AND T3.A11 = (SELECT MAX(A11) FROM district); -- District with highest avg salary', 'SELECT ""T1"".""account_id"" FROM ""account"" AS ""T1"" INNER JOIN ""district"" AS ""T2"" ON ""T1"".""district_id"" = ""T2"".""district_id"" WHERE ""T2"".""district_id"" = ( SELECT ""district_id"" FROM ""client"" ORDER BY ""birth_date"" DESC LIMIT 1 ) ORDER BY ""T2"".""A11"" DESC NULLS LAST LIMIT 1']",7,7473df5a-60ef-4b49-8329-1e7bfb278ca1,"List out the account numbers of clients who are youngest and have highest average salary? If the person A's birthdate < B's birthdate, it means that person B is younger than person A; A11 refers to average salary","{'disambiguation_question': [], 'intent_explanation': ""To find the youngest clients with the highest average salary, I need to join the 'client' and 'district' tables. I will identify the youngest age by finding the maximum 'birth_date' and the highest average salary using the 'A11' column in the 'district' table. The query filters for clients matching both these maximum criteria and returns their 'client_id' as the account identifier.""}",,"List out the account numbers of clients who are youngest and have highest average salary? If the person A's birthdate < B's birthdate, it means that person B is younger than person A; A11 refers to average salary",,dql,2026-04-07 15:46:13.746533,"SELECT ""public"".""client"".""client_id"" FROM ""public"".""client"" JOIN ""public"".""district"" ON ""public"".""client"".""district_id"" = ""public"".""district"".""district_id"" WHERE ""public"".""client"".""birth_date"" = (SELECT MAX(""birth_date"") FROM ""public"".""client"") AND ""public"".""district"".""A11"" = (SELECT MAX(""A11"") FROM ""public"".""district"") ORDER BY ""public"".""client"".""client_id"" ASC NULLS LAST;",[],,8.999572038650513,['difficulty: moderate'],
