cleanup_sql,database,dialects,eval_query,eval_results,generated_error,generated_prompt,generated_result,generated_sql,golden_error,golden_eval_results,golden_result,golden_sql,id,job_id,nl_prompt,other,payload,prompt,prompt_generator_error,query_type,run_time,sanitized_sql,setup_sql,sql_generator_error,sql_generator_time,tags,trace_id
[],financial,['postgres'],[],,"(pg8000.exceptions.DatabaseError) {'S': 'FATAL', 'V': 'FATAL', 'C': '28000', 'M': 'no PostgreSQL user name specified in startup packet', 'F': 'postmaster.c', 'L': '2748', 'R': 'ProcessStartupPacket'}
(Background on this error at: https://sqlalche.me/e/20/4xp6)","The average unemployment ratio of 1995 and 1996, which one has higher percentage? A12 refers to unemploymant rate 1995; A13 refers to unemploymant rate 1996",[],"SELECT CASE WHEN AVG(""district"".""A12"") > AVG(""district"".""A13"") THEN '1995' WHEN AVG(""district"".""A13"") > AVG(""district"".""A12"") THEN '1996' ELSE 'Equal' END FROM ""district""","(pg8000.exceptions.DatabaseError) {'S': 'FATAL', 'V': 'FATAL', 'C': '28000', 'M': 'no PostgreSQL user name specified in startup packet', 'F': 'postmaster.c', 'L': '2748', 'R': 'ProcessStartupPacket'}
(Background on this error at: https://sqlalche.me/e/20/4xp6)",,[],"['SELECT DISTINCT CASE WHEN AVG(""A13"") > AVG(""A12"") THEN \'1996\' ELSE \'1995\' END FROM ""district""']",3,39b4320e-f317-4d01-ab9e-b0a8b997d7b2,"The average unemployment ratio of 1995 and 1996, which one has higher percentage? A12 refers to unemploymant rate 1995; A13 refers to unemploymant rate 1996","{'disambiguation_question': [], 'intent_explanation': 'The question asks to compare the average unemployment rates for 1995 (column A12) and 1996 (column A13) from the district table. I will calculate the average for both columns and use a CASE statement to return the year with the higher average. I will ensure all identifiers are double-quoted as per the rules.'}",,"The average unemployment ratio of 1995 and 1996, which one has higher percentage? A12 refers to unemploymant rate 1995; A13 refers to unemploymant rate 1996",,dql,2026-04-07 11:59:07.124281,"SELECT CASE WHEN AVG(""district"".""A12"") > AVG(""district"".""A13"") THEN '1995' WHEN AVG(""district"".""A13"") > AVG(""district"".""A12"") THEN '1996' ELSE 'Equal' END FROM ""district""",[],,13.030771970748901,['difficulty: simple'],
[],financial,['postgres'],[],,"(pg8000.exceptions.DatabaseError) {'S': 'FATAL', 'V': 'FATAL', 'C': '28000', 'M': 'no PostgreSQL user name specified in startup packet', 'F': 'postmaster.c', 'L': '2748', 'R': 'ProcessStartupPacket'}
(Background on this error at: https://sqlalche.me/e/20/4xp6)",How many male customers who are living in North Bohemia have average salary greater than 8000? Male means that gender = 'M'; A3 refers to region; A11 pertains to average salary.,[],"SELECT COUNT(""public"".""client"".""client_id"") FROM ""public"".""client"" JOIN ""public"".""district"" ON ""public"".""client"".""district_id"" = ""public"".""district"".""district_id"" WHERE ""public"".""client"".""gender"" = 'M' AND ""public"".""district"".""A3"" = 'North Bohemia' AND ""public"".""district"".""A11"" > 8000;","(pg8000.exceptions.DatabaseError) {'S': 'FATAL', 'V': 'FATAL', 'C': '28000', 'M': 'no PostgreSQL user name specified in startup packet', 'F': 'postmaster.c', 'L': '2748', 'R': 'ProcessStartupPacket'}
(Background on this error at: https://sqlalche.me/e/20/4xp6)",,[],"['SELECT COUNT(""T1"".""client_id"") FROM ""client"" AS ""T1"" INNER JOIN ""district"" AS ""T2"" ON ""T1"".""district_id"" = ""T2"".""district_id"" WHERE ""T1"".""gender"" = \'M\' AND ""T2"".""A3"" = \'north Bohemia\' AND ""T2"".""A11"" > 8000', 'SELECT COUNT(""T1"".""client_id"") FROM ""client"" AS ""T1"" INNER JOIN ""district"" AS ""T2"" ON ""T1"".""district_id"" = ""T2"".""district_id"" WHERE ""T1"".""gender"" = \'M\' AND ""T2"".""A3"" = \'North Bohemia\' AND ""T2"".""A11"" > 8000']",5,39b4320e-f317-4d01-ab9e-b0a8b997d7b2,How many male customers who are living in North Bohemia have average salary greater than 8000? Male means that gender = 'M'; A3 refers to region; A11 pertains to average salary.,"{'disambiguation_question': [], 'intent_explanation': ""To answer the question, I need to join the 'client' and 'district' tables. I will filter for male clients ('M') in the 'North Bohemia' region (column 'A3') where the average salary (column 'A11') is greater than 8000. Finally, I will count the number of unique client IDs that meet these criteria.""}",,How many male customers who are living in North Bohemia have average salary greater than 8000? Male means that gender = 'M'; A3 refers to region; A11 pertains to average salary.,,dql,2026-04-07 11:59:07.124281,"SELECT COUNT(""public"".""client"".""client_id"") FROM ""public"".""client"" JOIN ""public"".""district"" ON ""public"".""client"".""district_id"" = ""public"".""district"".""district_id"" WHERE ""public"".""client"".""gender"" = 'M' AND ""public"".""district"".""A3"" = 'North Bohemia' AND ""public"".""district"".""A11"" > 8000;",[],,7.735898971557617,['difficulty: moderate'],
[],financial,['postgres'],[],,"(pg8000.exceptions.DatabaseError) {'S': 'FATAL', 'V': 'FATAL', 'C': '28000', 'M': 'no PostgreSQL user name specified in startup packet', 'F': 'postmaster.c', 'L': '2748', 'R': 'ProcessStartupPacket'}
(Background on this error at: https://sqlalche.me/e/20/4xp6)",How many customers who choose statement of weekly issuance are Owner? 'POPLATEK TYDNE' stands for weekly issuance,[],"SELECT COUNT(DISTINCT ""public"".""disp"".""client_id"") FROM ""public"".""account"" JOIN ""public"".""disp"" ON ""public"".""account"".""account_id"" = ""public"".""disp"".""account_id"" WHERE ""public"".""account"".""frequency"" = 'POPLATEK TYDNE' AND ""public"".""disp"".""type"" = 'OWNER';","(pg8000.exceptions.DatabaseError) {'S': 'FATAL', 'V': 'FATAL', 'C': '28000', 'M': 'no PostgreSQL user name specified in startup packet', 'F': 'postmaster.c', 'L': '2748', 'R': 'ProcessStartupPacket'}
(Background on this error at: https://sqlalche.me/e/20/4xp6)",,[],"['SELECT COUNT(DISTINCT ""T1"".""client_id"") FROM ""disp"" AS ""T1"" INNER JOIN ""account"" AS ""T2"" ON ""T1"".""account_id"" = ""T2"".""account_id"" WHERE ""T2"".""frequency"" = \'POPLATEK TYDNE\' AND ""T1"".""type"" = \'OWNER\'', 'SELECT COUNT(""T1"".""account_id"") FROM ""account"" AS ""T1"" INNER JOIN ""disp"" AS ""T2"" ON ""T1"".""account_id"" = ""T2"".""account_id"" WHERE ""T2"".""type"" = \'Owner\' AND ""T1"".""frequency"" = \'POPLATEK TYDNE\'']",8,39b4320e-f317-4d01-ab9e-b0a8b997d7b2,How many customers who choose statement of weekly issuance are Owner? 'POPLATEK TYDNE' stands for weekly issuance,"{'disambiguation_question': [], 'intent_explanation': ""To answer the question, I need to join the 'account', 'disp', and 'client' tables. The 'account' table contains the 'frequency' column, which I will filter for 'POPLATEK TYDNE' (weekly issuance). The 'disp' table contains the 'type' column, which I will filter for 'OWNER'. I will then count the number of unique 'client_id' values that meet these criteria.""}",,How many customers who choose statement of weekly issuance are Owner? 'POPLATEK TYDNE' stands for weekly issuance,,dql,2026-04-07 11:59:07.124281,"SELECT COUNT(DISTINCT ""public"".""disp"".""client_id"") FROM ""public"".""account"" JOIN ""public"".""disp"" ON ""public"".""account"".""account_id"" = ""public"".""disp"".""account_id"" WHERE ""public"".""account"".""frequency"" = 'POPLATEK TYDNE' AND ""public"".""disp"".""type"" = 'OWNER';",[],,13.104016304016113,['difficulty: simple'],
[],financial,['postgres'],[],,"(pg8000.exceptions.DatabaseError) {'S': 'FATAL', 'V': 'FATAL', 'C': '28000', 'M': 'no PostgreSQL user name specified in startup packet', 'F': 'postmaster.c', 'L': '2748', 'R': 'ProcessStartupPacket'}
(Background on this error at: https://sqlalche.me/e/20/4xp6)","List out the account numbers of female clients who are oldest and has lowest average salary, calculate the gap between this lowest average salary with the highest average salary? Female means gender = 'F'; A11 refers to average salary; Gap = highest average salary - lowest average salary; If the person A's birthdate > B's birthdate, it means that person B is order than person A.",[],"SELECT ""T3"".""account_id"", (SELECT MAX(""district"".""A11"") - MIN(""district"".""A11"") FROM ""district"") AS ""gap"" FROM ""client"" AS ""T1"" JOIN ""district"" AS ""T2"" ON ""T1"".""district_id"" = ""T2"".""district_id"" JOIN ""disp"" AS ""T3"" ON ""T1"".""client_id"" = ""T3"".""client_id"" WHERE ""T1"".""gender"" = 'F' AND ""T1"".""birth_date"" = (SELECT MIN(""birth_date"") FROM ""client"" WHERE ""gender"" = 'F') AND ""T2"".""A11"" = (SELECT MIN(""A11"") FROM ""district"" WHERE ""district_id"" IN (SELECT ""district_id"" FROM ""client"" WHERE ""gender"" = 'F' AND ""birth_date"" = (SELECT MIN(""birth_date"") FROM ""client"" WHERE ""gender"" = 'F'))) ORDER BY ""T3"".""account_id"" ASC NULLS LAST","(pg8000.exceptions.DatabaseError) {'S': 'FATAL', 'V': 'FATAL', 'C': '28000', 'M': 'no PostgreSQL user name specified in startup packet', 'F': 'postmaster.c', 'L': '2748', 'R': 'ProcessStartupPacket'}
(Background on this error at: https://sqlalche.me/e/20/4xp6)",,[],"['SELECT ""disp"".""account_id"", (SELECT MAX(""A11"") - MIN(""A11"") FROM ""district"") as gap FROM ""disp"" INNER JOIN ""client"" ON ""disp"".""client_id"" = ""client"".""client_id"" WHERE ""client"".""client_id"" IN ( SELECT ""c"".""client_id"" FROM ""client"" AS ""c"" INNER JOIN ""district"" AS ""d"" ON ""c"".""district_id"" = ""d"".""district_id"" WHERE ""c"".""gender"" = \'F\' ORDER BY ""d"".""A11"" ASC, ""c"".""birth_date"" ASC LIMIT 1 )', 'SELECT ""T1"".""account_id"", ( SELECT max(""A11"") - min(""A11"") FROM ""district"" ) FROM ""account"" AS ""T1"" INNER JOIN ""district"" AS ""T2"" ON ""T1"".""district_id"" = ""T2"".""district_id"" WHERE ""T2"".""district_id"" = ( SELECT ""district_id"" FROM ""client"" WHERE ""gender"" = \'F\' ORDER BY ""birth_date"" ASC LIMIT 1 ) ORDER BY ""T2"".""A11"" DESC NULLS LAST LIMIT 1']",6,39b4320e-f317-4d01-ab9e-b0a8b997d7b2,"List out the account numbers of female clients who are oldest and has lowest average salary, calculate the gap between this lowest average salary with the highest average salary? Female means gender = 'F'; A11 refers to average salary; Gap = highest average salary - lowest average salary; If the person A's birthdate > B's birthdate, it means that person B is order than person A.","{'disambiguation_question': [], 'intent_explanation': 'To find the oldest female clients, I identify those with the minimum birth_date. I then join the client table with the district table to access the average salary (A11). The query calculates the gap by subtracting the minimum A11 from the maximum A11 across all districts and retrieves the account IDs associated with these specific clients through the disp table.'}",,"List out the account numbers of female clients who are oldest and has lowest average salary, calculate the gap between this lowest average salary with the highest average salary? Female means gender = 'F'; A11 refers to average salary; Gap = highest average salary - lowest average salary; If the person A's birthdate > B's birthdate, it means that person B is order than person A.",,dql,2026-04-07 11:59:07.124281,"SELECT ""T3"".""account_id"", (SELECT MAX(""district"".""A11"") - MIN(""district"".""A11"") FROM ""district"") AS ""gap"" FROM ""client"" AS ""T1"" JOIN ""district"" AS ""T2"" ON ""T1"".""district_id"" = ""T2"".""district_id"" JOIN ""disp"" AS ""T3"" ON ""T1"".""client_id"" = ""T3"".""client_id"" WHERE ""T1"".""gender"" = 'F' AND ""T1"".""birth_date"" = (SELECT MIN(""birth_date"") FROM ""client"" WHERE ""gender"" = 'F') AND ""T2"".""A11"" = (SELECT MIN(""A11"") FROM ""district"" WHERE ""district_id"" IN (SELECT ""district_id"" FROM ""client"" WHERE ""gender"" = 'F' AND ""birth_date"" = (SELECT MIN(""birth_date"") FROM ""client"" WHERE ""gender"" = 'F'))) ORDER BY ""T3"".""account_id"" ASC NULLS LAST",[],,7.084647178649902,['difficulty: challenging'],
[],financial,['postgres'],[],,"(pg8000.exceptions.DatabaseError) {'S': 'FATAL', 'V': 'FATAL', 'C': '28000', 'M': 'no PostgreSQL user name specified in startup packet', 'F': 'postmaster.c', 'L': '2748', 'R': 'ProcessStartupPacket'}
(Background on this error at: https://sqlalche.me/e/20/4xp6)",How many accounts who have region in Prague are eligible for loans? A3 contains the data of region,[],"SELECT count(DISTINCT ""account"".""account_id"") FROM ""account"" JOIN ""district"" ON ""account"".""district_id"" = ""district"".""district_id"" JOIN ""loan"" ON ""account"".""account_id"" = ""loan"".""account_id"" WHERE ""district"".""A3"" = 'Prague';","(pg8000.exceptions.DatabaseError) {'S': 'FATAL', 'V': 'FATAL', 'C': '28000', 'M': 'no PostgreSQL user name specified in startup packet', 'F': 'postmaster.c', 'L': '2748', 'R': 'ProcessStartupPacket'}
(Background on this error at: https://sqlalche.me/e/20/4xp6)",,[],"['SELECT COUNT(""T1"".""account_id"") FROM ""account"" AS ""T1"" INNER JOIN ""loan"" AS ""T2"" ON ""T1"".""account_id"" = ""T2"".""account_id"" INNER JOIN ""district"" AS ""T3"" ON ""T1"".""district_id"" = ""T3"".""district_id"" WHERE ""T3"".""A3"" = \'Prague\'']",2,39b4320e-f317-4d01-ab9e-b0a8b997d7b2,How many accounts who have region in Prague are eligible for loans? A3 contains the data of region,"{'disambiguation_question': [], 'intent_explanation': ""I will join the 'account' table with the 'district' table using 'district_id'. I will filter the 'district' table where column 'A3' is 'Prague' to identify accounts in that region. Then, I will join with the 'loan' table to find accounts that have associated loans, which implies eligibility or active loan status. Finally, I will count the unique 'account_id' values.""}",,How many accounts who have region in Prague are eligible for loans? A3 contains the data of region,,dql,2026-04-07 11:59:07.124281,"SELECT count(DISTINCT ""account"".""account_id"") FROM ""account"" JOIN ""district"" ON ""account"".""district_id"" = ""district"".""district_id"" JOIN ""loan"" ON ""account"".""account_id"" = ""loan"".""account_id"" WHERE ""district"".""A3"" = 'Prague';",[],,6.59289288520813,['difficulty: simple'],
[],financial,['postgres'],[],,"(pg8000.exceptions.DatabaseError) {'S': 'FATAL', 'V': 'FATAL', 'C': '28000', 'M': 'no PostgreSQL user name specified in startup packet', 'F': 'postmaster.c', 'L': '2748', 'R': 'ProcessStartupPacket'}
(Background on this error at: https://sqlalche.me/e/20/4xp6)",List out the no. of districts that have female average salary is more than 6000 but less than 10000? A11 refers to average salary; Female mapps to gender = 'F',[],"SELECT COUNT(DISTINCT ""district"".""district_id"") FROM ""district"" JOIN ""client"" ON ""district"".""district_id"" = ""client"".""district_id"" WHERE ""district"".""A11"" > 6000 AND ""district"".""A11"" < 10000 AND ""client"".""gender"" = 'F';","(pg8000.exceptions.DatabaseError) {'S': 'FATAL', 'V': 'FATAL', 'C': '28000', 'M': 'no PostgreSQL user name specified in startup packet', 'F': 'postmaster.c', 'L': '2748', 'R': 'ProcessStartupPacket'}
(Background on this error at: https://sqlalche.me/e/20/4xp6)",,[],"['SELECT COUNT(DISTINCT ""T1"".""district_id"") FROM ""district"" AS ""T1"" INNER JOIN ""client"" AS ""T2"" ON ""T1"".""district_id"" = ""T2"".""district_id"" WHERE ""T2"".""gender"" = \'F\' AND ""T1"".""A11"" BETWEEN 6000 AND 10000;', 'SELECT DISTINCT ""T2"".""district_id"" FROM ""client"" AS ""T1"" INNER JOIN ""district"" AS ""T2"" ON ""T1"".""district_id"" = ""T2"".""district_id"" WHERE ""T1"".""gender"" = \'F\' AND ""T2"".""A11"" BETWEEN 6000 AND 10000']",4,39b4320e-f317-4d01-ab9e-b0a8b997d7b2,List out the no. of districts that have female average salary is more than 6000 but less than 10000? A11 refers to average salary; Female mapps to gender = 'F',"{'disambiguation_question': [], 'intent_explanation': ""The question asks for the count of districts where the average salary (column A11) is between 6000 and 10000, specifically for females. However, the schema shows that 'A11' is a column in the 'district' table, which represents the average salary of the district as a whole, not segmented by gender. Since 'gender' is in the 'client' table and 'A11' is in the 'district' table, I will filter districts based on the A11 value and the existence of female clients in those districts.""}",,List out the no. of districts that have female average salary is more than 6000 but less than 10000? A11 refers to average salary; Female mapps to gender = 'F',,dql,2026-04-07 11:59:07.124281,"SELECT COUNT(DISTINCT ""district"".""district_id"") FROM ""district"" JOIN ""client"" ON ""district"".""district_id"" = ""client"".""district_id"" WHERE ""district"".""A11"" > 6000 AND ""district"".""A11"" < 10000 AND ""client"".""gender"" = 'F';",[],,6.732155799865723,['difficulty: simple'],
[],financial,['postgres'],[],,"(pg8000.exceptions.DatabaseError) {'S': 'FATAL', 'V': 'FATAL', 'C': '28000', 'M': 'no PostgreSQL user name specified in startup packet', 'F': 'postmaster.c', 'L': '2748', 'R': 'ProcessStartupPacket'}
(Background on this error at: https://sqlalche.me/e/20/4xp6)","List out the account numbers of clients who are youngest and have highest average salary? If the person A's birthdate < B's birthdate, it means that person B is younger than person A; A11 refers to average salary",[],"SELECT ""public"".""account"".""account_id"" FROM ""public"".""account"" JOIN ""public"".""disp"" ON ""public"".""account"".""account_id"" = ""public"".""disp"".""account_id"" JOIN ""public"".""client"" ON ""public"".""disp"".""client_id"" = ""public"".""client"".""client_id"" JOIN ""public"".""district"" ON ""public"".""client"".""district_id"" = ""public"".""district"".""district_id"" WHERE ""public"".""client"".""birth_date"" = (SELECT MAX(""birth_date"") FROM ""public"".""client"") AND ""public"".""district"".""A11"" = (SELECT MAX(""A11"") FROM ""public"".""district"") ORDER BY ""public"".""account"".""account_id"" ASC NULLS LAST;","(pg8000.exceptions.DatabaseError) {'S': 'FATAL', 'V': 'FATAL', 'C': '28000', 'M': 'no PostgreSQL user name specified in startup packet', 'F': 'postmaster.c', 'L': '2748', 'R': 'ProcessStartupPacket'}
(Background on this error at: https://sqlalche.me/e/20/4xp6)",,[],"['SELECT T1.account_id FROM account AS T1 INNER JOIN client AS T2 ON T1.district_id = T2.district_id INNER JOIN district AS T3 ON T2.district_id = T3.district_id WHERE T2.birth_date = (SELECT MAX(birth_date) FROM client) -- Youngest client(s) AND T3.A11 = (SELECT MAX(A11) FROM district); -- District with highest avg salary', 'SELECT ""T1"".""account_id"" FROM ""account"" AS ""T1"" INNER JOIN ""district"" AS ""T2"" ON ""T1"".""district_id"" = ""T2"".""district_id"" WHERE ""T2"".""district_id"" = ( SELECT ""district_id"" FROM ""client"" ORDER BY ""birth_date"" DESC LIMIT 1 ) ORDER BY ""T2"".""A11"" DESC NULLS LAST LIMIT 1']",7,39b4320e-f317-4d01-ab9e-b0a8b997d7b2,"List out the account numbers of clients who are youngest and have highest average salary? If the person A's birthdate < B's birthdate, it means that person B is younger than person A; A11 refers to average salary","{'disambiguation_question': [], 'intent_explanation': ""To find the youngest clients with the highest average salary, I will join the 'client', 'district', 'disp', and 'account' tables. 'Youngest' is determined by the maximum 'birth_date', and 'highest average salary' is determined by the maximum value in the 'A11' column of the 'district' table. I will use subqueries to filter for these specific maximum values and return the corresponding 'account_id'.""}",,"List out the account numbers of clients who are youngest and have highest average salary? If the person A's birthdate < B's birthdate, it means that person B is younger than person A; A11 refers to average salary",,dql,2026-04-07 11:59:07.124281,"SELECT ""public"".""account"".""account_id"" FROM ""public"".""account"" JOIN ""public"".""disp"" ON ""public"".""account"".""account_id"" = ""public"".""disp"".""account_id"" JOIN ""public"".""client"" ON ""public"".""disp"".""client_id"" = ""public"".""client"".""client_id"" JOIN ""public"".""district"" ON ""public"".""client"".""district_id"" = ""public"".""district"".""district_id"" WHERE ""public"".""client"".""birth_date"" = (SELECT MAX(""birth_date"") FROM ""public"".""client"") AND ""public"".""district"".""A11"" = (SELECT MAX(""A11"") FROM ""public"".""district"") ORDER BY ""public"".""account"".""account_id"" ASC NULLS LAST;",[],,19.984781980514526,['difficulty: moderate'],
[],financial,['postgres'],[],,,How many accounts who choose issuance after transaction are staying in East Bohemia region? A3 contains the data of region; 'POPLATEK PO OBRATU' represents for 'issuance after transaction'.,,,"(pg8000.exceptions.DatabaseError) {'S': 'FATAL', 'V': 'FATAL', 'C': '28000', 'M': 'no PostgreSQL user name specified in startup packet', 'F': 'postmaster.c', 'L': '2748', 'R': 'ProcessStartupPacket'}
(Background on this error at: https://sqlalche.me/e/20/4xp6)",,[],"['SELECT COUNT(DISTINCT ""T1"".""account_id"") FROM ""account"" AS ""T1"" INNER JOIN ""district"" AS ""T2"" ON ""T1"".""district_id"" = ""T2"".""district_id"" WHERE ""T2"".""A3"" = \'east Bohemia\' AND ""T1"".""frequency"" = \'POPLATEK PO OBRATU\'', 'SELECT COUNT(""T1"".""district_id"") FROM ""district"" AS ""T1"" INNER JOIN ""account"" AS ""T2"" ON ""T1"".""district_id"" = ""T2"".""district_id"" WHERE ""T1"".""A3"" = \'East Bohemia\' AND ""T2"".""frequency"" = \'POPLATEK PO OBRATU\'']",1,39b4320e-f317-4d01-ab9e-b0a8b997d7b2,How many accounts who choose issuance after transaction are staying in East Bohemia region? A3 contains the data of region; 'POPLATEK PO OBRATU' represents for 'issuance after transaction'.,"{'SQLite_query': '""SELECT COUNT(T1.district_id) FROM district AS T1 INNER JOIN account AS T2 ON T1.district_id = T2.district_id WHERE T1.A3 = \'East Bohemia\' AND T2.frequency = \'POPLATEK PO OBRATU\'""', 'evidence': '""A3 contains the data of region; \'POPLATEK PO OBRATU\' represents for \'issuance after transaction\'.""', 'question': '""How many accounts who choose issuance after transaction are staying in East Bohemia region?""', 'question_id': '89', 'result_matched_mysql': 'false', 'result_matched_postgres': 'true', 'result_matched_sqlserver': 'false'}",,How many accounts who choose issuance after transaction are staying in East Bohemia region? A3 contains the data of region; 'POPLATEK PO OBRATU' represents for 'issuance after transaction'.,,dql,2026-04-07 11:59:07.124281,,[],500 Internal error encountered.,0.0,['difficulty: moderate'],
[],financial,['postgres'],[],,"(pg8000.exceptions.DatabaseError) {'S': 'FATAL', 'V': 'FATAL', 'C': '28000', 'M': 'no PostgreSQL user name specified in startup packet', 'F': 'postmaster.c', 'L': '2748', 'R': 'ProcessStartupPacket'}
(Background on this error at: https://sqlalche.me/e/20/4xp6)",List out the clients who choose statement of issuance after transaction are Disponent? 'POPLATEK PO OBRATU' stands for issuance after transaction,[],"SELECT ""client"".""client_id"" FROM ""client"" JOIN ""disp"" ON ""client"".""client_id"" = ""disp"".""client_id"" JOIN ""account"" ON ""disp"".""account_id"" = ""account"".""account_id"" WHERE ""disp"".""type"" = 'DISPONENT' AND ""account"".""frequency"" = 'POPLATEK PO OBRATU' ORDER BY ""client"".""client_id"" ASC NULLS LAST;","(pg8000.exceptions.DatabaseError) {'S': 'FATAL', 'V': 'FATAL', 'C': '28000', 'M': 'no PostgreSQL user name specified in startup packet', 'F': 'postmaster.c', 'L': '2748', 'R': 'ProcessStartupPacket'}
(Background on this error at: https://sqlalche.me/e/20/4xp6)",,[],"['SELECT ""T2"".""client_id"" FROM ""account"" AS ""T1"" INNER JOIN ""disp"" AS ""T2"" ON ""T1"".""account_id"" = ""T2"".""account_id"" WHERE ""T1"".""frequency"" = \'POPLATEK PO OBRATU\' AND ""T2"".""type"" = \'DISPONENT\'']",9,39b4320e-f317-4d01-ab9e-b0a8b997d7b2,List out the clients who choose statement of issuance after transaction are Disponent? 'POPLATEK PO OBRATU' stands for issuance after transaction,"{'disambiguation_question': [], 'intent_explanation': ""The question asks for clients who are 'Disponent' and have a 'POPLATEK PO OBRATU' frequency (issuance after transaction). I will join the 'client', 'disp', and 'account' tables. I will filter 'disp'.'type' for 'DISPONENT' and 'account'.'frequency' for 'POPLATEK PO OBRATU'.""}",,List out the clients who choose statement of issuance after transaction are Disponent? 'POPLATEK PO OBRATU' stands for issuance after transaction,,dql,2026-04-07 11:59:07.124281,"SELECT ""client"".""client_id"" FROM ""client"" JOIN ""disp"" ON ""client"".""client_id"" = ""disp"".""client_id"" JOIN ""account"" ON ""disp"".""account_id"" = ""account"".""account_id"" WHERE ""disp"".""type"" = 'DISPONENT' AND ""account"".""frequency"" = 'POPLATEK PO OBRATU' ORDER BY ""client"".""client_id"" ASC NULLS LAST;",[],,6.591525077819824,['difficulty: simple'],
[],financial,['postgres'],[],,,"Among the accounts who have approved loan date in 1997, list out the accounts that have the lowest approved amount and choose weekly issuance statement. 'POPLATEK TYDNE' stands for weekly issuance",,,"(pg8000.exceptions.DatabaseError) {'S': 'FATAL', 'V': 'FATAL', 'C': '28000', 'M': 'no PostgreSQL user name specified in startup packet', 'F': 'postmaster.c', 'L': '2748', 'R': 'ProcessStartupPacket'}
(Background on this error at: https://sqlalche.me/e/20/4xp6)",,[],"['SELECT ""T2"".""account_id"" FROM loan AS ""T1"" INNER JOIN account AS ""T2"" ON ""T1"".""account_id"" = ""T2"".""account_id"" WHERE to_char(""T1"".""date""::timestamp, \'YYYY\') = \'1997\' AND ""T2"".""frequency"" = \'POPLATEK TYDNE\' ORDER BY ""T1"".""amount"" NULLS LAST LIMIT 1']",10,39b4320e-f317-4d01-ab9e-b0a8b997d7b2,"Among the accounts who have approved loan date in 1997, list out the accounts that have the lowest approved amount and choose weekly issuance statement. 'POPLATEK TYDNE' stands for weekly issuance","{'SQLite_query': '""SELECT T2.account_id FROM loan AS T1 INNER JOIN account AS T2 ON T1.account_id = T2.account_id WHERE STRFTIME(\'%Y\', T1.date) = \'1997\' AND T2.frequency = \'POPLATEK TYDNE\' ORDER BY T1.amount LIMIT 1""', 'evidence': '""\'POPLATEK TYDNE\' stands for weekly issuance""', 'question': '""Among the accounts who have approved loan date in 1997, list out the accounts that have the lowest approved amount and choose weekly issuance statement.""', 'question_id': '98', 'result_matched_mysql': 'true', 'result_matched_postgres': 'true', 'result_matched_sqlserver': 'false'}",,"Among the accounts who have approved loan date in 1997, list out the accounts that have the lowest approved amount and choose weekly issuance statement. 'POPLATEK TYDNE' stands for weekly issuance",,dql,2026-04-07 11:59:07.124281,,[],500 Internal error encountered.,0.0,['difficulty: moderate'],
