comparator,comparison_error,comparison_logs,database,dialects,generated_error,generated_sql,id,job_id,score
llmrater,,Golden query failed to execute.,financial,['postgres'],"(pg8000.exceptions.DatabaseError) {'S': 'FATAL', 'V': 'FATAL', 'C': '28000', 'M': 'no PostgreSQL user name specified in startup packet', 'F': 'postmaster.c', 'L': '2748', 'R': 'ProcessStartupPacket'}
(Background on this error at: https://sqlalche.me/e/20/4xp6)","SELECT CASE WHEN AVG(""district"".""A12"") > AVG(""district"".""A13"") THEN '1995' WHEN AVG(""district"".""A13"") > AVG(""district"".""A12"") THEN '1996' ELSE 'Equal' END FROM ""district""",3,39b4320e-f317-4d01-ab9e-b0a8b997d7b2,0
llmrater,,Golden query failed to execute.,financial,['postgres'],"(pg8000.exceptions.DatabaseError) {'S': 'FATAL', 'V': 'FATAL', 'C': '28000', 'M': 'no PostgreSQL user name specified in startup packet', 'F': 'postmaster.c', 'L': '2748', 'R': 'ProcessStartupPacket'}
(Background on this error at: https://sqlalche.me/e/20/4xp6)","SELECT COUNT(""public"".""client"".""client_id"") FROM ""public"".""client"" JOIN ""public"".""district"" ON ""public"".""client"".""district_id"" = ""public"".""district"".""district_id"" WHERE ""public"".""client"".""gender"" = 'M' AND ""public"".""district"".""A3"" = 'North Bohemia' AND ""public"".""district"".""A11"" > 8000;",5,39b4320e-f317-4d01-ab9e-b0a8b997d7b2,0
llmrater,,Golden query failed to execute.,financial,['postgres'],"(pg8000.exceptions.DatabaseError) {'S': 'FATAL', 'V': 'FATAL', 'C': '28000', 'M': 'no PostgreSQL user name specified in startup packet', 'F': 'postmaster.c', 'L': '2748', 'R': 'ProcessStartupPacket'}
(Background on this error at: https://sqlalche.me/e/20/4xp6)","SELECT ""T3"".""account_id"", (SELECT MAX(""district"".""A11"") - MIN(""district"".""A11"") FROM ""district"") AS ""gap"" FROM ""client"" AS ""T1"" JOIN ""district"" AS ""T2"" ON ""T1"".""district_id"" = ""T2"".""district_id"" JOIN ""disp"" AS ""T3"" ON ""T1"".""client_id"" = ""T3"".""client_id"" WHERE ""T1"".""gender"" = 'F' AND ""T1"".""birth_date"" = (SELECT MIN(""birth_date"") FROM ""client"" WHERE ""gender"" = 'F') AND ""T2"".""A11"" = (SELECT MIN(""A11"") FROM ""district"" WHERE ""district_id"" IN (SELECT ""district_id"" FROM ""client"" WHERE ""gender"" = 'F' AND ""birth_date"" = (SELECT MIN(""birth_date"") FROM ""client"" WHERE ""gender"" = 'F'))) ORDER BY ""T3"".""account_id"" ASC NULLS LAST",6,39b4320e-f317-4d01-ab9e-b0a8b997d7b2,0
llmrater,,Golden query failed to execute.,financial,['postgres'],"(pg8000.exceptions.DatabaseError) {'S': 'FATAL', 'V': 'FATAL', 'C': '28000', 'M': 'no PostgreSQL user name specified in startup packet', 'F': 'postmaster.c', 'L': '2748', 'R': 'ProcessStartupPacket'}
(Background on this error at: https://sqlalche.me/e/20/4xp6)","SELECT count(DISTINCT ""account"".""account_id"") FROM ""account"" JOIN ""district"" ON ""account"".""district_id"" = ""district"".""district_id"" JOIN ""loan"" ON ""account"".""account_id"" = ""loan"".""account_id"" WHERE ""district"".""A3"" = 'Prague';",2,39b4320e-f317-4d01-ab9e-b0a8b997d7b2,0
llmrater,,Golden query failed to execute.,financial,['postgres'],"(pg8000.exceptions.DatabaseError) {'S': 'FATAL', 'V': 'FATAL', 'C': '28000', 'M': 'no PostgreSQL user name specified in startup packet', 'F': 'postmaster.c', 'L': '2748', 'R': 'ProcessStartupPacket'}
(Background on this error at: https://sqlalche.me/e/20/4xp6)","SELECT COUNT(DISTINCT ""public"".""disp"".""client_id"") FROM ""public"".""account"" JOIN ""public"".""disp"" ON ""public"".""account"".""account_id"" = ""public"".""disp"".""account_id"" WHERE ""public"".""account"".""frequency"" = 'POPLATEK TYDNE' AND ""public"".""disp"".""type"" = 'OWNER';",8,39b4320e-f317-4d01-ab9e-b0a8b997d7b2,0
llmrater,,Golden query failed to execute.,financial,['postgres'],"(pg8000.exceptions.DatabaseError) {'S': 'FATAL', 'V': 'FATAL', 'C': '28000', 'M': 'no PostgreSQL user name specified in startup packet', 'F': 'postmaster.c', 'L': '2748', 'R': 'ProcessStartupPacket'}
(Background on this error at: https://sqlalche.me/e/20/4xp6)","SELECT COUNT(DISTINCT ""district"".""district_id"") FROM ""district"" JOIN ""client"" ON ""district"".""district_id"" = ""client"".""district_id"" WHERE ""district"".""A11"" > 6000 AND ""district"".""A11"" < 10000 AND ""client"".""gender"" = 'F';",4,39b4320e-f317-4d01-ab9e-b0a8b997d7b2,0
llmrater,,Golden query failed to execute.,financial,['postgres'],"(pg8000.exceptions.DatabaseError) {'S': 'FATAL', 'V': 'FATAL', 'C': '28000', 'M': 'no PostgreSQL user name specified in startup packet', 'F': 'postmaster.c', 'L': '2748', 'R': 'ProcessStartupPacket'}
(Background on this error at: https://sqlalche.me/e/20/4xp6)","SELECT ""client"".""client_id"" FROM ""client"" JOIN ""disp"" ON ""client"".""client_id"" = ""disp"".""client_id"" JOIN ""account"" ON ""disp"".""account_id"" = ""account"".""account_id"" WHERE ""disp"".""type"" = 'DISPONENT' AND ""account"".""frequency"" = 'POPLATEK PO OBRATU' ORDER BY ""client"".""client_id"" ASC NULLS LAST;",9,39b4320e-f317-4d01-ab9e-b0a8b997d7b2,0
llmrater,,Golden query failed to execute.,financial,['postgres'],"(pg8000.exceptions.DatabaseError) {'S': 'FATAL', 'V': 'FATAL', 'C': '28000', 'M': 'no PostgreSQL user name specified in startup packet', 'F': 'postmaster.c', 'L': '2748', 'R': 'ProcessStartupPacket'}
(Background on this error at: https://sqlalche.me/e/20/4xp6)","SELECT ""public"".""account"".""account_id"" FROM ""public"".""account"" JOIN ""public"".""disp"" ON ""public"".""account"".""account_id"" = ""public"".""disp"".""account_id"" JOIN ""public"".""client"" ON ""public"".""disp"".""client_id"" = ""public"".""client"".""client_id"" JOIN ""public"".""district"" ON ""public"".""client"".""district_id"" = ""public"".""district"".""district_id"" WHERE ""public"".""client"".""birth_date"" = (SELECT MAX(""birth_date"") FROM ""public"".""client"") AND ""public"".""district"".""A11"" = (SELECT MAX(""A11"") FROM ""public"".""district"") ORDER BY ""public"".""account"".""account_id"" ASC NULLS LAST;",7,39b4320e-f317-4d01-ab9e-b0a8b997d7b2,0
llmrater,,,financial,['postgres'],,,1,39b4320e-f317-4d01-ab9e-b0a8b997d7b2,0
llmrater,,,financial,['postgres'],,,10,39b4320e-f317-4d01-ab9e-b0a8b997d7b2,0
