cleanup_sql,database,dialects,eval_query,eval_results,generated_error,generated_prompt,generated_result,generated_sql,golden_error,golden_eval_results,golden_result,golden_sql,id,job_id,nl_prompt,other,payload,prompt,prompt_generator_error,query_type,run_time,sanitized_sql,setup_sql,sql_generator_error,sql_generator_time,tags,trace_id
[],financial,['postgres'],[],,"(pg8000.exceptions.DatabaseError) {'S': 'FATAL', 'V': 'FATAL', 'C': '28000', 'M': 'no PostgreSQL user name specified in startup packet', 'F': 'postmaster.c', 'L': '2748', 'R': 'ProcessStartupPacket'}
(Background on this error at: https://sqlalche.me/e/20/4xp6)",How many accounts who choose issuance after transaction are staying in East Bohemia region? A3 contains the data of region; 'POPLATEK PO OBRATU' represents for 'issuance after transaction'.,[],"SELECT COUNT(DISTINCT ""public"".""account"".""account_id"") FROM ""public"".""account"" JOIN ""public"".""district"" ON ""public"".""account"".""district_id"" = ""public"".""district"".""district_id"" JOIN ""public"".""trans"" ON ""public"".""account"".""account_id"" = ""public"".""trans"".""account_id"" WHERE ""public"".""district"".""A3"" = 'East Bohemia' AND ""public"".""trans"".""k_symbol"" = 'POPLATEK PO OBRATU'","(pg8000.exceptions.DatabaseError) {'S': 'FATAL', 'V': 'FATAL', 'C': '28000', 'M': 'no PostgreSQL user name specified in startup packet', 'F': 'postmaster.c', 'L': '2748', 'R': 'ProcessStartupPacket'}
(Background on this error at: https://sqlalche.me/e/20/4xp6)",,[],"['SELECT COUNT(DISTINCT ""T1"".""account_id"") FROM ""account"" AS ""T1"" INNER JOIN ""district"" AS ""T2"" ON ""T1"".""district_id"" = ""T2"".""district_id"" WHERE ""T2"".""A3"" = \'east Bohemia\' AND ""T1"".""frequency"" = \'POPLATEK PO OBRATU\'', 'SELECT COUNT(""T1"".""district_id"") FROM ""district"" AS ""T1"" INNER JOIN ""account"" AS ""T2"" ON ""T1"".""district_id"" = ""T2"".""district_id"" WHERE ""T1"".""A3"" = \'East Bohemia\' AND ""T2"".""frequency"" = \'POPLATEK PO OBRATU\'']",1,c572f9a9-29a6-407a-ab85-f9798027d9da,How many accounts who choose issuance after transaction are staying in East Bohemia region? A3 contains the data of region; 'POPLATEK PO OBRATU' represents for 'issuance after transaction'.,"{'disambiguation_question': [], 'intent_explanation': ""I will join the 'account', 'district', and 'trans' tables to identify accounts located in the 'East Bohemia' region (column 'A3') that have transactions with the 'k_symbol' of 'POPLATEK PO OBRATU'. I will then count the unique 'account_id' values that meet these criteria.""}",,How many accounts who choose issuance after transaction are staying in East Bohemia region? A3 contains the data of region; 'POPLATEK PO OBRATU' represents for 'issuance after transaction'.,,dql,2026-04-07 11:47:03.558819,"SELECT COUNT(DISTINCT ""public"".""account"".""account_id"") FROM ""public"".""account"" JOIN ""public"".""district"" ON ""public"".""account"".""district_id"" = ""public"".""district"".""district_id"" JOIN ""public"".""trans"" ON ""public"".""account"".""account_id"" = ""public"".""trans"".""account_id"" WHERE ""public"".""district"".""A3"" = 'East Bohemia' AND ""public"".""trans"".""k_symbol"" = 'POPLATEK PO OBRATU'",[],,9.142868995666504,['difficulty: moderate'],
[],financial,['postgres'],[],,,How many accounts who have region in Prague are eligible for loans? A3 contains the data of region,,,"(pg8000.exceptions.DatabaseError) {'S': 'FATAL', 'V': 'FATAL', 'C': '28000', 'M': 'no PostgreSQL user name specified in startup packet', 'F': 'postmaster.c', 'L': '2748', 'R': 'ProcessStartupPacket'}
(Background on this error at: https://sqlalche.me/e/20/4xp6)",,[],"['SELECT COUNT(""T1"".""account_id"") FROM ""account"" AS ""T1"" INNER JOIN ""loan"" AS ""T2"" ON ""T1"".""account_id"" = ""T2"".""account_id"" INNER JOIN ""district"" AS ""T3"" ON ""T1"".""district_id"" = ""T3"".""district_id"" WHERE ""T3"".""A3"" = \'Prague\'']",2,c572f9a9-29a6-407a-ab85-f9798027d9da,How many accounts who have region in Prague are eligible for loans? A3 contains the data of region,"{'SQLite_query': '""SELECT COUNT(T1.account_id) FROM account AS T1 INNER JOIN loan AS T2 ON T1.account_id = T2.account_id INNER JOIN district AS T3 ON T1.district_id = T3.district_id WHERE T3.A3 = \'Prague\'""', 'evidence': '""A3 contains the data of region""', 'question': '""How many accounts who have region in Prague are eligible for loans?""', 'question_id': '90', 'result_matched_mysql': 'true', 'result_matched_postgres': 'true', 'result_matched_sqlserver': 'false'}",,How many accounts who have region in Prague are eligible for loans? A3 contains the data of region,,dql,2026-04-07 11:47:03.558819,,[],503 Your request took too long to process. Please try again.,0.0,['difficulty: simple'],
[],financial,['postgres'],[],,"(pg8000.exceptions.DatabaseError) {'S': 'FATAL', 'V': 'FATAL', 'C': '28000', 'M': 'no PostgreSQL user name specified in startup packet', 'F': 'postmaster.c', 'L': '2748', 'R': 'ProcessStartupPacket'}
(Background on this error at: https://sqlalche.me/e/20/4xp6)",How many customers who choose statement of weekly issuance are Owner? 'POPLATEK TYDNE' stands for weekly issuance,[],"SELECT COUNT(""public"".""disp"".""client_id"") FROM ""public"".""account"" JOIN ""public"".""disp"" ON ""public"".""account"".""account_id"" = ""public"".""disp"".""account_id"" WHERE ""public"".""account"".""frequency"" = 'POPLATEK TYDNE' AND ""public"".""disp"".""type"" = 'OWNER'","(pg8000.exceptions.DatabaseError) {'S': 'FATAL', 'V': 'FATAL', 'C': '28000', 'M': 'no PostgreSQL user name specified in startup packet', 'F': 'postmaster.c', 'L': '2748', 'R': 'ProcessStartupPacket'}
(Background on this error at: https://sqlalche.me/e/20/4xp6)",,[],"['SELECT COUNT(DISTINCT ""T1"".""client_id"") FROM ""disp"" AS ""T1"" INNER JOIN ""account"" AS ""T2"" ON ""T1"".""account_id"" = ""T2"".""account_id"" WHERE ""T2"".""frequency"" = \'POPLATEK TYDNE\' AND ""T1"".""type"" = \'OWNER\'', 'SELECT COUNT(""T1"".""account_id"") FROM ""account"" AS ""T1"" INNER JOIN ""disp"" AS ""T2"" ON ""T1"".""account_id"" = ""T2"".""account_id"" WHERE ""T2"".""type"" = \'Owner\' AND ""T1"".""frequency"" = \'POPLATEK TYDNE\'']",8,c572f9a9-29a6-407a-ab85-f9798027d9da,How many customers who choose statement of weekly issuance are Owner? 'POPLATEK TYDNE' stands for weekly issuance,"{'disambiguation_question': [], 'intent_explanation': ""The user wants to count the number of clients who have a 'weekly issuance' frequency and are also 'OWNER' types. I will join the 'account' table (which contains the frequency 'POPLATEK TYDNE') with the 'disp' table (which contains the disposition type) using 'account_id'. I will filter for frequency 'POPLATEK TYDNE' and type 'OWNER'.""}",,How many customers who choose statement of weekly issuance are Owner? 'POPLATEK TYDNE' stands for weekly issuance,,dql,2026-04-07 11:47:03.558819,"SELECT COUNT(""public"".""disp"".""client_id"") FROM ""public"".""account"" JOIN ""public"".""disp"" ON ""public"".""account"".""account_id"" = ""public"".""disp"".""account_id"" WHERE ""public"".""account"".""frequency"" = 'POPLATEK TYDNE' AND ""public"".""disp"".""type"" = 'OWNER'",[],,8.328067064285278,['difficulty: simple'],
[],financial,['postgres'],[],,"(pg8000.exceptions.DatabaseError) {'S': 'FATAL', 'V': 'FATAL', 'C': '28000', 'M': 'no PostgreSQL user name specified in startup packet', 'F': 'postmaster.c', 'L': '2748', 'R': 'ProcessStartupPacket'}
(Background on this error at: https://sqlalche.me/e/20/4xp6)","Among the accounts who have approved loan date in 1997, list out the accounts that have the lowest approved amount and choose weekly issuance statement. 'POPLATEK TYDNE' stands for weekly issuance",[],"SELECT ""public"".""account"".""account_id"" FROM ""public"".""account"" JOIN ""public"".""loan"" ON ""public"".""account"".""account_id"" = ""public"".""loan"".""account_id"" WHERE ""public"".""account"".""frequency"" = 'POPLATEK TYDNE' AND ""public"".""loan"".""date"" >= '1997-01-01' AND ""public"".""loan"".""date"" <= '1997-12-31' AND ""public"".""loan"".""status"" IN ('A', 'C') AND ""public"".""loan"".""amount"" = (SELECT MIN(""t2"".""amount"") FROM ""public"".""loan"" AS ""t2"" JOIN ""public"".""account"" AS ""t3"" ON ""t2"".""account_id"" = ""t3"".""account_id"" WHERE ""t3"".""frequency"" = 'POPLATEK TYDNE' AND ""t2"".""date"" >= '1997-01-01' AND ""t2"".""date"" <= '1997-12-31' AND ""t2"".""status"" IN ('A', 'C')) ORDER BY ""public"".""account"".""account_id"" ASC NULLS LAST","(pg8000.exceptions.DatabaseError) {'S': 'FATAL', 'V': 'FATAL', 'C': '28000', 'M': 'no PostgreSQL user name specified in startup packet', 'F': 'postmaster.c', 'L': '2748', 'R': 'ProcessStartupPacket'}
(Background on this error at: https://sqlalche.me/e/20/4xp6)",,[],"['SELECT ""T2"".""account_id"" FROM loan AS ""T1"" INNER JOIN account AS ""T2"" ON ""T1"".""account_id"" = ""T2"".""account_id"" WHERE to_char(""T1"".""date""::timestamp, \'YYYY\') = \'1997\' AND ""T2"".""frequency"" = \'POPLATEK TYDNE\' ORDER BY ""T1"".""amount"" NULLS LAST LIMIT 1']",10,c572f9a9-29a6-407a-ab85-f9798027d9da,"Among the accounts who have approved loan date in 1997, list out the accounts that have the lowest approved amount and choose weekly issuance statement. 'POPLATEK TYDNE' stands for weekly issuance","{'disambiguation_question': [], 'intent_explanation': ""I will identify accounts with loans having a status indicating approval (assuming 'A' or 'C' for finished/running loans) and a date in 1997. Then, I will filter for accounts with the 'weekly issuance' frequency ('POPLATEK TYDNE'). Finally, I will find the account(s) with the minimum loan amount among this group.""}",,"Among the accounts who have approved loan date in 1997, list out the accounts that have the lowest approved amount and choose weekly issuance statement. 'POPLATEK TYDNE' stands for weekly issuance",,dql,2026-04-07 11:47:03.558819,"SELECT ""public"".""account"".""account_id"" FROM ""public"".""account"" JOIN ""public"".""loan"" ON ""public"".""account"".""account_id"" = ""public"".""loan"".""account_id"" WHERE ""public"".""account"".""frequency"" = 'POPLATEK TYDNE' AND ""public"".""loan"".""date"" >= '1997-01-01' AND ""public"".""loan"".""date"" <= '1997-12-31' AND ""public"".""loan"".""status"" IN ('A', 'C') AND ""public"".""loan"".""amount"" = (SELECT MIN(""t2"".""amount"") FROM ""public"".""loan"" AS ""t2"" JOIN ""public"".""account"" AS ""t3"" ON ""t2"".""account_id"" = ""t3"".""account_id"" WHERE ""t3"".""frequency"" = 'POPLATEK TYDNE' AND ""t2"".""date"" >= '1997-01-01' AND ""t2"".""date"" <= '1997-12-31' AND ""t2"".""status"" IN ('A', 'C')) ORDER BY ""public"".""account"".""account_id"" ASC NULLS LAST",[],,8.541502952575684,['difficulty: moderate'],
[],financial,['postgres'],[],,"(pg8000.exceptions.DatabaseError) {'S': 'FATAL', 'V': 'FATAL', 'C': '28000', 'M': 'no PostgreSQL user name specified in startup packet', 'F': 'postmaster.c', 'L': '2748', 'R': 'ProcessStartupPacket'}
(Background on this error at: https://sqlalche.me/e/20/4xp6)","The average unemployment ratio of 1995 and 1996, which one has higher percentage? A12 refers to unemploymant rate 1995; A13 refers to unemploymant rate 1996",[],"SELECT CASE WHEN AVG(""district"".""A12"") > AVG(""district"".""A13"") THEN '1995' WHEN AVG(""district"".""A13"") > AVG(""district"".""A12"") THEN '1996' ELSE 'Equal' END FROM ""district""","(pg8000.exceptions.DatabaseError) {'S': 'FATAL', 'V': 'FATAL', 'C': '28000', 'M': 'no PostgreSQL user name specified in startup packet', 'F': 'postmaster.c', 'L': '2748', 'R': 'ProcessStartupPacket'}
(Background on this error at: https://sqlalche.me/e/20/4xp6)",,[],"['SELECT DISTINCT CASE WHEN AVG(""A13"") > AVG(""A12"") THEN \'1996\' ELSE \'1995\' END FROM ""district""']",3,c572f9a9-29a6-407a-ab85-f9798027d9da,"The average unemployment ratio of 1995 and 1996, which one has higher percentage? A12 refers to unemploymant rate 1995; A13 refers to unemploymant rate 1996","{'disambiguation_question': [], 'intent_explanation': ""The question asks to compare the average of column 'A12' (unemployment rate 1995) and 'A13' (unemployment rate 1996) from the 'district' table. I will calculate the average for both columns and use a CASE statement to return which year has the higher percentage. The query uses the 'district' table and standard PostgreSQL aggregation.""}",,"The average unemployment ratio of 1995 and 1996, which one has higher percentage? A12 refers to unemploymant rate 1995; A13 refers to unemploymant rate 1996",,dql,2026-04-07 11:47:03.558819,"SELECT CASE WHEN AVG(""district"".""A12"") > AVG(""district"".""A13"") THEN '1995' WHEN AVG(""district"".""A13"") > AVG(""district"".""A12"") THEN '1996' ELSE 'Equal' END FROM ""district""",[],,23.801725149154663,['difficulty: simple'],
[],financial,['postgres'],[],,"(pg8000.exceptions.DatabaseError) {'S': 'FATAL', 'V': 'FATAL', 'C': '28000', 'M': 'no PostgreSQL user name specified in startup packet', 'F': 'postmaster.c', 'L': '2748', 'R': 'ProcessStartupPacket'}
(Background on this error at: https://sqlalche.me/e/20/4xp6)",How many male customers who are living in North Bohemia have average salary greater than 8000? Male means that gender = 'M'; A3 refers to region; A11 pertains to average salary.,[],"SELECT count(""client"".""client_id"") FROM ""client"" JOIN ""district"" ON ""client"".""district_id"" = ""district"".""district_id"" WHERE ""client"".""gender"" = 'M' AND ""district"".""A3"" = 'North Bohemia' AND ""district"".""A11"" > 8000;","(pg8000.exceptions.DatabaseError) {'S': 'FATAL', 'V': 'FATAL', 'C': '28000', 'M': 'no PostgreSQL user name specified in startup packet', 'F': 'postmaster.c', 'L': '2748', 'R': 'ProcessStartupPacket'}
(Background on this error at: https://sqlalche.me/e/20/4xp6)",,[],"['SELECT COUNT(""T1"".""client_id"") FROM ""client"" AS ""T1"" INNER JOIN ""district"" AS ""T2"" ON ""T1"".""district_id"" = ""T2"".""district_id"" WHERE ""T1"".""gender"" = \'M\' AND ""T2"".""A3"" = \'north Bohemia\' AND ""T2"".""A11"" > 8000', 'SELECT COUNT(""T1"".""client_id"") FROM ""client"" AS ""T1"" INNER JOIN ""district"" AS ""T2"" ON ""T1"".""district_id"" = ""T2"".""district_id"" WHERE ""T1"".""gender"" = \'M\' AND ""T2"".""A3"" = \'North Bohemia\' AND ""T2"".""A11"" > 8000']",5,c572f9a9-29a6-407a-ab85-f9798027d9da,How many male customers who are living in North Bohemia have average salary greater than 8000? Male means that gender = 'M'; A3 refers to region; A11 pertains to average salary.,"{'disambiguation_question': [], 'intent_explanation': ""To answer the question, I need to join the 'client' and 'district' tables using 'district_id'. I will filter for male clients ('M'), the region 'North Bohemia' (column 'A3'), and an average salary (column 'A11') greater than 8000. Finally, I will count the number of unique 'client_id' values that meet these criteria.""}",,How many male customers who are living in North Bohemia have average salary greater than 8000? Male means that gender = 'M'; A3 refers to region; A11 pertains to average salary.,,dql,2026-04-07 11:47:03.558819,"SELECT count(""client"".""client_id"") FROM ""client"" JOIN ""district"" ON ""client"".""district_id"" = ""district"".""district_id"" WHERE ""client"".""gender"" = 'M' AND ""district"".""A3"" = 'North Bohemia' AND ""district"".""A11"" > 8000;",[],,6.04394793510437,['difficulty: moderate'],
[],financial,['postgres'],[],,"(pg8000.exceptions.DatabaseError) {'S': 'FATAL', 'V': 'FATAL', 'C': '28000', 'M': 'no PostgreSQL user name specified in startup packet', 'F': 'postmaster.c', 'L': '2748', 'R': 'ProcessStartupPacket'}
(Background on this error at: https://sqlalche.me/e/20/4xp6)",List out the no. of districts that have female average salary is more than 6000 but less than 10000? A11 refers to average salary; Female mapps to gender = 'F',[],"SELECT COUNT(DISTINCT ""district"".""district_id"") FROM ""district"" JOIN ""client"" ON ""district"".""district_id"" = ""client"".""district_id"" WHERE ""client"".""gender"" = 'F' AND ""district"".""A11"" > 6000 AND ""district"".""A11"" < 10000;","(pg8000.exceptions.DatabaseError) {'S': 'FATAL', 'V': 'FATAL', 'C': '28000', 'M': 'no PostgreSQL user name specified in startup packet', 'F': 'postmaster.c', 'L': '2748', 'R': 'ProcessStartupPacket'}
(Background on this error at: https://sqlalche.me/e/20/4xp6)",,[],"['SELECT COUNT(DISTINCT ""T1"".""district_id"") FROM ""district"" AS ""T1"" INNER JOIN ""client"" AS ""T2"" ON ""T1"".""district_id"" = ""T2"".""district_id"" WHERE ""T2"".""gender"" = \'F\' AND ""T1"".""A11"" BETWEEN 6000 AND 10000;', 'SELECT DISTINCT ""T2"".""district_id"" FROM ""client"" AS ""T1"" INNER JOIN ""district"" AS ""T2"" ON ""T1"".""district_id"" = ""T2"".""district_id"" WHERE ""T1"".""gender"" = \'F\' AND ""T2"".""A11"" BETWEEN 6000 AND 10000']",4,c572f9a9-29a6-407a-ab85-f9798027d9da,List out the no. of districts that have female average salary is more than 6000 but less than 10000? A11 refers to average salary; Female mapps to gender = 'F',"{'disambiguation_question': [], 'intent_explanation': ""The question asks for the count of districts where the average salary (column A11) is between 6000 and 10000, specifically for districts containing female clients. I will join the 'district', 'client', and 'account' tables (though 'district' and 'client' are directly linkable via 'district_id') to filter by gender 'F' and the salary range on 'A11'. I will use COUNT(DISTINCT ...) to ensure each district is counted only once.""}",,List out the no. of districts that have female average salary is more than 6000 but less than 10000? A11 refers to average salary; Female mapps to gender = 'F',,dql,2026-04-07 11:47:03.558819,"SELECT COUNT(DISTINCT ""district"".""district_id"") FROM ""district"" JOIN ""client"" ON ""district"".""district_id"" = ""client"".""district_id"" WHERE ""client"".""gender"" = 'F' AND ""district"".""A11"" > 6000 AND ""district"".""A11"" < 10000;",[],,20.98664426803589,['difficulty: simple'],
[],financial,['postgres'],[],,"(pg8000.exceptions.DatabaseError) {'S': 'FATAL', 'V': 'FATAL', 'C': '28000', 'M': 'no PostgreSQL user name specified in startup packet', 'F': 'postmaster.c', 'L': '2748', 'R': 'ProcessStartupPacket'}
(Background on this error at: https://sqlalche.me/e/20/4xp6)","List out the account numbers of clients who are youngest and have highest average salary? If the person A's birthdate < B's birthdate, it means that person B is younger than person A; A11 refers to average salary",[],"SELECT ""public"".""account"".""account_id"" FROM ""public"".""client"" JOIN ""public"".""disp"" ON ""public"".""client"".""client_id"" = ""public"".""disp"".""client_id"" JOIN ""public"".""account"" ON ""public"".""disp"".""account_id"" = ""public"".""account"".""account_id"" JOIN ""public"".""district"" ON ""public"".""client"".""district_id"" = ""public"".""district"".""district_id"" WHERE ""public"".""client"".""birth_date"" = (SELECT MAX(""birth_date"") FROM ""public"".""client"") AND ""public"".""district"".""A11"" = (SELECT MAX(""A11"") FROM ""public"".""district"") ORDER BY ""public"".""account"".""account_id"" ASC NULLS LAST","(pg8000.exceptions.DatabaseError) {'S': 'FATAL', 'V': 'FATAL', 'C': '28000', 'M': 'no PostgreSQL user name specified in startup packet', 'F': 'postmaster.c', 'L': '2748', 'R': 'ProcessStartupPacket'}
(Background on this error at: https://sqlalche.me/e/20/4xp6)",,[],"['SELECT T1.account_id FROM account AS T1 INNER JOIN client AS T2 ON T1.district_id = T2.district_id INNER JOIN district AS T3 ON T2.district_id = T3.district_id WHERE T2.birth_date = (SELECT MAX(birth_date) FROM client) -- Youngest client(s) AND T3.A11 = (SELECT MAX(A11) FROM district); -- District with highest avg salary', 'SELECT ""T1"".""account_id"" FROM ""account"" AS ""T1"" INNER JOIN ""district"" AS ""T2"" ON ""T1"".""district_id"" = ""T2"".""district_id"" WHERE ""T2"".""district_id"" = ( SELECT ""district_id"" FROM ""client"" ORDER BY ""birth_date"" DESC LIMIT 1 ) ORDER BY ""T2"".""A11"" DESC NULLS LAST LIMIT 1']",7,c572f9a9-29a6-407a-ab85-f9798027d9da,"List out the account numbers of clients who are youngest and have highest average salary? If the person A's birthdate < B's birthdate, it means that person B is younger than person A; A11 refers to average salary","{'disambiguation_question': [], 'intent_explanation': ""To find the youngest clients with the highest average salary, I need to join the 'client', 'disp', 'account', and 'district' tables. I will identify the youngest age by finding the maximum birth_date and the highest average salary using the 'A11' column in the 'district' table. The query filters for these maximum values and returns the corresponding account IDs.""}",,"List out the account numbers of clients who are youngest and have highest average salary? If the person A's birthdate < B's birthdate, it means that person B is younger than person A; A11 refers to average salary",,dql,2026-04-07 11:47:03.558819,"SELECT ""public"".""account"".""account_id"" FROM ""public"".""client"" JOIN ""public"".""disp"" ON ""public"".""client"".""client_id"" = ""public"".""disp"".""client_id"" JOIN ""public"".""account"" ON ""public"".""disp"".""account_id"" = ""public"".""account"".""account_id"" JOIN ""public"".""district"" ON ""public"".""client"".""district_id"" = ""public"".""district"".""district_id"" WHERE ""public"".""client"".""birth_date"" = (SELECT MAX(""birth_date"") FROM ""public"".""client"") AND ""public"".""district"".""A11"" = (SELECT MAX(""A11"") FROM ""public"".""district"") ORDER BY ""public"".""account"".""account_id"" ASC NULLS LAST",[],,17.816647052764893,['difficulty: moderate'],
[],financial,['postgres'],[],,"(pg8000.exceptions.DatabaseError) {'S': 'FATAL', 'V': 'FATAL', 'C': '28000', 'M': 'no PostgreSQL user name specified in startup packet', 'F': 'postmaster.c', 'L': '2748', 'R': 'ProcessStartupPacket'}
(Background on this error at: https://sqlalche.me/e/20/4xp6)",List out the clients who choose statement of issuance after transaction are Disponent? 'POPLATEK PO OBRATU' stands for issuance after transaction,[],"SELECT ""client"".""client_id"" FROM ""client"" JOIN ""disp"" ON ""client"".""client_id"" = ""disp"".""client_id"" JOIN ""account"" ON ""disp"".""account_id"" = ""account"".""account_id"" WHERE ""account"".""frequency"" = 'POPLATEK PO OBRATU' AND ""disp"".""type"" = 'DISPONENT' ORDER BY ""client"".""client_id"" ASC NULLS LAST;","(pg8000.exceptions.DatabaseError) {'S': 'FATAL', 'V': 'FATAL', 'C': '28000', 'M': 'no PostgreSQL user name specified in startup packet', 'F': 'postmaster.c', 'L': '2748', 'R': 'ProcessStartupPacket'}
(Background on this error at: https://sqlalche.me/e/20/4xp6)",,[],"['SELECT ""T2"".""client_id"" FROM ""account"" AS ""T1"" INNER JOIN ""disp"" AS ""T2"" ON ""T1"".""account_id"" = ""T2"".""account_id"" WHERE ""T1"".""frequency"" = \'POPLATEK PO OBRATU\' AND ""T2"".""type"" = \'DISPONENT\'']",9,c572f9a9-29a6-407a-ab85-f9798027d9da,List out the clients who choose statement of issuance after transaction are Disponent? 'POPLATEK PO OBRATU' stands for issuance after transaction,"{'disambiguation_question': [], 'intent_explanation': ""The user wants to find clients associated with accounts that have a specific statement issuance frequency ('POPLATEK PO OBRATU') and where the client's disposition type is 'DISPONENT'. I will join the 'client', 'disp', and 'account' tables, filtering by the 'frequency' and 'type' columns.""}",,List out the clients who choose statement of issuance after transaction are Disponent? 'POPLATEK PO OBRATU' stands for issuance after transaction,,dql,2026-04-07 11:47:03.558819,"SELECT ""client"".""client_id"" FROM ""client"" JOIN ""disp"" ON ""client"".""client_id"" = ""disp"".""client_id"" JOIN ""account"" ON ""disp"".""account_id"" = ""account"".""account_id"" WHERE ""account"".""frequency"" = 'POPLATEK PO OBRATU' AND ""disp"".""type"" = 'DISPONENT' ORDER BY ""client"".""client_id"" ASC NULLS LAST;",[],,13.405740022659302,['difficulty: simple'],
[],financial,['postgres'],[],,,"List out the account numbers of female clients who are oldest and has lowest average salary, calculate the gap between this lowest average salary with the highest average salary? Female means gender = 'F'; A11 refers to average salary; Gap = highest average salary - lowest average salary; If the person A's birthdate > B's birthdate, it means that person B is order than person A.",,,"(pg8000.exceptions.DatabaseError) {'S': 'FATAL', 'V': 'FATAL', 'C': '28000', 'M': 'no PostgreSQL user name specified in startup packet', 'F': 'postmaster.c', 'L': '2748', 'R': 'ProcessStartupPacket'}
(Background on this error at: https://sqlalche.me/e/20/4xp6)",,[],"['SELECT ""disp"".""account_id"", (SELECT MAX(""A11"") - MIN(""A11"") FROM ""district"") as gap FROM ""disp"" INNER JOIN ""client"" ON ""disp"".""client_id"" = ""client"".""client_id"" WHERE ""client"".""client_id"" IN ( SELECT ""c"".""client_id"" FROM ""client"" AS ""c"" INNER JOIN ""district"" AS ""d"" ON ""c"".""district_id"" = ""d"".""district_id"" WHERE ""c"".""gender"" = \'F\' ORDER BY ""d"".""A11"" ASC, ""c"".""birth_date"" ASC LIMIT 1 )', 'SELECT ""T1"".""account_id"", ( SELECT max(""A11"") - min(""A11"") FROM ""district"" ) FROM ""account"" AS ""T1"" INNER JOIN ""district"" AS ""T2"" ON ""T1"".""district_id"" = ""T2"".""district_id"" WHERE ""T2"".""district_id"" = ( SELECT ""district_id"" FROM ""client"" WHERE ""gender"" = \'F\' ORDER BY ""birth_date"" ASC LIMIT 1 ) ORDER BY ""T2"".""A11"" DESC NULLS LAST LIMIT 1']",6,c572f9a9-29a6-407a-ab85-f9798027d9da,"List out the account numbers of female clients who are oldest and has lowest average salary, calculate the gap between this lowest average salary with the highest average salary? Female means gender = 'F'; A11 refers to average salary; Gap = highest average salary - lowest average salary; If the person A's birthdate > B's birthdate, it means that person B is order than person A.","{'SQLite_query': '""SELECT T1.account_id , ( SELECT MAX(A11) - MIN(A11) FROM district ) FROM account AS T1 INNER JOIN district AS T2 ON T1.district_id = T2.district_id WHERE T2.district_id = ( SELECT district_id FROM client WHERE gender = \'F\' ORDER BY birth_date ASC LIMIT 1 ) ORDER BY T2.A11 DESC LIMIT 1""', 'evidence': '""Female means gender = \'F\'; A11 refers to average salary; Gap = highest average salary - lowest average salary; If the person A\'s birthdate > B\'s birthdate, it means that person B is order than person A.""', 'question': '""List out the account numbers of female clients who are oldest and has lowest average salary, calculate the gap between this lowest average salary with the highest average salary?""', 'question_id': '94', 'result_matched_mysql': 'false', 'result_matched_postgres': 'true', 'result_matched_sqlserver': 'false'}",,"List out the account numbers of female clients who are oldest and has lowest average salary, calculate the gap between this lowest average salary with the highest average salary? Female means gender = 'F'; A11 refers to average salary; Gap = highest average salary - lowest average salary; If the person A's birthdate > B's birthdate, it means that person B is order than person A.",,dql,2026-04-07 11:47:03.558819,,[],503 Your request took too long to process. Please try again.,0.0,['difficulty: challenging'],
