cleanup_sql,database,dialects,eval_query,eval_results,generated_error,generated_prompt,generated_result,generated_sql,golden_error,golden_eval_results,golden_result,golden_sql,id,job_id,nl_prompt,other,payload,prompt,prompt_generator_error,query_type,run_time,sanitized_sql,setup_sql,sql_generator_error,sql_generator_time,tags,trace_id
[],financial,['postgres'],[],,"(pg8000.exceptions.DatabaseError) {'S': 'FATAL', 'V': 'FATAL', 'C': '28000', 'M': 'no PostgreSQL user name specified in startup packet', 'F': 'postmaster.c', 'L': '2748', 'R': 'ProcessStartupPacket'}
(Background on this error at: https://sqlalche.me/e/20/4xp6)",List out the clients who choose statement of issuance after transaction are Disponent? 'POPLATEK PO OBRATU' stands for issuance after transaction,[],"SELECT ""client"".""client_id"" FROM ""client"" JOIN ""disp"" ON ""client"".""client_id"" = ""disp"".""client_id"" JOIN ""account"" ON ""disp"".""account_id"" = ""account"".""account_id"" WHERE ""disp"".""type"" = 'DISPONENT' AND ""account"".""frequency"" = 'POPLATEK PO OBRATU' ORDER BY ""client"".""client_id"" ASC NULLS LAST;","(pg8000.exceptions.DatabaseError) {'S': 'FATAL', 'V': 'FATAL', 'C': '28000', 'M': 'no PostgreSQL user name specified in startup packet', 'F': 'postmaster.c', 'L': '2748', 'R': 'ProcessStartupPacket'}
(Background on this error at: https://sqlalche.me/e/20/4xp6)",,[],"['SELECT ""T2"".""client_id"" FROM ""account"" AS ""T1"" INNER JOIN ""disp"" AS ""T2"" ON ""T1"".""account_id"" = ""T2"".""account_id"" WHERE ""T1"".""frequency"" = \'POPLATEK PO OBRATU\' AND ""T2"".""type"" = \'DISPONENT\'']",9,3c9360fd-c78f-4e82-a9b5-c1e8a8174d32,List out the clients who choose statement of issuance after transaction are Disponent? 'POPLATEK PO OBRATU' stands for issuance after transaction,"{'disambiguation_question': [], 'intent_explanation': ""The user wants to find clients who are 'Disponent' and have an account with a 'frequency' of 'POPLATEK PO OBRATU'. I will join the 'client', 'disp', and 'account' tables. I will filter by 'disp'.'type' = 'DISPONENT' and 'account'.'frequency' = 'POPLATEK PO OBRATU'.""}",,List out the clients who choose statement of issuance after transaction are Disponent? 'POPLATEK PO OBRATU' stands for issuance after transaction,,dql,2026-04-07 11:49:00.201759,"SELECT ""client"".""client_id"" FROM ""client"" JOIN ""disp"" ON ""client"".""client_id"" = ""disp"".""client_id"" JOIN ""account"" ON ""disp"".""account_id"" = ""account"".""account_id"" WHERE ""disp"".""type"" = 'DISPONENT' AND ""account"".""frequency"" = 'POPLATEK PO OBRATU' ORDER BY ""client"".""client_id"" ASC NULLS LAST;",[],,9.722684860229492,['difficulty: simple'],
[],financial,['postgres'],[],,"(pg8000.exceptions.DatabaseError) {'S': 'FATAL', 'V': 'FATAL', 'C': '28000', 'M': 'no PostgreSQL user name specified in startup packet', 'F': 'postmaster.c', 'L': '2748', 'R': 'ProcessStartupPacket'}
(Background on this error at: https://sqlalche.me/e/20/4xp6)","Among the accounts who have approved loan date in 1997, list out the accounts that have the lowest approved amount and choose weekly issuance statement. 'POPLATEK TYDNE' stands for weekly issuance",[],"SELECT ""public"".""account"".""account_id"" FROM ""public"".""account"" INNER JOIN ""public"".""loan"" ON ""public"".""account"".""account_id"" = ""public"".""loan"".""account_id"" WHERE ""public"".""loan"".""date"" >= '1997-01-01' AND ""public"".""loan"".""date"" <= '1997-12-31' AND ""public"".""account"".""frequency"" = 'POPLATEK TYDNE' ORDER BY ""public"".""loan"".""amount"" ASC NULLS LAST LIMIT 1","(pg8000.exceptions.DatabaseError) {'S': 'FATAL', 'V': 'FATAL', 'C': '28000', 'M': 'no PostgreSQL user name specified in startup packet', 'F': 'postmaster.c', 'L': '2748', 'R': 'ProcessStartupPacket'}
(Background on this error at: https://sqlalche.me/e/20/4xp6)",,[],"['SELECT ""T2"".""account_id"" FROM loan AS ""T1"" INNER JOIN account AS ""T2"" ON ""T1"".""account_id"" = ""T2"".""account_id"" WHERE to_char(""T1"".""date""::timestamp, \'YYYY\') = \'1997\' AND ""T2"".""frequency"" = \'POPLATEK TYDNE\' ORDER BY ""T1"".""amount"" NULLS LAST LIMIT 1']",10,3c9360fd-c78f-4e82-a9b5-c1e8a8174d32,"Among the accounts who have approved loan date in 1997, list out the accounts that have the lowest approved amount and choose weekly issuance statement. 'POPLATEK TYDNE' stands for weekly issuance","{'disambiguation_question': [], 'intent_explanation': ""I will join the 'account' and 'loan' tables on 'account_id'. I will filter for loans with a 'date' in 1997 and a 'status' indicating approval (assuming 'A' or 'C' based on common banking datasets, but since not specified, I will focus on the date and the 'frequency' requirement). I will filter 'account'.'frequency' for 'POPLATEK TYDNE' and order by 'loan'.'amount' in ascending order to find the lowest amount.""}",,"Among the accounts who have approved loan date in 1997, list out the accounts that have the lowest approved amount and choose weekly issuance statement. 'POPLATEK TYDNE' stands for weekly issuance",,dql,2026-04-07 11:49:00.201759,"SELECT ""public"".""account"".""account_id"" FROM ""public"".""account"" INNER JOIN ""public"".""loan"" ON ""public"".""account"".""account_id"" = ""public"".""loan"".""account_id"" WHERE ""public"".""loan"".""date"" >= '1997-01-01' AND ""public"".""loan"".""date"" <= '1997-12-31' AND ""public"".""account"".""frequency"" = 'POPLATEK TYDNE' ORDER BY ""public"".""loan"".""amount"" ASC NULLS LAST LIMIT 1",[],,10.075722932815552,['difficulty: moderate'],
[],financial,['postgres'],[],,"(pg8000.exceptions.DatabaseError) {'S': 'FATAL', 'V': 'FATAL', 'C': '28000', 'M': 'no PostgreSQL user name specified in startup packet', 'F': 'postmaster.c', 'L': '2748', 'R': 'ProcessStartupPacket'}
(Background on this error at: https://sqlalche.me/e/20/4xp6)",How many accounts who choose issuance after transaction are staying in East Bohemia region? A3 contains the data of region; 'POPLATEK PO OBRATU' represents for 'issuance after transaction'.,[],"SELECT COUNT(DISTINCT ""public"".""account"".""account_id"") FROM ""public"".""account"" INNER JOIN ""public"".""district"" ON ""public"".""account"".""district_id"" = ""public"".""district"".""district_id"" INNER JOIN ""public"".""trans"" ON ""public"".""account"".""account_id"" = ""public"".""trans"".""account_id"" WHERE ""public"".""district"".""A3"" = 'East Bohemia' AND ""public"".""trans"".""k_symbol"" = 'POPLATEK PO OBRATU'","(pg8000.exceptions.DatabaseError) {'S': 'FATAL', 'V': 'FATAL', 'C': '28000', 'M': 'no PostgreSQL user name specified in startup packet', 'F': 'postmaster.c', 'L': '2748', 'R': 'ProcessStartupPacket'}
(Background on this error at: https://sqlalche.me/e/20/4xp6)",,[],"['SELECT COUNT(DISTINCT ""T1"".""account_id"") FROM ""account"" AS ""T1"" INNER JOIN ""district"" AS ""T2"" ON ""T1"".""district_id"" = ""T2"".""district_id"" WHERE ""T2"".""A3"" = \'east Bohemia\' AND ""T1"".""frequency"" = \'POPLATEK PO OBRATU\'', 'SELECT COUNT(""T1"".""district_id"") FROM ""district"" AS ""T1"" INNER JOIN ""account"" AS ""T2"" ON ""T1"".""district_id"" = ""T2"".""district_id"" WHERE ""T1"".""A3"" = \'East Bohemia\' AND ""T2"".""frequency"" = \'POPLATEK PO OBRATU\'']",1,3c9360fd-c78f-4e82-a9b5-c1e8a8174d32,How many accounts who choose issuance after transaction are staying in East Bohemia region? A3 contains the data of region; 'POPLATEK PO OBRATU' represents for 'issuance after transaction'.,"{'disambiguation_question': [], 'intent_explanation': ""I will join the 'account', 'district', and 'trans' tables to identify accounts in the 'East Bohemia' region that have transactions with the 'POPLATEK PO OBRATU' k_symbol. The 'district' table is joined on 'district_id' to filter by region 'A3', and the 'trans' table is joined on 'account_id' to filter by the specific transaction type. Finally, I will count the distinct 'account_id' values to answer the question.""}",,How many accounts who choose issuance after transaction are staying in East Bohemia region? A3 contains the data of region; 'POPLATEK PO OBRATU' represents for 'issuance after transaction'.,,dql,2026-04-07 11:49:00.201759,"SELECT COUNT(DISTINCT ""public"".""account"".""account_id"") FROM ""public"".""account"" INNER JOIN ""public"".""district"" ON ""public"".""account"".""district_id"" = ""public"".""district"".""district_id"" INNER JOIN ""public"".""trans"" ON ""public"".""account"".""account_id"" = ""public"".""trans"".""account_id"" WHERE ""public"".""district"".""A3"" = 'East Bohemia' AND ""public"".""trans"".""k_symbol"" = 'POPLATEK PO OBRATU'",[],,13.614025831222534,['difficulty: moderate'],
[],financial,['postgres'],[],,"(pg8000.exceptions.DatabaseError) {'S': 'FATAL', 'V': 'FATAL', 'C': '28000', 'M': 'no PostgreSQL user name specified in startup packet', 'F': 'postmaster.c', 'L': '2748', 'R': 'ProcessStartupPacket'}
(Background on this error at: https://sqlalche.me/e/20/4xp6)","List out the account numbers of female clients who are oldest and has lowest average salary, calculate the gap between this lowest average salary with the highest average salary? Female means gender = 'F'; A11 refers to average salary; Gap = highest average salary - lowest average salary; If the person A's birthdate > B's birthdate, it means that person B is order than person A.",[],"SELECT ""public"".""account"".""account_id"", (SELECT MAX(""public"".""district"".""A11"") - MIN(""public"".""district"".""A11"") FROM ""public"".""district"") AS ""salary_gap"" FROM ""public"".""client"" JOIN ""public"".""disp"" ON ""public"".""client"".""client_id"" = ""public"".""disp"".""client_id"" JOIN ""public"".""account"" ON ""public"".""disp"".""account_id"" = ""public"".""account"".""account_id"" JOIN ""public"".""district"" ON ""public"".""client"".""district_id"" = ""public"".""district"".""district_id"" WHERE ""public"".""client"".""gender"" = 'F' ORDER BY ""public"".""client"".""birth_date"" ASC NULLS LAST, ""public"".""district"".""A11"" ASC NULLS LAST","(pg8000.exceptions.DatabaseError) {'S': 'FATAL', 'V': 'FATAL', 'C': '28000', 'M': 'no PostgreSQL user name specified in startup packet', 'F': 'postmaster.c', 'L': '2748', 'R': 'ProcessStartupPacket'}
(Background on this error at: https://sqlalche.me/e/20/4xp6)",,[],"['SELECT ""disp"".""account_id"", (SELECT MAX(""A11"") - MIN(""A11"") FROM ""district"") as gap FROM ""disp"" INNER JOIN ""client"" ON ""disp"".""client_id"" = ""client"".""client_id"" WHERE ""client"".""client_id"" IN ( SELECT ""c"".""client_id"" FROM ""client"" AS ""c"" INNER JOIN ""district"" AS ""d"" ON ""c"".""district_id"" = ""d"".""district_id"" WHERE ""c"".""gender"" = \'F\' ORDER BY ""d"".""A11"" ASC, ""c"".""birth_date"" ASC LIMIT 1 )', 'SELECT ""T1"".""account_id"", ( SELECT max(""A11"") - min(""A11"") FROM ""district"" ) FROM ""account"" AS ""T1"" INNER JOIN ""district"" AS ""T2"" ON ""T1"".""district_id"" = ""T2"".""district_id"" WHERE ""T2"".""district_id"" = ( SELECT ""district_id"" FROM ""client"" WHERE ""gender"" = \'F\' ORDER BY ""birth_date"" ASC LIMIT 1 ) ORDER BY ""T2"".""A11"" DESC NULLS LAST LIMIT 1']",6,3c9360fd-c78f-4e82-a9b5-c1e8a8174d32,"List out the account numbers of female clients who are oldest and has lowest average salary, calculate the gap between this lowest average salary with the highest average salary? Female means gender = 'F'; A11 refers to average salary; Gap = highest average salary - lowest average salary; If the person A's birthdate > B's birthdate, it means that person B is order than person A.","{'disambiguation_question': [], 'intent_explanation': ""I will join the 'client', 'disp', 'account', and 'district' tables to filter for female clients. To find the oldest clients with the lowest average salary, I will order by 'birth_date' ascending and 'A11' ascending. I will use a subquery to calculate the gap between the maximum and minimum average salary ('A11') across all districts.""}",,"List out the account numbers of female clients who are oldest and has lowest average salary, calculate the gap between this lowest average salary with the highest average salary? Female means gender = 'F'; A11 refers to average salary; Gap = highest average salary - lowest average salary; If the person A's birthdate > B's birthdate, it means that person B is order than person A.",,dql,2026-04-07 11:49:00.201759,"SELECT ""public"".""account"".""account_id"", (SELECT MAX(""public"".""district"".""A11"") - MIN(""public"".""district"".""A11"") FROM ""public"".""district"") AS ""salary_gap"" FROM ""public"".""client"" JOIN ""public"".""disp"" ON ""public"".""client"".""client_id"" = ""public"".""disp"".""client_id"" JOIN ""public"".""account"" ON ""public"".""disp"".""account_id"" = ""public"".""account"".""account_id"" JOIN ""public"".""district"" ON ""public"".""client"".""district_id"" = ""public"".""district"".""district_id"" WHERE ""public"".""client"".""gender"" = 'F' ORDER BY ""public"".""client"".""birth_date"" ASC NULLS LAST, ""public"".""district"".""A11"" ASC NULLS LAST",[],,8.19349718093872,['difficulty: challenging'],
[],financial,['postgres'],[],,"(pg8000.exceptions.DatabaseError) {'S': 'FATAL', 'V': 'FATAL', 'C': '28000', 'M': 'no PostgreSQL user name specified in startup packet', 'F': 'postmaster.c', 'L': '2748', 'R': 'ProcessStartupPacket'}
(Background on this error at: https://sqlalche.me/e/20/4xp6)",List out the no. of districts that have female average salary is more than 6000 but less than 10000? A11 refers to average salary; Female mapps to gender = 'F',[],"SELECT count(""district"".""district_id"") FROM ""district"" WHERE ""district"".""A11"" > 6000 AND ""district"".""A11"" < 10000;","(pg8000.exceptions.DatabaseError) {'S': 'FATAL', 'V': 'FATAL', 'C': '28000', 'M': 'no PostgreSQL user name specified in startup packet', 'F': 'postmaster.c', 'L': '2748', 'R': 'ProcessStartupPacket'}
(Background on this error at: https://sqlalche.me/e/20/4xp6)",,[],"['SELECT COUNT(DISTINCT ""T1"".""district_id"") FROM ""district"" AS ""T1"" INNER JOIN ""client"" AS ""T2"" ON ""T1"".""district_id"" = ""T2"".""district_id"" WHERE ""T2"".""gender"" = \'F\' AND ""T1"".""A11"" BETWEEN 6000 AND 10000;', 'SELECT DISTINCT ""T2"".""district_id"" FROM ""client"" AS ""T1"" INNER JOIN ""district"" AS ""T2"" ON ""T1"".""district_id"" = ""T2"".""district_id"" WHERE ""T1"".""gender"" = \'F\' AND ""T2"".""A11"" BETWEEN 6000 AND 10000']",4,3c9360fd-c78f-4e82-a9b5-c1e8a8174d32,List out the no. of districts that have female average salary is more than 6000 but less than 10000? A11 refers to average salary; Female mapps to gender = 'F',"{'disambiguation_question': [], 'intent_explanation': ""The question asks for the count of districts where the average salary (column A11) is between 6000 and 10000. Although the question mentions 'female average salary', the schema's 'district' table provides a single average salary column 'A11' per district, and the 'client' table does not contain salary data to calculate a gender-specific average. Therefore, I will count the districts where 'A11' meets the specified range criteria.""}",,List out the no. of districts that have female average salary is more than 6000 but less than 10000? A11 refers to average salary; Female mapps to gender = 'F',,dql,2026-04-07 11:49:00.201759,"SELECT count(""district"".""district_id"") FROM ""district"" WHERE ""district"".""A11"" > 6000 AND ""district"".""A11"" < 10000;",[],,5.556488990783691,['difficulty: simple'],
[],financial,['postgres'],[],,"(pg8000.exceptions.DatabaseError) {'S': 'FATAL', 'V': 'FATAL', 'C': '28000', 'M': 'no PostgreSQL user name specified in startup packet', 'F': 'postmaster.c', 'L': '2748', 'R': 'ProcessStartupPacket'}
(Background on this error at: https://sqlalche.me/e/20/4xp6)","The average unemployment ratio of 1995 and 1996, which one has higher percentage? A12 refers to unemploymant rate 1995; A13 refers to unemploymant rate 1996",[],"SELECT CASE WHEN AVG(""district"".""A12"") > AVG(""district"".""A13"") THEN '1995' WHEN AVG(""district"".""A13"") > AVG(""district"".""A12"") THEN '1996' ELSE 'Equal' END FROM ""district""","(pg8000.exceptions.DatabaseError) {'S': 'FATAL', 'V': 'FATAL', 'C': '28000', 'M': 'no PostgreSQL user name specified in startup packet', 'F': 'postmaster.c', 'L': '2748', 'R': 'ProcessStartupPacket'}
(Background on this error at: https://sqlalche.me/e/20/4xp6)",,[],"['SELECT DISTINCT CASE WHEN AVG(""A13"") > AVG(""A12"") THEN \'1996\' ELSE \'1995\' END FROM ""district""']",3,3c9360fd-c78f-4e82-a9b5-c1e8a8174d32,"The average unemployment ratio of 1995 and 1996, which one has higher percentage? A12 refers to unemploymant rate 1995; A13 refers to unemploymant rate 1996","{'disambiguation_question': [], 'intent_explanation': 'The question asks to compare the average unemployment rates for 1995 (column A12) and 1996 (column A13) from the district table. I will calculate the average for both columns and use a CASE statement to determine which year has the higher percentage. I will ensure all column and table names are double-quoted as per the rules.'}",,"The average unemployment ratio of 1995 and 1996, which one has higher percentage? A12 refers to unemploymant rate 1995; A13 refers to unemploymant rate 1996",,dql,2026-04-07 11:49:00.201759,"SELECT CASE WHEN AVG(""district"".""A12"") > AVG(""district"".""A13"") THEN '1995' WHEN AVG(""district"".""A13"") > AVG(""district"".""A12"") THEN '1996' ELSE 'Equal' END FROM ""district""",[],,5.843793869018555,['difficulty: simple'],
[],financial,['postgres'],[],,"(pg8000.exceptions.DatabaseError) {'S': 'FATAL', 'V': 'FATAL', 'C': '28000', 'M': 'no PostgreSQL user name specified in startup packet', 'F': 'postmaster.c', 'L': '2748', 'R': 'ProcessStartupPacket'}
(Background on this error at: https://sqlalche.me/e/20/4xp6)",How many accounts who have region in Prague are eligible for loans? A3 contains the data of region,[],"SELECT COUNT(DISTINCT ""public"".""account"".""account_id"") FROM ""public"".""account"" INNER JOIN ""public"".""district"" ON ""public"".""account"".""district_id"" = ""public"".""district"".""district_id"" INNER JOIN ""public"".""loan"" ON ""public"".""account"".""account_id"" = ""public"".""loan"".""account_id"" WHERE ""public"".""district"".""A3"" = 'Prague'","(pg8000.exceptions.DatabaseError) {'S': 'FATAL', 'V': 'FATAL', 'C': '28000', 'M': 'no PostgreSQL user name specified in startup packet', 'F': 'postmaster.c', 'L': '2748', 'R': 'ProcessStartupPacket'}
(Background on this error at: https://sqlalche.me/e/20/4xp6)",,[],"['SELECT COUNT(""T1"".""account_id"") FROM ""account"" AS ""T1"" INNER JOIN ""loan"" AS ""T2"" ON ""T1"".""account_id"" = ""T2"".""account_id"" INNER JOIN ""district"" AS ""T3"" ON ""T1"".""district_id"" = ""T3"".""district_id"" WHERE ""T3"".""A3"" = \'Prague\'']",2,3c9360fd-c78f-4e82-a9b5-c1e8a8174d32,How many accounts who have region in Prague are eligible for loans? A3 contains the data of region,"{'disambiguation_question': [], 'intent_explanation': ""To find the number of accounts in the Prague region eligible for loans, I will join the 'account', 'district', and 'loan' tables. I will filter the 'district' table where 'A3' is 'Prague' and the 'loan' table where 'status' indicates eligibility (typically 'A' or 'C' for active/finished loans without problems, but since the question asks for those who 'have' loans, any record in the loan table implies eligibility/existence). I will count the distinct 'account_id' values.""}",,How many accounts who have region in Prague are eligible for loans? A3 contains the data of region,,dql,2026-04-07 11:49:00.201759,"SELECT COUNT(DISTINCT ""public"".""account"".""account_id"") FROM ""public"".""account"" INNER JOIN ""public"".""district"" ON ""public"".""account"".""district_id"" = ""public"".""district"".""district_id"" INNER JOIN ""public"".""loan"" ON ""public"".""account"".""account_id"" = ""public"".""loan"".""account_id"" WHERE ""public"".""district"".""A3"" = 'Prague'",[],,11.75893497467041,['difficulty: simple'],
[],financial,['postgres'],[],,"(pg8000.exceptions.DatabaseError) {'S': 'FATAL', 'V': 'FATAL', 'C': '28000', 'M': 'no PostgreSQL user name specified in startup packet', 'F': 'postmaster.c', 'L': '2748', 'R': 'ProcessStartupPacket'}
(Background on this error at: https://sqlalche.me/e/20/4xp6)","List out the account numbers of clients who are youngest and have highest average salary? If the person A's birthdate < B's birthdate, it means that person B is younger than person A; A11 refers to average salary",[],"SELECT ""public"".""account"".""account_id"" FROM ""public"".""account"" JOIN ""public"".""disp"" ON ""public"".""account"".""account_id"" = ""public"".""disp"".""account_id"" JOIN ""public"".""client"" ON ""public"".""disp"".""client_id"" = ""public"".""client"".""client_id"" JOIN ""public"".""district"" ON ""public"".""client"".""district_id"" = ""public"".""district"".""district_id"" WHERE ""public"".""client"".""birth_date"" = (SELECT MAX(""birth_date"") FROM ""public"".""client"") AND ""public"".""district"".""A11"" = (SELECT MAX(""A11"") FROM ""public"".""district"") ORDER BY ""public"".""account"".""account_id"" ASC NULLS LAST","(pg8000.exceptions.DatabaseError) {'S': 'FATAL', 'V': 'FATAL', 'C': '28000', 'M': 'no PostgreSQL user name specified in startup packet', 'F': 'postmaster.c', 'L': '2748', 'R': 'ProcessStartupPacket'}
(Background on this error at: https://sqlalche.me/e/20/4xp6)",,[],"['SELECT T1.account_id FROM account AS T1 INNER JOIN client AS T2 ON T1.district_id = T2.district_id INNER JOIN district AS T3 ON T2.district_id = T3.district_id WHERE T2.birth_date = (SELECT MAX(birth_date) FROM client) -- Youngest client(s) AND T3.A11 = (SELECT MAX(A11) FROM district); -- District with highest avg salary', 'SELECT ""T1"".""account_id"" FROM ""account"" AS ""T1"" INNER JOIN ""district"" AS ""T2"" ON ""T1"".""district_id"" = ""T2"".""district_id"" WHERE ""T2"".""district_id"" = ( SELECT ""district_id"" FROM ""client"" ORDER BY ""birth_date"" DESC LIMIT 1 ) ORDER BY ""T2"".""A11"" DESC NULLS LAST LIMIT 1']",7,3c9360fd-c78f-4e82-a9b5-c1e8a8174d32,"List out the account numbers of clients who are youngest and have highest average salary? If the person A's birthdate < B's birthdate, it means that person B is younger than person A; A11 refers to average salary","{'disambiguation_question': [], 'intent_explanation': ""To find the youngest clients with the highest average salary, I need to join the 'client', 'disp', 'account', and 'district' tables. I will identify the youngest clients by finding the maximum birth_date and the highest average salary using the 'A11' column in the 'district' table. The query filters for these maximum values and returns the corresponding account IDs.""}",,"List out the account numbers of clients who are youngest and have highest average salary? If the person A's birthdate < B's birthdate, it means that person B is younger than person A; A11 refers to average salary",,dql,2026-04-07 11:49:00.201759,"SELECT ""public"".""account"".""account_id"" FROM ""public"".""account"" JOIN ""public"".""disp"" ON ""public"".""account"".""account_id"" = ""public"".""disp"".""account_id"" JOIN ""public"".""client"" ON ""public"".""disp"".""client_id"" = ""public"".""client"".""client_id"" JOIN ""public"".""district"" ON ""public"".""client"".""district_id"" = ""public"".""district"".""district_id"" WHERE ""public"".""client"".""birth_date"" = (SELECT MAX(""birth_date"") FROM ""public"".""client"") AND ""public"".""district"".""A11"" = (SELECT MAX(""A11"") FROM ""public"".""district"") ORDER BY ""public"".""account"".""account_id"" ASC NULLS LAST",[],,10.194016218185425,['difficulty: moderate'],
[],financial,['postgres'],[],,"(pg8000.exceptions.DatabaseError) {'S': 'FATAL', 'V': 'FATAL', 'C': '28000', 'M': 'no PostgreSQL user name specified in startup packet', 'F': 'postmaster.c', 'L': '2748', 'R': 'ProcessStartupPacket'}
(Background on this error at: https://sqlalche.me/e/20/4xp6)",How many male customers who are living in North Bohemia have average salary greater than 8000? Male means that gender = 'M'; A3 refers to region; A11 pertains to average salary.,[],"SELECT count(""public"".""client"".""client_id"") FROM ""public"".""client"" JOIN ""public"".""district"" ON ""public"".""client"".""district_id"" = ""public"".""district"".""district_id"" WHERE ""public"".""client"".""gender"" = 'M' AND ""public"".""district"".""A3"" = 'North Bohemia' AND ""public"".""district"".""A11"" > 8000;","(pg8000.exceptions.DatabaseError) {'S': 'FATAL', 'V': 'FATAL', 'C': '28000', 'M': 'no PostgreSQL user name specified in startup packet', 'F': 'postmaster.c', 'L': '2748', 'R': 'ProcessStartupPacket'}
(Background on this error at: https://sqlalche.me/e/20/4xp6)",,[],"['SELECT COUNT(""T1"".""client_id"") FROM ""client"" AS ""T1"" INNER JOIN ""district"" AS ""T2"" ON ""T1"".""district_id"" = ""T2"".""district_id"" WHERE ""T1"".""gender"" = \'M\' AND ""T2"".""A3"" = \'north Bohemia\' AND ""T2"".""A11"" > 8000', 'SELECT COUNT(""T1"".""client_id"") FROM ""client"" AS ""T1"" INNER JOIN ""district"" AS ""T2"" ON ""T1"".""district_id"" = ""T2"".""district_id"" WHERE ""T1"".""gender"" = \'M\' AND ""T2"".""A3"" = \'North Bohemia\' AND ""T2"".""A11"" > 8000']",5,3c9360fd-c78f-4e82-a9b5-c1e8a8174d32,How many male customers who are living in North Bohemia have average salary greater than 8000? Male means that gender = 'M'; A3 refers to region; A11 pertains to average salary.,"{'disambiguation_question': [], 'intent_explanation': ""To answer this question, I need to join the 'client' and 'district' tables using 'district_id'. I will filter for male clients ('gender' = 'M'), the region 'North Bohemia' (column 'A3'), and an average salary (column 'A11') greater than 8000. Finally, I will count the number of unique 'client_id' values that meet these criteria.""}",,How many male customers who are living in North Bohemia have average salary greater than 8000? Male means that gender = 'M'; A3 refers to region; A11 pertains to average salary.,,dql,2026-04-07 11:49:00.201759,"SELECT count(""public"".""client"".""client_id"") FROM ""public"".""client"" JOIN ""public"".""district"" ON ""public"".""client"".""district_id"" = ""public"".""district"".""district_id"" WHERE ""public"".""client"".""gender"" = 'M' AND ""public"".""district"".""A3"" = 'North Bohemia' AND ""public"".""district"".""A11"" > 8000;",[],,8.311890840530396,['difficulty: moderate'],
[],financial,['postgres'],[],,"(pg8000.exceptions.DatabaseError) {'S': 'FATAL', 'V': 'FATAL', 'C': '28000', 'M': 'no PostgreSQL user name specified in startup packet', 'F': 'postmaster.c', 'L': '2748', 'R': 'ProcessStartupPacket'}
(Background on this error at: https://sqlalche.me/e/20/4xp6)",How many customers who choose statement of weekly issuance are Owner? 'POPLATEK TYDNE' stands for weekly issuance,[],"SELECT COUNT(""public"".""client"".""client_id"") FROM ""public"".""client"" INNER JOIN ""public"".""disp"" ON ""public"".""client"".""client_id"" = ""public"".""disp"".""client_id"" INNER JOIN ""public"".""account"" ON ""public"".""disp"".""account_id"" = ""public"".""account"".""account_id"" WHERE ""public"".""account"".""frequency"" = 'POPLATEK TYDNE' AND ""public"".""disp"".""type"" = 'OWNER'","(pg8000.exceptions.DatabaseError) {'S': 'FATAL', 'V': 'FATAL', 'C': '28000', 'M': 'no PostgreSQL user name specified in startup packet', 'F': 'postmaster.c', 'L': '2748', 'R': 'ProcessStartupPacket'}
(Background on this error at: https://sqlalche.me/e/20/4xp6)",,[],"['SELECT COUNT(DISTINCT ""T1"".""client_id"") FROM ""disp"" AS ""T1"" INNER JOIN ""account"" AS ""T2"" ON ""T1"".""account_id"" = ""T2"".""account_id"" WHERE ""T2"".""frequency"" = \'POPLATEK TYDNE\' AND ""T1"".""type"" = \'OWNER\'', 'SELECT COUNT(""T1"".""account_id"") FROM ""account"" AS ""T1"" INNER JOIN ""disp"" AS ""T2"" ON ""T1"".""account_id"" = ""T2"".""account_id"" WHERE ""T2"".""type"" = \'Owner\' AND ""T1"".""frequency"" = \'POPLATEK TYDNE\'']",8,3c9360fd-c78f-4e82-a9b5-c1e8a8174d32,How many customers who choose statement of weekly issuance are Owner? 'POPLATEK TYDNE' stands for weekly issuance,"{'disambiguation_question': [], 'intent_explanation': ""The question asks for the count of clients who are 'Owner' and have a weekly issuance frequency. I will join the 'account', 'disp', and 'client' tables, filtering by 'frequency' equal to 'POPLATEK TYDNE' and 'type' equal to 'OWNER'.""}",,How many customers who choose statement of weekly issuance are Owner? 'POPLATEK TYDNE' stands for weekly issuance,,dql,2026-04-07 11:49:00.201759,"SELECT COUNT(""public"".""client"".""client_id"") FROM ""public"".""client"" INNER JOIN ""public"".""disp"" ON ""public"".""client"".""client_id"" = ""public"".""disp"".""client_id"" INNER JOIN ""public"".""account"" ON ""public"".""disp"".""account_id"" = ""public"".""account"".""account_id"" WHERE ""public"".""account"".""frequency"" = 'POPLATEK TYDNE' AND ""public"".""disp"".""type"" = 'OWNER'",[],,17.34744381904602,['difficulty: simple'],
