comparator,comparison_error,comparison_logs,database,dialects,generated_error,generated_sql,id,job_id,score
llmrater,,Golden query failed to execute.,financial,['postgres'],"(pg8000.exceptions.DatabaseError) {'S': 'FATAL', 'V': 'FATAL', 'C': '28000', 'M': 'no PostgreSQL user name specified in startup packet', 'F': 'postmaster.c', 'L': '2748', 'R': 'ProcessStartupPacket'}
(Background on this error at: https://sqlalche.me/e/20/4xp6)","SELECT COUNT(DISTINCT ""public"".""account"".""account_id"") FROM ""public"".""account"" INNER JOIN ""public"".""district"" ON ""public"".""account"".""district_id"" = ""public"".""district"".""district_id"" INNER JOIN ""public"".""loan"" ON ""public"".""account"".""account_id"" = ""public"".""loan"".""account_id"" WHERE ""public"".""district"".""A3"" = 'Prague'",2,3c9360fd-c78f-4e82-a9b5-c1e8a8174d32,0
llmrater,,Golden query failed to execute.,financial,['postgres'],"(pg8000.exceptions.DatabaseError) {'S': 'FATAL', 'V': 'FATAL', 'C': '28000', 'M': 'no PostgreSQL user name specified in startup packet', 'F': 'postmaster.c', 'L': '2748', 'R': 'ProcessStartupPacket'}
(Background on this error at: https://sqlalche.me/e/20/4xp6)","SELECT count(""district"".""district_id"") FROM ""district"" WHERE ""district"".""A11"" > 6000 AND ""district"".""A11"" < 10000;",4,3c9360fd-c78f-4e82-a9b5-c1e8a8174d32,0
llmrater,,Golden query failed to execute.,financial,['postgres'],"(pg8000.exceptions.DatabaseError) {'S': 'FATAL', 'V': 'FATAL', 'C': '28000', 'M': 'no PostgreSQL user name specified in startup packet', 'F': 'postmaster.c', 'L': '2748', 'R': 'ProcessStartupPacket'}
(Background on this error at: https://sqlalche.me/e/20/4xp6)","SELECT ""public"".""account"".""account_id"", (SELECT MAX(""public"".""district"".""A11"") - MIN(""public"".""district"".""A11"") FROM ""public"".""district"") AS ""salary_gap"" FROM ""public"".""client"" JOIN ""public"".""disp"" ON ""public"".""client"".""client_id"" = ""public"".""disp"".""client_id"" JOIN ""public"".""account"" ON ""public"".""disp"".""account_id"" = ""public"".""account"".""account_id"" JOIN ""public"".""district"" ON ""public"".""client"".""district_id"" = ""public"".""district"".""district_id"" WHERE ""public"".""client"".""gender"" = 'F' ORDER BY ""public"".""client"".""birth_date"" ASC NULLS LAST, ""public"".""district"".""A11"" ASC NULLS LAST",6,3c9360fd-c78f-4e82-a9b5-c1e8a8174d32,0
llmrater,,Golden query failed to execute.,financial,['postgres'],"(pg8000.exceptions.DatabaseError) {'S': 'FATAL', 'V': 'FATAL', 'C': '28000', 'M': 'no PostgreSQL user name specified in startup packet', 'F': 'postmaster.c', 'L': '2748', 'R': 'ProcessStartupPacket'}
(Background on this error at: https://sqlalche.me/e/20/4xp6)","SELECT CASE WHEN AVG(""district"".""A12"") > AVG(""district"".""A13"") THEN '1995' WHEN AVG(""district"".""A13"") > AVG(""district"".""A12"") THEN '1996' ELSE 'Equal' END FROM ""district""",3,3c9360fd-c78f-4e82-a9b5-c1e8a8174d32,0
llmrater,,Golden query failed to execute.,financial,['postgres'],"(pg8000.exceptions.DatabaseError) {'S': 'FATAL', 'V': 'FATAL', 'C': '28000', 'M': 'no PostgreSQL user name specified in startup packet', 'F': 'postmaster.c', 'L': '2748', 'R': 'ProcessStartupPacket'}
(Background on this error at: https://sqlalche.me/e/20/4xp6)","SELECT ""public"".""account"".""account_id"" FROM ""public"".""account"" JOIN ""public"".""disp"" ON ""public"".""account"".""account_id"" = ""public"".""disp"".""account_id"" JOIN ""public"".""client"" ON ""public"".""disp"".""client_id"" = ""public"".""client"".""client_id"" JOIN ""public"".""district"" ON ""public"".""client"".""district_id"" = ""public"".""district"".""district_id"" WHERE ""public"".""client"".""birth_date"" = (SELECT MAX(""birth_date"") FROM ""public"".""client"") AND ""public"".""district"".""A11"" = (SELECT MAX(""A11"") FROM ""public"".""district"") ORDER BY ""public"".""account"".""account_id"" ASC NULLS LAST",7,3c9360fd-c78f-4e82-a9b5-c1e8a8174d32,0
llmrater,,Golden query failed to execute.,financial,['postgres'],"(pg8000.exceptions.DatabaseError) {'S': 'FATAL', 'V': 'FATAL', 'C': '28000', 'M': 'no PostgreSQL user name specified in startup packet', 'F': 'postmaster.c', 'L': '2748', 'R': 'ProcessStartupPacket'}
(Background on this error at: https://sqlalche.me/e/20/4xp6)","SELECT count(""public"".""client"".""client_id"") FROM ""public"".""client"" JOIN ""public"".""district"" ON ""public"".""client"".""district_id"" = ""public"".""district"".""district_id"" WHERE ""public"".""client"".""gender"" = 'M' AND ""public"".""district"".""A3"" = 'North Bohemia' AND ""public"".""district"".""A11"" > 8000;",5,3c9360fd-c78f-4e82-a9b5-c1e8a8174d32,0
llmrater,,Golden query failed to execute.,financial,['postgres'],"(pg8000.exceptions.DatabaseError) {'S': 'FATAL', 'V': 'FATAL', 'C': '28000', 'M': 'no PostgreSQL user name specified in startup packet', 'F': 'postmaster.c', 'L': '2748', 'R': 'ProcessStartupPacket'}
(Background on this error at: https://sqlalche.me/e/20/4xp6)","SELECT COUNT(DISTINCT ""public"".""account"".""account_id"") FROM ""public"".""account"" INNER JOIN ""public"".""district"" ON ""public"".""account"".""district_id"" = ""public"".""district"".""district_id"" INNER JOIN ""public"".""trans"" ON ""public"".""account"".""account_id"" = ""public"".""trans"".""account_id"" WHERE ""public"".""district"".""A3"" = 'East Bohemia' AND ""public"".""trans"".""k_symbol"" = 'POPLATEK PO OBRATU'",1,3c9360fd-c78f-4e82-a9b5-c1e8a8174d32,0
llmrater,,Golden query failed to execute.,financial,['postgres'],"(pg8000.exceptions.DatabaseError) {'S': 'FATAL', 'V': 'FATAL', 'C': '28000', 'M': 'no PostgreSQL user name specified in startup packet', 'F': 'postmaster.c', 'L': '2748', 'R': 'ProcessStartupPacket'}
(Background on this error at: https://sqlalche.me/e/20/4xp6)","SELECT ""client"".""client_id"" FROM ""client"" JOIN ""disp"" ON ""client"".""client_id"" = ""disp"".""client_id"" JOIN ""account"" ON ""disp"".""account_id"" = ""account"".""account_id"" WHERE ""disp"".""type"" = 'DISPONENT' AND ""account"".""frequency"" = 'POPLATEK PO OBRATU' ORDER BY ""client"".""client_id"" ASC NULLS LAST;",9,3c9360fd-c78f-4e82-a9b5-c1e8a8174d32,0
llmrater,,Golden query failed to execute.,financial,['postgres'],"(pg8000.exceptions.DatabaseError) {'S': 'FATAL', 'V': 'FATAL', 'C': '28000', 'M': 'no PostgreSQL user name specified in startup packet', 'F': 'postmaster.c', 'L': '2748', 'R': 'ProcessStartupPacket'}
(Background on this error at: https://sqlalche.me/e/20/4xp6)","SELECT ""public"".""account"".""account_id"" FROM ""public"".""account"" INNER JOIN ""public"".""loan"" ON ""public"".""account"".""account_id"" = ""public"".""loan"".""account_id"" WHERE ""public"".""loan"".""date"" >= '1997-01-01' AND ""public"".""loan"".""date"" <= '1997-12-31' AND ""public"".""account"".""frequency"" = 'POPLATEK TYDNE' ORDER BY ""public"".""loan"".""amount"" ASC NULLS LAST LIMIT 1",10,3c9360fd-c78f-4e82-a9b5-c1e8a8174d32,0
llmrater,,Golden query failed to execute.,financial,['postgres'],"(pg8000.exceptions.DatabaseError) {'S': 'FATAL', 'V': 'FATAL', 'C': '28000', 'M': 'no PostgreSQL user name specified in startup packet', 'F': 'postmaster.c', 'L': '2748', 'R': 'ProcessStartupPacket'}
(Background on this error at: https://sqlalche.me/e/20/4xp6)","SELECT COUNT(""public"".""client"".""client_id"") FROM ""public"".""client"" INNER JOIN ""public"".""disp"" ON ""public"".""client"".""client_id"" = ""public"".""disp"".""client_id"" INNER JOIN ""public"".""account"" ON ""public"".""disp"".""account_id"" = ""public"".""account"".""account_id"" WHERE ""public"".""account"".""frequency"" = 'POPLATEK TYDNE' AND ""public"".""disp"".""type"" = 'OWNER'",8,3c9360fd-c78f-4e82-a9b5-c1e8a8174d32,0
