cleanup_sql,database,dialects,eval_query,eval_results,generated_error,generated_prompt,generated_result,generated_sql,golden_error,golden_eval_results,golden_result,golden_sql,id,job_id,nl_prompt,other,payload,prompt,prompt_generator_error,query_type,run_time,sanitized_sql,setup_sql,sql_generator_error,sql_generator_time,tags,trace_id
[],financial,['postgres'],[],,"(pg8000.exceptions.DatabaseError) {'S': 'FATAL', 'V': 'FATAL', 'C': '28000', 'M': 'no PostgreSQL user name specified in startup packet', 'F': 'postmaster.c', 'L': '2748', 'R': 'ProcessStartupPacket'}
(Background on this error at: https://sqlalche.me/e/20/4xp6)",How many accounts who choose issuance after transaction are staying in East Bohemia region? A3 contains the data of region; 'POPLATEK PO OBRATU' represents for 'issuance after transaction'.,[],"SELECT count(DISTINCT ""account"".""account_id"") FROM ""account"" JOIN ""district"" ON ""account"".""district_id"" = ""district"".""district_id"" JOIN ""trans"" ON ""account"".""account_id"" = ""trans"".""account_id"" WHERE ""district"".""A3"" = 'East Bohemia' AND ""trans"".""k_symbol"" = 'POPLATEK PO OBRATU';","(pg8000.exceptions.DatabaseError) {'S': 'FATAL', 'V': 'FATAL', 'C': '28000', 'M': 'no PostgreSQL user name specified in startup packet', 'F': 'postmaster.c', 'L': '2748', 'R': 'ProcessStartupPacket'}
(Background on this error at: https://sqlalche.me/e/20/4xp6)",,[],"['SELECT COUNT(DISTINCT ""T1"".""account_id"") FROM ""account"" AS ""T1"" INNER JOIN ""district"" AS ""T2"" ON ""T1"".""district_id"" = ""T2"".""district_id"" WHERE ""T2"".""A3"" = \'east Bohemia\' AND ""T1"".""frequency"" = \'POPLATEK PO OBRATU\'', 'SELECT COUNT(""T1"".""district_id"") FROM ""district"" AS ""T1"" INNER JOIN ""account"" AS ""T2"" ON ""T1"".""district_id"" = ""T2"".""district_id"" WHERE ""T1"".""A3"" = \'East Bohemia\' AND ""T2"".""frequency"" = \'POPLATEK PO OBRATU\'']",1,5b33267c-bb32-4141-9f57-29b266d5ad47,How many accounts who choose issuance after transaction are staying in East Bohemia region? A3 contains the data of region; 'POPLATEK PO OBRATU' represents for 'issuance after transaction'.,"{'disambiguation_question': [], 'intent_explanation': ""To answer the question, I need to join the 'account', 'district', and 'trans' tables. I will filter the 'district' table where 'A3' is 'East Bohemia' and the 'trans' table where 'k_symbol' is 'POPLATEK PO OBRATU'. Finally, I will count the unique 'account_id' values that meet these criteria.""}",,How many accounts who choose issuance after transaction are staying in East Bohemia region? A3 contains the data of region; 'POPLATEK PO OBRATU' represents for 'issuance after transaction'.,,dql,2026-04-07 11:23:37.502052,"SELECT count(DISTINCT ""account"".""account_id"") FROM ""account"" JOIN ""district"" ON ""account"".""district_id"" = ""district"".""district_id"" JOIN ""trans"" ON ""account"".""account_id"" = ""trans"".""account_id"" WHERE ""district"".""A3"" = 'East Bohemia' AND ""trans"".""k_symbol"" = 'POPLATEK PO OBRATU';",[],,6.691749811172485,['difficulty: moderate'],
[],financial,['postgres'],[],,"(pg8000.exceptions.DatabaseError) {'S': 'FATAL', 'V': 'FATAL', 'C': '28000', 'M': 'no PostgreSQL user name specified in startup packet', 'F': 'postmaster.c', 'L': '2748', 'R': 'ProcessStartupPacket'}
(Background on this error at: https://sqlalche.me/e/20/4xp6)",List out the clients who choose statement of issuance after transaction are Disponent? 'POPLATEK PO OBRATU' stands for issuance after transaction,[],"SELECT ""public"".""client"".""client_id"" FROM ""public"".""client"" INNER JOIN ""public"".""disp"" ON ""public"".""client"".""client_id"" = ""public"".""disp"".""client_id"" INNER JOIN ""public"".""account"" ON ""public"".""disp"".""account_id"" = ""public"".""account"".""account_id"" WHERE ""public"".""disp"".""type"" = 'DISPONENT' AND ""public"".""account"".""frequency"" = 'POPLATEK PO OBRATU' ORDER BY ""public"".""client"".""client_id"" ASC NULLS LAST;","(pg8000.exceptions.DatabaseError) {'S': 'FATAL', 'V': 'FATAL', 'C': '28000', 'M': 'no PostgreSQL user name specified in startup packet', 'F': 'postmaster.c', 'L': '2748', 'R': 'ProcessStartupPacket'}
(Background on this error at: https://sqlalche.me/e/20/4xp6)",,[],"['SELECT ""T2"".""client_id"" FROM ""account"" AS ""T1"" INNER JOIN ""disp"" AS ""T2"" ON ""T1"".""account_id"" = ""T2"".""account_id"" WHERE ""T1"".""frequency"" = \'POPLATEK PO OBRATU\' AND ""T2"".""type"" = \'DISPONENT\'']",9,5b33267c-bb32-4141-9f57-29b266d5ad47,List out the clients who choose statement of issuance after transaction are Disponent? 'POPLATEK PO OBRATU' stands for issuance after transaction,"{'disambiguation_question': [], 'intent_explanation': ""To identify clients who are 'Disponent' and have a 'POPLATEK PO OBRATU' frequency, I need to join the 'client', 'disp', and 'account' tables. The 'disp' table links clients to accounts and specifies their role ('type'), while the 'account' table contains the 'frequency' column. I will filter for 'Disponent' in 'disp'.'type' and 'POPLATEK PO OBRATU' in 'account'.'frequency'.""}",,List out the clients who choose statement of issuance after transaction are Disponent? 'POPLATEK PO OBRATU' stands for issuance after transaction,,dql,2026-04-07 11:23:37.502052,"SELECT ""public"".""client"".""client_id"" FROM ""public"".""client"" INNER JOIN ""public"".""disp"" ON ""public"".""client"".""client_id"" = ""public"".""disp"".""client_id"" INNER JOIN ""public"".""account"" ON ""public"".""disp"".""account_id"" = ""public"".""account"".""account_id"" WHERE ""public"".""disp"".""type"" = 'DISPONENT' AND ""public"".""account"".""frequency"" = 'POPLATEK PO OBRATU' ORDER BY ""public"".""client"".""client_id"" ASC NULLS LAST;",[],,6.846755027770996,['difficulty: simple'],
[],financial,['postgres'],[],,"(pg8000.exceptions.DatabaseError) {'S': 'FATAL', 'V': 'FATAL', 'C': '28000', 'M': 'no PostgreSQL user name specified in startup packet', 'F': 'postmaster.c', 'L': '2748', 'R': 'ProcessStartupPacket'}
(Background on this error at: https://sqlalche.me/e/20/4xp6)",How many accounts who have region in Prague are eligible for loans? A3 contains the data of region,[],"SELECT COUNT(""account"".""account_id"") FROM ""account"" JOIN ""district"" ON ""account"".""district_id"" = ""district"".""district_id"" WHERE ""district"".""A3"" = 'Prague';","(pg8000.exceptions.DatabaseError) {'S': 'FATAL', 'V': 'FATAL', 'C': '28000', 'M': 'no PostgreSQL user name specified in startup packet', 'F': 'postmaster.c', 'L': '2748', 'R': 'ProcessStartupPacket'}
(Background on this error at: https://sqlalche.me/e/20/4xp6)",,[],"['SELECT COUNT(""T1"".""account_id"") FROM ""account"" AS ""T1"" INNER JOIN ""loan"" AS ""T2"" ON ""T1"".""account_id"" = ""T2"".""account_id"" INNER JOIN ""district"" AS ""T3"" ON ""T1"".""district_id"" = ""T3"".""district_id"" WHERE ""T3"".""A3"" = \'Prague\'']",2,5b33267c-bb32-4141-9f57-29b266d5ad47,How many accounts who have region in Prague are eligible for loans? A3 contains the data of region,"{'disambiguation_question': [], 'intent_explanation': ""To find the number of accounts in the 'Prague' region, I need to join the 'account' table with the 'district' table. The question specifies that column 'A3' in the 'district' table contains the region data. I will filter the 'district'.'A3' column for the value 'Prague' and count the total number of accounts associated with those districts.""}",,How many accounts who have region in Prague are eligible for loans? A3 contains the data of region,,dql,2026-04-07 11:23:37.502052,"SELECT COUNT(""account"".""account_id"") FROM ""account"" JOIN ""district"" ON ""account"".""district_id"" = ""district"".""district_id"" WHERE ""district"".""A3"" = 'Prague';",[],,17.4250271320343,['difficulty: simple'],
[],financial,['postgres'],[],,"(pg8000.exceptions.DatabaseError) {'S': 'FATAL', 'V': 'FATAL', 'C': '28000', 'M': 'no PostgreSQL user name specified in startup packet', 'F': 'postmaster.c', 'L': '2748', 'R': 'ProcessStartupPacket'}
(Background on this error at: https://sqlalche.me/e/20/4xp6)",How many customers who choose statement of weekly issuance are Owner? 'POPLATEK TYDNE' stands for weekly issuance,[],"SELECT count(DISTINCT ""disp"".""client_id"") FROM ""account"" JOIN ""disp"" ON ""account"".""account_id"" = ""disp"".""account_id"" WHERE ""account"".""frequency"" = 'POPLATEK TYDNE' AND ""disp"".""type"" = 'OWNER';","(pg8000.exceptions.DatabaseError) {'S': 'FATAL', 'V': 'FATAL', 'C': '28000', 'M': 'no PostgreSQL user name specified in startup packet', 'F': 'postmaster.c', 'L': '2748', 'R': 'ProcessStartupPacket'}
(Background on this error at: https://sqlalche.me/e/20/4xp6)",,[],"['SELECT COUNT(DISTINCT ""T1"".""client_id"") FROM ""disp"" AS ""T1"" INNER JOIN ""account"" AS ""T2"" ON ""T1"".""account_id"" = ""T2"".""account_id"" WHERE ""T2"".""frequency"" = \'POPLATEK TYDNE\' AND ""T1"".""type"" = \'OWNER\'', 'SELECT COUNT(""T1"".""account_id"") FROM ""account"" AS ""T1"" INNER JOIN ""disp"" AS ""T2"" ON ""T1"".""account_id"" = ""T2"".""account_id"" WHERE ""T2"".""type"" = \'Owner\' AND ""T1"".""frequency"" = \'POPLATEK TYDNE\'']",8,5b33267c-bb32-4141-9f57-29b266d5ad47,How many customers who choose statement of weekly issuance are Owner? 'POPLATEK TYDNE' stands for weekly issuance,"{'disambiguation_question': [], 'intent_explanation': ""The question asks for the count of customers who are 'Owner' and have a 'weekly issuance' frequency. Based on the schema, the 'account' table contains the 'frequency' column where 'POPLATEK TYDNE' represents weekly issuance. The 'disp' table links clients to accounts and contains the 'type' column which specifies the role, such as 'OWNER'. I will join 'account' and 'disp' to filter by these criteria and count the distinct 'client_id' values.""}",,How many customers who choose statement of weekly issuance are Owner? 'POPLATEK TYDNE' stands for weekly issuance,,dql,2026-04-07 11:23:37.502052,"SELECT count(DISTINCT ""disp"".""client_id"") FROM ""account"" JOIN ""disp"" ON ""account"".""account_id"" = ""disp"".""account_id"" WHERE ""account"".""frequency"" = 'POPLATEK TYDNE' AND ""disp"".""type"" = 'OWNER';",[],,6.7771971225738525,['difficulty: simple'],
[],financial,['postgres'],[],,"(pg8000.exceptions.DatabaseError) {'S': 'FATAL', 'V': 'FATAL', 'C': '28000', 'M': 'no PostgreSQL user name specified in startup packet', 'F': 'postmaster.c', 'L': '2748', 'R': 'ProcessStartupPacket'}
(Background on this error at: https://sqlalche.me/e/20/4xp6)",List out the no. of districts that have female average salary is more than 6000 but less than 10000? A11 refers to average salary; Female mapps to gender = 'F',[],"SELECT COUNT(*) FROM (SELECT ""district"".""district_id"" FROM ""district"" JOIN ""client"" ON ""district"".""district_id"" = ""client"".""district_id"" WHERE ""client"".""gender"" = 'F' GROUP BY ""district"".""district_id"" HAVING AVG(""district"".""A11"") > 6000 AND AVG(""district"".""A11"") < 10000) AS ""subquery"";","(pg8000.exceptions.DatabaseError) {'S': 'FATAL', 'V': 'FATAL', 'C': '28000', 'M': 'no PostgreSQL user name specified in startup packet', 'F': 'postmaster.c', 'L': '2748', 'R': 'ProcessStartupPacket'}
(Background on this error at: https://sqlalche.me/e/20/4xp6)",,[],"['SELECT COUNT(DISTINCT ""T1"".""district_id"") FROM ""district"" AS ""T1"" INNER JOIN ""client"" AS ""T2"" ON ""T1"".""district_id"" = ""T2"".""district_id"" WHERE ""T2"".""gender"" = \'F\' AND ""T1"".""A11"" BETWEEN 6000 AND 10000;', 'SELECT DISTINCT ""T2"".""district_id"" FROM ""client"" AS ""T1"" INNER JOIN ""district"" AS ""T2"" ON ""T1"".""district_id"" = ""T2"".""district_id"" WHERE ""T1"".""gender"" = \'F\' AND ""T2"".""A11"" BETWEEN 6000 AND 10000']",4,5b33267c-bb32-4141-9f57-29b266d5ad47,List out the no. of districts that have female average salary is more than 6000 but less than 10000? A11 refers to average salary; Female mapps to gender = 'F',"{'disambiguation_question': [], 'intent_explanation': ""To find the number of districts meeting the criteria, I will join the 'district' table with the 'client' table. I will filter for female clients using the 'gender' column and then group by district to calculate the average salary using the 'A11' column. Finally, I will count the districts where this average is between 6000 and 10000.""}",,List out the no. of districts that have female average salary is more than 6000 but less than 10000? A11 refers to average salary; Female mapps to gender = 'F',,dql,2026-04-07 11:23:37.502052,"SELECT COUNT(*) FROM (SELECT ""district"".""district_id"" FROM ""district"" JOIN ""client"" ON ""district"".""district_id"" = ""client"".""district_id"" WHERE ""client"".""gender"" = 'F' GROUP BY ""district"".""district_id"" HAVING AVG(""district"".""A11"") > 6000 AND AVG(""district"".""A11"") < 10000) AS ""subquery"";",[],,11.35164213180542,['difficulty: simple'],
[],financial,['postgres'],[],,"(pg8000.exceptions.DatabaseError) {'S': 'FATAL', 'V': 'FATAL', 'C': '28000', 'M': 'no PostgreSQL user name specified in startup packet', 'F': 'postmaster.c', 'L': '2748', 'R': 'ProcessStartupPacket'}
(Background on this error at: https://sqlalche.me/e/20/4xp6)","Among the accounts who have approved loan date in 1997, list out the accounts that have the lowest approved amount and choose weekly issuance statement. 'POPLATEK TYDNE' stands for weekly issuance",[],"SELECT ""account"".""account_id"" FROM ""account"" JOIN ""loan"" ON ""account"".""account_id"" = ""loan"".""account_id"" WHERE ""loan"".""date"" >= '1997-01-01' AND ""loan"".""date"" <= '1997-12-31' AND ""account"".""frequency"" = 'POPLATEK TYDNE' AND ""loan"".""amount"" = (SELECT MIN(""loan_sub"".""amount"") FROM ""loan"" AS ""loan_sub"" JOIN ""account"" AS ""account_sub"" ON ""loan_sub"".""account_id"" = ""account_sub"".""account_id"" WHERE ""loan_sub"".""date"" >= '1997-01-01' AND ""loan_sub"".""date"" <= '1997-12-31' AND ""account_sub"".""frequency"" = 'POPLATEK TYDNE') ORDER BY ""account"".""account_id"" ASC NULLS LAST","(pg8000.exceptions.DatabaseError) {'S': 'FATAL', 'V': 'FATAL', 'C': '28000', 'M': 'no PostgreSQL user name specified in startup packet', 'F': 'postmaster.c', 'L': '2748', 'R': 'ProcessStartupPacket'}
(Background on this error at: https://sqlalche.me/e/20/4xp6)",,[],"['SELECT ""T2"".""account_id"" FROM loan AS ""T1"" INNER JOIN account AS ""T2"" ON ""T1"".""account_id"" = ""T2"".""account_id"" WHERE to_char(""T1"".""date""::timestamp, \'YYYY\') = \'1997\' AND ""T2"".""frequency"" = \'POPLATEK TYDNE\' ORDER BY ""T1"".""amount"" NULLS LAST LIMIT 1']",10,5b33267c-bb32-4141-9f57-29b266d5ad47,"Among the accounts who have approved loan date in 1997, list out the accounts that have the lowest approved amount and choose weekly issuance statement. 'POPLATEK TYDNE' stands for weekly issuance","{'disambiguation_question': [], 'intent_explanation': ""I will join the 'account' and 'loan' tables on 'account_id'. I will filter for loans where the 'date' is in 1997 and the 'frequency' is 'POPLATEK TYDNE'. To find the accounts with the lowest approved amount, I will order by 'amount' in ascending order and use a subquery to handle potential ties for the minimum amount.""}",,"Among the accounts who have approved loan date in 1997, list out the accounts that have the lowest approved amount and choose weekly issuance statement. 'POPLATEK TYDNE' stands for weekly issuance",,dql,2026-04-07 11:23:37.502052,"SELECT ""account"".""account_id"" FROM ""account"" JOIN ""loan"" ON ""account"".""account_id"" = ""loan"".""account_id"" WHERE ""loan"".""date"" >= '1997-01-01' AND ""loan"".""date"" <= '1997-12-31' AND ""account"".""frequency"" = 'POPLATEK TYDNE' AND ""loan"".""amount"" = (SELECT MIN(""loan_sub"".""amount"") FROM ""loan"" AS ""loan_sub"" JOIN ""account"" AS ""account_sub"" ON ""loan_sub"".""account_id"" = ""account_sub"".""account_id"" WHERE ""loan_sub"".""date"" >= '1997-01-01' AND ""loan_sub"".""date"" <= '1997-12-31' AND ""account_sub"".""frequency"" = 'POPLATEK TYDNE') ORDER BY ""account"".""account_id"" ASC NULLS LAST",[],,14.336582899093628,['difficulty: moderate'],
[],financial,['postgres'],[],,"(pg8000.exceptions.DatabaseError) {'S': 'FATAL', 'V': 'FATAL', 'C': '28000', 'M': 'no PostgreSQL user name specified in startup packet', 'F': 'postmaster.c', 'L': '2748', 'R': 'ProcessStartupPacket'}
(Background on this error at: https://sqlalche.me/e/20/4xp6)","List out the account numbers of clients who are youngest and have highest average salary? If the person A's birthdate < B's birthdate, it means that person B is younger than person A; A11 refers to average salary",[],"SELECT ""public"".""disp"".""account_id"" FROM ""public"".""client"" JOIN ""public"".""district"" ON ""public"".""client"".""district_id"" = ""public"".""district"".""district_id"" JOIN ""public"".""disp"" ON ""public"".""client"".""client_id"" = ""public"".""disp"".""client_id"" WHERE ""public"".""client"".""birth_date"" = (SELECT MAX(""birth_date"") FROM ""public"".""client"") AND ""public"".""district"".""A11"" = (SELECT MAX(""T2"".""A11"") FROM ""public"".""client"" AS ""T1"" JOIN ""public"".""district"" AS ""T2"" ON ""T1"".""district_id"" = ""T2"".""district_id"" WHERE ""T1"".""birth_date"" = (SELECT MAX(""birth_date"") FROM ""public"".""client"")) ORDER BY ""public"".""disp"".""account_id"" ASC NULLS LAST;","(pg8000.exceptions.DatabaseError) {'S': 'FATAL', 'V': 'FATAL', 'C': '28000', 'M': 'no PostgreSQL user name specified in startup packet', 'F': 'postmaster.c', 'L': '2748', 'R': 'ProcessStartupPacket'}
(Background on this error at: https://sqlalche.me/e/20/4xp6)",,[],"['SELECT T1.account_id FROM account AS T1 INNER JOIN client AS T2 ON T1.district_id = T2.district_id INNER JOIN district AS T3 ON T2.district_id = T3.district_id WHERE T2.birth_date = (SELECT MAX(birth_date) FROM client) -- Youngest client(s) AND T3.A11 = (SELECT MAX(A11) FROM district); -- District with highest avg salary', 'SELECT ""T1"".""account_id"" FROM ""account"" AS ""T1"" INNER JOIN ""district"" AS ""T2"" ON ""T1"".""district_id"" = ""T2"".""district_id"" WHERE ""T2"".""district_id"" = ( SELECT ""district_id"" FROM ""client"" ORDER BY ""birth_date"" DESC LIMIT 1 ) ORDER BY ""T2"".""A11"" DESC NULLS LAST LIMIT 1']",7,5b33267c-bb32-4141-9f57-29b266d5ad47,"List out the account numbers of clients who are youngest and have highest average salary? If the person A's birthdate < B's birthdate, it means that person B is younger than person A; A11 refers to average salary","{'disambiguation_question': [], 'intent_explanation': 'To find the youngest clients, I will select those with the maximum birth_date from the client table. I will then join this with the district table to identify the highest average salary (A11) among those clients. Finally, I will join with the disp table to retrieve the account_id for these specific clients.'}",,"List out the account numbers of clients who are youngest and have highest average salary? If the person A's birthdate < B's birthdate, it means that person B is younger than person A; A11 refers to average salary",,dql,2026-04-07 11:23:37.502052,"SELECT ""public"".""disp"".""account_id"" FROM ""public"".""client"" JOIN ""public"".""district"" ON ""public"".""client"".""district_id"" = ""public"".""district"".""district_id"" JOIN ""public"".""disp"" ON ""public"".""client"".""client_id"" = ""public"".""disp"".""client_id"" WHERE ""public"".""client"".""birth_date"" = (SELECT MAX(""birth_date"") FROM ""public"".""client"") AND ""public"".""district"".""A11"" = (SELECT MAX(""T2"".""A11"") FROM ""public"".""client"" AS ""T1"" JOIN ""public"".""district"" AS ""T2"" ON ""T1"".""district_id"" = ""T2"".""district_id"" WHERE ""T1"".""birth_date"" = (SELECT MAX(""birth_date"") FROM ""public"".""client"")) ORDER BY ""public"".""disp"".""account_id"" ASC NULLS LAST;",[],,7.642380952835083,['difficulty: moderate'],
[],financial,['postgres'],[],,,"The average unemployment ratio of 1995 and 1996, which one has higher percentage? A12 refers to unemploymant rate 1995; A13 refers to unemploymant rate 1996",,,"(pg8000.exceptions.DatabaseError) {'S': 'FATAL', 'V': 'FATAL', 'C': '28000', 'M': 'no PostgreSQL user name specified in startup packet', 'F': 'postmaster.c', 'L': '2748', 'R': 'ProcessStartupPacket'}
(Background on this error at: https://sqlalche.me/e/20/4xp6)",,[],"['SELECT DISTINCT CASE WHEN AVG(""A13"") > AVG(""A12"") THEN \'1996\' ELSE \'1995\' END FROM ""district""']",3,5b33267c-bb32-4141-9f57-29b266d5ad47,"The average unemployment ratio of 1995 and 1996, which one has higher percentage? A12 refers to unemploymant rate 1995; A13 refers to unemploymant rate 1996","{'SQLite_query': '""SELECT DISTINCT IIF(AVG(A13) > AVG(A12), \'1996\', \'1995\') FROM district""', 'evidence': '""A12 refers to unemploymant rate 1995; A13 refers to unemploymant rate 1996""', 'question': '""The average unemployment ratio of 1995 and 1996, which one has higher percentage?""', 'question_id': '91', 'result_matched_mysql': 'true', 'result_matched_postgres': 'true', 'result_matched_sqlserver': 'false'}",,"The average unemployment ratio of 1995 and 1996, which one has higher percentage? A12 refers to unemploymant rate 1995; A13 refers to unemploymant rate 1996",,dql,2026-04-07 11:23:37.502052,,[],500 Internal error encountered.,0.0,['difficulty: simple'],
[],financial,['postgres'],[],,"(pg8000.exceptions.DatabaseError) {'S': 'FATAL', 'V': 'FATAL', 'C': '28000', 'M': 'no PostgreSQL user name specified in startup packet', 'F': 'postmaster.c', 'L': '2748', 'R': 'ProcessStartupPacket'}
(Background on this error at: https://sqlalche.me/e/20/4xp6)","List out the account numbers of female clients who are oldest and has lowest average salary, calculate the gap between this lowest average salary with the highest average salary? Female means gender = 'F'; A11 refers to average salary; Gap = highest average salary - lowest average salary; If the person A's birthdate > B's birthdate, it means that person B is order than person A.",[],"SELECT ""account"".""account_id"", (SELECT MAX(""district"".""A11"") FROM ""district"") - ""district"".""A11"" AS ""gap"" FROM ""client"" JOIN ""disp"" ON ""client"".""client_id"" = ""disp"".""client_id"" JOIN ""account"" ON ""disp"".""account_id"" = ""account"".""account_id"" JOIN ""district"" ON ""client"".""district_id"" = ""district"".""district_id"" WHERE ""client"".""gender"" = 'F' AND ""client"".""birth_date"" = (SELECT MIN(""c2"".""birth_date"") FROM ""client"" AS ""c2"" WHERE ""c2"".""gender"" = 'F') ORDER BY ""district"".""A11"" ASC NULLS LAST LIMIT 1;","(pg8000.exceptions.DatabaseError) {'S': 'FATAL', 'V': 'FATAL', 'C': '28000', 'M': 'no PostgreSQL user name specified in startup packet', 'F': 'postmaster.c', 'L': '2748', 'R': 'ProcessStartupPacket'}
(Background on this error at: https://sqlalche.me/e/20/4xp6)",,[],"['SELECT ""disp"".""account_id"", (SELECT MAX(""A11"") - MIN(""A11"") FROM ""district"") as gap FROM ""disp"" INNER JOIN ""client"" ON ""disp"".""client_id"" = ""client"".""client_id"" WHERE ""client"".""client_id"" IN ( SELECT ""c"".""client_id"" FROM ""client"" AS ""c"" INNER JOIN ""district"" AS ""d"" ON ""c"".""district_id"" = ""d"".""district_id"" WHERE ""c"".""gender"" = \'F\' ORDER BY ""d"".""A11"" ASC, ""c"".""birth_date"" ASC LIMIT 1 )', 'SELECT ""T1"".""account_id"", ( SELECT max(""A11"") - min(""A11"") FROM ""district"" ) FROM ""account"" AS ""T1"" INNER JOIN ""district"" AS ""T2"" ON ""T1"".""district_id"" = ""T2"".""district_id"" WHERE ""T2"".""district_id"" = ( SELECT ""district_id"" FROM ""client"" WHERE ""gender"" = \'F\' ORDER BY ""birth_date"" ASC LIMIT 1 ) ORDER BY ""T2"".""A11"" DESC NULLS LAST LIMIT 1']",6,5b33267c-bb32-4141-9f57-29b266d5ad47,"List out the account numbers of female clients who are oldest and has lowest average salary, calculate the gap between this lowest average salary with the highest average salary? Female means gender = 'F'; A11 refers to average salary; Gap = highest average salary - lowest average salary; If the person A's birthdate > B's birthdate, it means that person B is order than person A.","{'disambiguation_question': [], 'intent_explanation': 'To find the oldest female clients, I identify those with the minimum birth_date. Among these, I select the one with the lowest average salary (A11) from the district table. I then calculate the gap by subtracting this minimum A11 from the maximum A11 found in the district table.'}",,"List out the account numbers of female clients who are oldest and has lowest average salary, calculate the gap between this lowest average salary with the highest average salary? Female means gender = 'F'; A11 refers to average salary; Gap = highest average salary - lowest average salary; If the person A's birthdate > B's birthdate, it means that person B is order than person A.",,dql,2026-04-07 11:23:37.502052,"SELECT ""account"".""account_id"", (SELECT MAX(""district"".""A11"") FROM ""district"") - ""district"".""A11"" AS ""gap"" FROM ""client"" JOIN ""disp"" ON ""client"".""client_id"" = ""disp"".""client_id"" JOIN ""account"" ON ""disp"".""account_id"" = ""account"".""account_id"" JOIN ""district"" ON ""client"".""district_id"" = ""district"".""district_id"" WHERE ""client"".""gender"" = 'F' AND ""client"".""birth_date"" = (SELECT MIN(""c2"".""birth_date"") FROM ""client"" AS ""c2"" WHERE ""c2"".""gender"" = 'F') ORDER BY ""district"".""A11"" ASC NULLS LAST LIMIT 1;",[],,15.465759992599487,['difficulty: challenging'],
[],financial,['postgres'],[],,,How many male customers who are living in North Bohemia have average salary greater than 8000? Male means that gender = 'M'; A3 refers to region; A11 pertains to average salary.,,,"(pg8000.exceptions.DatabaseError) {'S': 'FATAL', 'V': 'FATAL', 'C': '28000', 'M': 'no PostgreSQL user name specified in startup packet', 'F': 'postmaster.c', 'L': '2748', 'R': 'ProcessStartupPacket'}
(Background on this error at: https://sqlalche.me/e/20/4xp6)",,[],"['SELECT COUNT(""T1"".""client_id"") FROM ""client"" AS ""T1"" INNER JOIN ""district"" AS ""T2"" ON ""T1"".""district_id"" = ""T2"".""district_id"" WHERE ""T1"".""gender"" = \'M\' AND ""T2"".""A3"" = \'north Bohemia\' AND ""T2"".""A11"" > 8000', 'SELECT COUNT(""T1"".""client_id"") FROM ""client"" AS ""T1"" INNER JOIN ""district"" AS ""T2"" ON ""T1"".""district_id"" = ""T2"".""district_id"" WHERE ""T1"".""gender"" = \'M\' AND ""T2"".""A3"" = \'North Bohemia\' AND ""T2"".""A11"" > 8000']",5,5b33267c-bb32-4141-9f57-29b266d5ad47,How many male customers who are living in North Bohemia have average salary greater than 8000? Male means that gender = 'M'; A3 refers to region; A11 pertains to average salary.,"{'SQLite_query': '""SELECT COUNT(T1.client_id) FROM client AS T1 INNER JOIN district AS T2 ON T1.district_id = T2.district_id WHERE T1.gender = \'M\' AND T2.A3 = \'North Bohemia\' AND T2.A11 > 8000""', 'evidence': '""Male means that gender = \'M\'; A3 refers to region; A11 pertains to average salary.""', 'question': '""How many male customers who are living in North Bohemia have average salary greater than 8000?""', 'question_id': '93', 'result_matched_mysql': 'false', 'result_matched_postgres': 'true', 'result_matched_sqlserver': 'false'}",,How many male customers who are living in North Bohemia have average salary greater than 8000? Male means that gender = 'M'; A3 refers to region; A11 pertains to average salary.,,dql,2026-04-07 11:23:37.502052,,[],500 Internal error encountered.,0.0,['difficulty: moderate'],
